snapshot_date,store_id,product_id,quantity_on_hand,quantity_on_order,reorder_point
2025-01-01,STR-006,SKU-0388,46,8,23
2025-01-01,STR-006,SKU-0322,92,23,14
2025-01-01,STR-006,SKU-0229,106,37,16
2025-01-01,STR-006,SKU-0361,10,27,21
2025-01-01,STR-006,SKU-0266,102,23,30
2025-01-01,STR-006,SKU-0452,32,12,26
2025-01-01,STR-006,SKU-0231,174,30,20
2025-01-01,STR-006,SKU-0004,141,50,30
2025-01-01,STR-006,SKU-0194,143,3,25
2025-01-01,STR-006,SKU-0144,166,23,12
2025-01-01,STR-006,SKU-0065,84,3,26
2025-01-01,STR-006,SKU-0363,134,34,25
2025-01-01,STR-006,SKU-0318,71,0,13
2025-01-01,STR-006,SKU-0032,199,1,24
2025-01-01,STR-006,SKU-0283,87,1,30
2025-01-01,STR-006,SKU-0226,140,31,30
2025-01-01,STR-006,SKU-0390,88,31,14
2025-01-01,STR-006,SKU-0477,47,50,17
2025-01-01,STR-006,SKU-0367,154,47,10
2025-01-01,STR-006,SKU-0537,67,9,11
2025-01-01,STR-006,SKU-0175,165,22,22
2025-01-01,STR-006,SKU-0351,73,8,11
2025-01-01,STR-006,SKU-0189,154,41,24
2025-01-01,STR-006,SKU-0042,118,43,16
2025-01-01,STR-007,SKU-0446,191,15,24
2025-01-01,STR-007,SKU-0157,18,35,10
2025-01-01,STR-007,SKU-0406,82,34,30
2025-01-01,STR-007,SKU-0063,191,33,18
2025-01-01,STR-007,SKU-0453,119,10,14
2025-01-01,STR-007,SKU-0025,159,1,25
2025-01-01,STR-007,SKU-0364,15,11,25
2025-01-01,STR-007,SKU-0320,0,45,16
2025-01-01,STR-007,SKU-0420,34,3,28
2025-01-01,STR-007,SKU-0257,51,6,20
2025-01-01,STR-007,SKU-0171,114,38,13
2025-01-01,STR-007,SKU-0105,24,4,25
2025-01-01,STR-007,SKU-0430,112,27,21
2025-01-01,STR-007,SKU-0154,162,3,26
2025-01-01,STR-007,SKU-0526,39,46,29
2025-01-01,STR-007,SKU-0194,113,35,21
2025-01-01,STR-007,SKU-0400,102,48,13
2025-01-01,STR-007,SKU-0219,80,16,19
2025-01-01,STR-007,SKU-0073,159,26,17
2025-01-01,STR-007,SKU-0003,109,16,13
2025-01-01,STR-007,SKU-0217,42,8,29
2025-01-01,STR-007,SKU-0286,35,2,16
2025-01-01,STR-007,SKU-0295,110,5,29
2025-01-01,STR-007,SKU-0203,94,10,16
2025-01-01,STR-007,SKU-0324,120,34,14
2025-01-01,STR-007,SKU-0314,79,1,22
2025-01-01,STR-007,SKU-0519,12,22,22
2025-01-01,STR-007,SKU-0284,95,47,11
2025-01-01,STR-007,SKU-0357,171,6,12
2025-01-01,STR-007,SKU-0491,45,32,24
2025-01-01,STR-007,SKU-0312,73,16,17
2025-01-01,STR-007,SKU-0414,91,13,23
2025-01-01,STR-007,SKU-0397,43,16,13
2025-01-01,STR-007,SKU-0537,145,0,29
2025-01-01,STR-007,SKU-0278,112,21,26
2025-01-01,STR-008,SKU-0312,194,38,26
2025-01-01,STR-008,SKU-0471,26,49,16
2025-01-01,STR-008,SKU-0476,126,25,25
2025-01-01,STR-008,SKU-0339,93,48,12
2025-01-01,STR-008,SKU-0455,44,7,27
2025-01-01,STR-008,SKU-0406,16,24,25
2025-01-01,STR-008,SKU-0285,131,27,22
2025-01-01,STR-008,SKU-0020,181,17,19
2025-01-01,STR-008,SKU-0256,109,33,22
2025-01-01,STR-008,SKU-0223,181,50,15
2025-01-01,STR-008,SKU-0053,33,13,27
2025-01-01,STR-008,SKU-0444,18,12,26
2025-01-01,STR-008,SKU-0064,123,8,17
2025-01-01,STR-008,SKU-0261,44,33,26
2025-01-01,STR-008,SKU-0161,196,6,15
2025-01-01,STR-008,SKU-0347,109,9,27
2025-01-01,STR-008,SKU-0234,138,15,25
2025-01-01,STR-008,SKU-0178,34,6,20
2025-01-01,STR-008,SKU-0330,193,10,10
2025-01-01,STR-008,SKU-0335,130,42,16
2025-01-01,STR-008,SKU-0107,143,28,21
2025-01-01,STR-008,SKU-0022,170,20,23
2025-01-01,STR-008,SKU-0305,33,1,20
2025-01-01,STR-008,SKU-0197,110,11,14
2025-01-01,STR-008,SKU-0323,19,45,14
2025-01-01,STR-008,SKU-0292,7,4,11
2025-01-01,STR-008,SKU-0365,49,41,20
2025-01-01,STR-008,SKU-0135,190,13,23
2025-01-01,STR-008,SKU-0458,3,16,14
2025-01-01,STR-008,SKU-0354,63,42,26
2025-01-01,STR-008,SKU-0521,90,3,27
2025-01-01,STR-008,SKU-0133,200,8,15
2025-01-01,STR-008,SKU-0412,45,45,15
2025-01-01,STR-008,SKU-0307,117,3,14
2025-01-01,STR-008,SKU-0408,105,40,24
2025-01-01,STR-009,SKU-0175,29,23,15
2025-01-01,STR-009,SKU-0437,90,39,21
2025-01-01,STR-009,SKU-0138,138,4,16
2025-01-01,STR-009,SKU-0358,154,6,10
2025-01-01,STR-009,SKU-0012,40,44,28
2025-01-01,STR-009,SKU-0413,183,16,10
2025-01-01,STR-009,SKU-0160,181,15,24
2025-01-01,STR-009,SKU-0183,52,12,25
2025-01-01,STR-009,SKU-0056,186,26,15
2025-01-01,STR-009,SKU-0429,102,3,11
2025-01-01,STR-009,SKU-0411,139,41,24
2025-01-01,STR-009,SKU-0451,16,3,19
2025-01-01,STR-009,SKU-0002,20,41,20
2025-01-01,STR-009,SKU-0089,63,30,21
2025-01-01,STR-009,SKU-0230,177,23,12
2025-01-01,STR-009,SKU-0132,157,37,19
2025-01-01,STR-009,SKU-0323,79,34,26
2025-01-01,STR-009,SKU-0454,59,21,13
2025-01-01,STR-009,SKU-0245,10,35,15
2025-01-01,STR-009,SKU-0054,13,10,15
2025-01-01,STR-009,SKU-0362,148,30,17
2025-01-01,STR-009,SKU-0005,6,37,10
2025-01-01,STR-009,SKU-0501,49,7,25
2025-01-01,STR-009,SKU-0243,190,0,15
2025-01-01,STR-009,SKU-0223,11,23,27
2025-01-01,STR-009,SKU-0198,133,36,12
2025-01-01,STR-009,SKU-0179,17,8,13
2025-01-01,STR-009,SKU-0229,94,18,10
2025-01-01,STR-009,SKU-0211,3,3,24
2025-01-01,STR-009,SKU-0136,90,30,26
2025-01-01,STR-009,SKU-0103,137,22,16
2025-01-01,STR-009,SKU-0034,42,24,25
2025-01-01,STR-009,SKU-0278,25,4,12
2025-01-01,STR-009,SKU-0514,49,24,17
2025-01-01,STR-009,SKU-0032,146,39,27
2025-01-01,STR-010,SKU-0425,5,31,13
2025-01-01,STR-010,SKU-0479,169,48,29
2025-01-01,STR-010,SKU-0275,100,9,21
2025-01-01,STR-010,SKU-0034,116,46,12
2025-01-01,STR-010,SKU-0315,188,28,30
2025-01-01,STR-010,SKU-0306,54,34,15
2025-01-01,STR-010,SKU-0119,50,46,23
2025-01-01,STR-010,SKU-0307,7,44,22
2025-01-01,STR-010,SKU-0352,0,7,11
2025-01-01,STR-010,SKU-0167,40,25,18
2025-01-01,STR-010,SKU-0049,193,28,12
2025-01-01,STR-010,SKU-0505,3,43,12
2025-01-01,STR-010,SKU-0280,14,36,12
2025-01-01,STR-010,SKU-0444,14,34,16
2025-01-01,STR-010,SKU-0528,103,44,17
2025-01-01,STR-010,SKU-0228,70,34,15
2025-01-01,STR-010,SKU-0129,135,35,22
2025-01-01,STR-010,SKU-0247,113,42,24
2025-01-01,STR-010,SKU-0093,22,22,12
2025-01-01,STR-010,SKU-0217,111,22,29
2025-01-01,STR-010,SKU-0145,118,5,28
2025-01-01,STR-010,SKU-0440,117,12,13
2025-01-01,STR-010,SKU-0166,38,13,26
2025-01-01,STR-010,SKU-0368,181,31,18
2025-01-01,STR-010,SKU-0067,27,17,26
2025-01-01,STR-010,SKU-0042,58,34,19
2025-01-01,STR-010,SKU-0409,10,23,28
2025-01-01,STR-010,SKU-0324,129,48,10
2025-01-01,STR-010,SKU-0313,117,29,13
2025-01-01,STR-010,SKU-0430,66,7,11
2025-01-01,STR-010,SKU-0065,161,35,13
2025-01-01,STR-010,SKU-0501,178,7,10
2025-01-01,STR-010,SKU-0281,137,4,11
2025-01-01,STR-010,SKU-0137,83,14,20
2025-01-01,STR-010,SKU-0028,200,40,10
2025-01-01,STR-011,SKU-0009,29,27,30
2025-01-01,STR-011,SKU-0052,163,13,12
2025-01-01,STR-011,SKU-0151,109,34,19
2025-01-01,STR-011,SKU-0317,84,39,29
2025-01-01,STR-011,SKU-0005,101,36,27
2025-01-01,STR-011,SKU-0438,109,46,30
2025-01-01,STR-011,SKU-0164,92,31,23
2025-01-01,STR-011,SKU-0339,142,45,17
2025-01-01,STR-011,SKU-0504,152,49,22
2025-01-01,STR-011,SKU-0420,79,29,17
2025-01-01,STR-011,SKU-0075,150,35,28
2025-01-01,STR-011,SKU-0426,157,31,19
2025-01-01,STR-011,SKU-0393,28,9,19
2025-01-01,STR-011,SKU-0520,182,44,25
2025-01-01,STR-011,SKU-0197,29,11,15
2025-01-01,STR-011,SKU-0263,197,7,30
2025-01-01,STR-011,SKU-0099,51,36,18
2025-01-01,STR-011,SKU-0384,167,18,13
2025-01-01,STR-011,SKU-0239,136,19,15
2025-01-01,STR-011,SKU-0166,40,5,20
2025-01-01,STR-011,SKU-0453,36,28,22
2025-01-01,STR-011,SKU-0080,183,29,20
2025-01-01,STR-011,SKU-0058,3,35,25
2025-01-01,STR-011,SKU-0286,19,45,17
2025-01-01,STR-011,SKU-0015,62,30,15
2025-01-01,STR-011,SKU-0067,13,22,15
2025-01-01,STR-011,SKU-0293,62,12,20
2025-01-01,STR-011,SKU-0019,30,38,23
2025-01-01,STR-011,SKU-0109,155,8,15
2025-01-01,STR-011,SKU-0507,48,23,30
2025-01-01,STR-011,SKU-0139,147,45,24
2025-01-01,STR-011,SKU-0474,81,2,25
2025-01-01,STR-011,SKU-0126,172,1,17
2025-01-01,STR-011,SKU-0266,108,9,22
2025-01-01,STR-011,SKU-0537,154,24,27
2025-01-01,STR-012,SKU-0012,58,11,16
2025-01-01,STR-012,SKU-0414,55,0,30
2025-01-01,STR-012,SKU-0038,142,22,17
2025-01-01,STR-012,SKU-0423,63,43,30
2025-01-01,STR-012,SKU-0156,63,43,27
2025-01-01,STR-012,SKU-0262,16,31,23
2025-01-01,STR-012,SKU-0017,50,21,13
2025-01-01,STR-012,SKU-0243,132,45,17
2025-01-01,STR-012,SKU-0091,124,39,28
2025-01-01,STR-012,SKU-0050,93,37,10
2025-01-01,STR-012,SKU-0126,8,39,22
2025-01-01,STR-012,SKU-0203,1,36,14
2025-01-01,STR-012,SKU-0448,196,16,26
2025-01-01,STR-012,SKU-0400,117,24,30
2025-01-01,STR-012,SKU-0124,123,33,18
2025-01-01,STR-012,SKU-0413,180,49,20
2025-01-01,STR-012,SKU-0034,65,19,27
2025-01-01,STR-012,SKU-0098,125,41,23
2025-01-01,STR-012,SKU-0477,180,10,24
2025-01-01,STR-012,SKU-0435,182,19,27
2025-01-01,STR-012,SKU-0113,156,2,11
2025-01-01,STR-012,SKU-0272,165,44,16
2025-01-01,STR-012,SKU-0330,165,23,17
2025-01-01,STR-012,SKU-0130,176,30,30
2025-01-01,STR-012,SKU-0260,95,34,13
2025-01-01,STR-012,SKU-0138,166,24,23
2025-01-01,STR-012,SKU-0152,52,23,21
2025-01-01,STR-012,SKU-0068,9,21,23
2025-01-01,STR-012,SKU-0252,1,26,14
2025-01-01,STR-012,SKU-0100,4,31,20
2025-01-01,STR-012,SKU-0464,177,46,23
2025-01-01,STR-012,SKU-0491,101,40,30
2025-01-01,STR-012,SKU-0166,46,11,20
2025-01-01,STR-012,SKU-0116,74,45,19
2025-01-01,STR-012,SKU-0445,137,41,13
2025-01-01,STR-013,SKU-0143,146,23,17
2025-01-01,STR-013,SKU-0113,13,46,12
2025-01-01,STR-013,SKU-0047,159,33,14
2025-01-01,STR-013,SKU-0170,113,24,18
2025-01-01,STR-013,SKU-0146,150,5,10
2025-01-01,STR-013,SKU-0186,194,3,16
2025-01-01,STR-013,SKU-0350,76,31,22
2025-01-01,STR-013,SKU-0452,179,37,19
2025-01-01,STR-013,SKU-0325,142,49,11
2025-01-01,STR-013,SKU-0236,153,5,20
2025-01-01,STR-013,SKU-0337,181,44,28
2025-01-01,STR-013,SKU-0304,44,14,26
2025-01-01,STR-013,SKU-0061,63,39,12
2025-01-01,STR-013,SKU-0064,136,17,19
2025-01-01,STR-013,SKU-0458,45,27,14
2025-01-01,STR-013,SKU-0263,130,46,24
2025-01-01,STR-013,SKU-0541,27,19,26
2025-01-01,STR-013,SKU-0385,17,31,25
2025-01-01,STR-013,SKU-0365,179,19,13
2025-01-01,STR-013,SKU-0120,160,9,23
2025-01-01,STR-013,SKU-0164,36,16,14
2025-01-01,STR-013,SKU-0132,154,10,13
2025-01-01,STR-013,SKU-0516,52,50,27
2025-01-01,STR-013,SKU-0508,76,21,16
2025-01-01,STR-013,SKU-0292,58,44,19
2025-01-01,STR-013,SKU-0381,144,18,23
2025-01-01,STR-013,SKU-0534,105,4,28
2025-01-01,STR-013,SKU-0473,5,8,19
2025-01-01,STR-013,SKU-0155,20,28,11
2025-01-01,STR-013,SKU-0229,16,12,26
2025-01-01,STR-013,SKU-0103,10,36,27
2025-01-01,STR-013,SKU-0474,107,39,29
2025-01-01,STR-013,SKU-0404,118,10,20
2025-01-01,STR-013,SKU-0121,105,21,20
2025-01-01,STR-013,SKU-0197,159,42,11
2025-01-01,STR-014,SKU-0255,73,25,21
2025-01-01,STR-014,SKU-0002,76,40,27
2025-01-01,STR-014,SKU-0452,82,19,25
2025-01-01,STR-014,SKU-0361,86,50,29
2025-01-01,STR-014,SKU-0132,136,36,19
2025-01-01,STR-014,SKU-0436,0,34,20
2025-01-01,STR-014,SKU-0332,6,49,23
2025-01-01,STR-014,SKU-0084,188,17,25
2025-01-01,STR-014,SKU-0372,6,8,18
2025-01-01,STR-014,SKU-0530,123,15,28
2025-01-01,STR-014,SKU-0144,82,11,20
2025-01-01,STR-014,SKU-0434,25,6,24
2025-01-01,STR-014,SKU-0458,91,34,23
2025-01-01,STR-014,SKU-0493,22,42,15
2025-01-01,STR-014,SKU-0462,53,31,29
2025-01-01,STR-014,SKU-0092,72,20,24
2025-01-01,STR-014,SKU-0206,165,35,12
2025-01-01,STR-014,SKU-0069,165,44,12
2025-01-01,STR-014,SKU-0244,166,35,26
2025-01-01,STR-014,SKU-0075,68,26,29
2025-01-01,STR-014,SKU-0456,161,3,20
2025-01-01,STR-014,SKU-0488,75,44,30
2025-01-01,STR-014,SKU-0136,73,38,22
2025-01-01,STR-014,SKU-0242,96,2,19
2025-01-01,STR-014,SKU-0090,100,34,25
2025-01-01,STR-014,SKU-0507,89,50,27
2025-01-01,STR-014,SKU-0334,180,8,22
2025-01-01,STR-014,SKU-0254,58,43,26
2025-01-01,STR-014,SKU-0205,48,2,22
2025-01-01,STR-014,SKU-0234,108,33,13
2025-01-01,STR-014,SKU-0150,14,23,29
2025-01-01,STR-014,SKU-0277,37,5,26
2025-01-01,STR-014,SKU-0533,101,25,16
2025-01-01,STR-014,SKU-0505,101,48,15
2025-01-01,STR-014,SKU-0370,157,42,25
2025-01-01,STR-015,SKU-0340,150,13,25
2025-01-01,STR-015,SKU-0022,131,15,14
2025-01-01,STR-015,SKU-0299,37,50,16
2025-01-01,STR-015,SKU-0404,14,5,11
2025-01-01,STR-015,SKU-0403,199,3,26
2025-01-01,STR-015,SKU-0444,143,0,17
2025-01-01,STR-015,SKU-0224,143,36,25
2025-01-01,STR-015,SKU-0476,135,12,18
2025-01-01,STR-015,SKU-0540,15,25,12
2025-01-01,STR-015,SKU-0362,97,41,18
2025-01-01,STR-015,SKU-0050,19,39,11
2025-01-01,STR-015,SKU-0366,75,3,27
2025-01-01,STR-015,SKU-0171,197,17,17
2025-01-01,STR-015,SKU-0117,107,18,10
2025-01-01,STR-015,SKU-0506,77,43,11
2025-01-01,STR-015,SKU-0392,67,10,30
2025-01-01,STR-015,SKU-0204,25,49,28
2025-01-01,STR-015,SKU-0184,44,20,30
2025-01-01,STR-015,SKU-0103,117,49,27
2025-01-01,STR-015,SKU-0477,191,47,15
2025-01-01,STR-015,SKU-0201,36,28,15
2025-01-01,STR-015,SKU-0497,121,27,27
2025-01-01,STR-015,SKU-0279,96,20,23
2025-01-01,STR-015,SKU-0054,103,20,26
2025-01-01,STR-015,SKU-0487,123,23,23
2025-01-01,STR-015,SKU-0372,147,47,10
2025-01-01,STR-015,SKU-0471,61,19,13
2025-01-01,STR-015,SKU-0190,24,3,15
2025-01-01,STR-015,SKU-0141,68,10,12
2025-01-01,STR-015,SKU-0014,194,3,13
2025-01-01,STR-015,SKU-0352,58,49,11
2025-01-01,STR-015,SKU-0026,149,19,15
2025-01-01,STR-015,SKU-0020,124,24,28
2025-01-01,STR-015,SKU-0093,137,3,30
2025-01-01,STR-015,SKU-0159,145,27,27
2025-01-01,STR-016,SKU-0373,191,19,12
2025-01-01,STR-016,SKU-0260,80,34,12
2025-01-01,STR-016,SKU-0340,173,18,23
2025-01-01,STR-016,SKU-0259,72,38,15
2025-01-01,STR-016,SKU-0301,118,22,29
2025-01-01,STR-016,SKU-0251,161,48,30
2025-01-01,STR-016,SKU-0463,174,34,26
2025-01-01,STR-016,SKU-0235,96,39,30
2025-01-01,STR-016,SKU-0161,110,39,11
2025-01-01,STR-016,SKU-0318,33,46,30
2025-01-01,STR-016,SKU-0387,52,14,29
2025-01-01,STR-016,SKU-0471,100,50,12
2025-01-01,STR-016,SKU-0514,120,0,15
2025-01-01,STR-016,SKU-0012,121,32,23
2025-01-01,STR-016,SKU-0159,47,15,27
2025-01-01,STR-016,SKU-0010,178,2,12
2025-01-01,STR-016,SKU-0095,22,0,28
2025-01-01,STR-016,SKU-0412,126,9,21
2025-01-01,STR-016,SKU-0262,131,29,17
2025-01-01,STR-016,SKU-0221,71,16,16
2025-01-01,STR-016,SKU-0515,140,48,26
2025-01-01,STR-016,SKU-0058,27,31,28
2025-01-01,STR-016,SKU-0222,160,7,12
2025-01-01,STR-016,SKU-0469,169,32,18
2025-01-01,STR-016,SKU-0151,145,8,19
2025-01-01,STR-016,SKU-0046,112,0,22
2025-01-01,STR-016,SKU-0357,118,7,12
2025-01-01,STR-016,SKU-0490,64,17,15
2025-01-01,STR-016,SKU-0250,115,21,28
2025-01-01,STR-016,SKU-0234,41,2,11
2025-01-01,STR-016,SKU-0426,136,10,14
