review_id,booking_id,property_id,guest_id,review_date,overall_score,cleanliness_score,service_score,value_score,food_score,sentiment,platform
REV-000031,BK-0035409,PROP-018,GST-02112,2025-04-09,6,5,6,7,6,Neutral,Direct
REV-000032,BK-0021762,PROP-008,GST-04955,2025-02-15,8,8,8,9,9,Positive,Direct
REV-000033,BK-0019184,PROP-033,GST-03910,2025-04-01,7,7,6,5,7,Neutral,Google
REV-000034,BK-0009199,PROP-011,GST-00741,2025-01-19,8,8,8,9,9,Positive,Google
REV-000035,BK-0034652,PROP-014,GST-04755,2025-02-21,8,9,8,9,7,Positive,Booking.com
REV-000036,BK-0034892,PROP-032,GST-04175,2025-01-24,6,6,5,7,5,Neutral,Google
REV-000037,BK-0001070,PROP-021,GST-02600,2025-04-21,6,6,7,6,7,Neutral,Booking.com
REV-000038,BK-0039160,PROP-046,GST-00236,2025-04-19,4,5,6,2,4,Negative,Google
REV-000039,BK-0032505,PROP-048,GST-02132,2025-02-03,10,10,10,9,9,Positive,Direct
REV-000040,BK-0000904,PROP-049,GST-02709,2025-04-02,10,9,10,10,10,Positive,Direct
REV-000041,BK-0028522,PROP-029,GST-01245,2025-02-15,8,6,8,8,7,Positive,Google
REV-000042,BK-0011794,PROP-008,GST-03945,2025-01-20,7,7,8,7,7,Neutral,TripAdvisor
REV-000043,BK-0018732,PROP-023,GST-01499,2025-04-14,10,10,9,10,10,Positive,Google
REV-000044,BK-0033793,PROP-003,GST-02590,2025-03-17,8,7,9,8,8,Positive,Google
REV-000045,BK-0007701,PROP-006,GST-03518,2025-04-24,8,10,10,9,9,Positive,Direct
REV-000046,BK-0026720,PROP-035,GST-01074,2025-03-11,10,10,10,9,10,Positive,Direct
REV-000047,BK-0044550,PROP-017,GST-00176,2025-04-26,10,10,9,10,10,Positive,TripAdvisor
REV-000048,BK-0034083,PROP-038,GST-02403,2025-04-14,8,8,8,8,8,Positive,Direct
REV-000049,BK-0038549,PROP-012,GST-04705,2025-04-30,8,7,9,10,6,Positive,TripAdvisor
REV-000050,BK-0007525,PROP-011,GST-03933,2025-03-13,7,6,6,6,5,Neutral,TripAdvisor
REV-000051,BK-0042024,PROP-007,GST-01035,2025-04-02,7,7,7,7,6,Neutral,Direct
REV-000052,BK-0043537,PROP-031,GST-01360,2025-03-08,9,9,10,8,8,Positive,Google
REV-000053,BK-0032038,PROP-004,GST-00516,2025-01-10,10,10,10,10,10,Positive,Google
REV-000054,BK-0000268,PROP-028,GST-00802,2025-02-23,10,9,9,9,10,Positive,Direct
REV-000055,BK-0045495,PROP-019,GST-00099,2025-02-20,7,6,9,6,8,Neutral,Google
REV-000056,BK-0047711,PROP-006,GST-04256,2025-03-22,7,6,7,7,7,Neutral,Google
REV-000057,BK-0049462,PROP-010,GST-00915,2025-04-06,10,10,10,10,10,Positive,TripAdvisor
REV-000058,BK-0001833,PROP-036,GST-00118,2025-01-14,10,10,9,9,10,Positive,TripAdvisor
REV-000059,BK-0020791,PROP-026,GST-03917,2025-03-21,6,7,5,8,7,Neutral,Google
REV-000060,BK-0008611,PROP-050,GST-04635,2025-04-17,10,8,8,9,10,Positive,Google
REV-000061,BK-0045424,PROP-025,GST-04431,2025-02-23,5,4,5,5,5,Negative,Google
REV-000062,BK-0020320,PROP-013,GST-00459,2025-02-14,8,7,7,7,7,Positive,Google
REV-000063,BK-0007647,PROP-022,GST-01233,2025-03-03,7,8,6,6,8,Neutral,Google
REV-000064,BK-0021631,PROP-023,GST-00330,2025-01-15,10,8,9,10,10,Positive,Google
REV-000065,BK-0033655,PROP-017,GST-00927,2025-02-04,6,5,7,7,5,Neutral,Booking.com
REV-000066,BK-0010657,PROP-027,GST-03479,2025-03-21,6,6,5,3,5,Neutral,TripAdvisor
REV-000067,BK-0033370,PROP-034,GST-01308,2025-01-29,8,8,7,6,8,Positive,TripAdvisor
REV-000068,BK-0047519,PROP-002,GST-03315,2025-03-16,6,8,6,7,5,Neutral,Direct
REV-000069,BK-0007649,PROP-004,GST-03235,2025-04-15,9,9,9,9,8,Positive,Google
REV-000070,BK-0032318,PROP-031,GST-04608,2025-04-29,9,9,10,9,10,Positive,TripAdvisor
REV-000071,BK-0033651,PROP-011,GST-00687,2025-02-12,7,5,7,6,6,Neutral,TripAdvisor
REV-000072,BK-0002841,PROP-033,GST-03355,2025-04-08,7,7,9,7,5,Neutral,Direct
REV-000073,BK-0038359,PROP-032,GST-01499,2025-04-04,6,7,5,6,8,Neutral,Direct
REV-000074,BK-0018140,PROP-050,GST-00521,2025-05-01,10,9,9,10,10,Positive,Booking.com
REV-000075,BK-0012785,PROP-014,GST-02489,2025-02-14,7,7,7,6,6,Neutral,TripAdvisor
REV-000076,BK-0045974,PROP-036,GST-03193,2025-05-05,8,7,6,8,7,Positive,Google
REV-000077,BK-0001420,PROP-010,GST-02867,2025-04-14,8,7,8,7,8,Positive,Booking.com
REV-000078,BK-0019137,PROP-027,GST-01784,2025-02-12,7,8,8,7,7,Neutral,Booking.com
REV-000079,BK-0040437,PROP-037,GST-00909,2025-01-08,7,7,7,7,6,Neutral,TripAdvisor
REV-000080,BK-0043710,PROP-003,GST-03804,2025-01-16,7,6,7,8,6,Neutral,Direct
REV-000081,BK-0046222,PROP-004,GST-01513,2025-04-30,9,10,8,9,9,Positive,Booking.com
REV-000082,BK-0028936,PROP-047,GST-02933,2025-04-17,10,9,10,8,10,Positive,Booking.com
REV-000083,BK-0035295,PROP-040,GST-00799,2025-03-27,8,9,10,6,10,Positive,Google
REV-000084,BK-0013801,PROP-023,GST-04569,2025-04-24,7,6,6,8,6,Neutral,Google
REV-000085,BK-0047187,PROP-050,GST-04020,2025-05-02,6,7,6,6,6,Neutral,TripAdvisor
REV-000086,BK-0042888,PROP-037,GST-01421,2025-04-14,10,10,9,10,9,Positive,Booking.com
REV-000087,BK-0041689,PROP-050,GST-02220,2025-04-04,8,6,9,7,8,Positive,Direct
REV-000088,BK-0041640,PROP-049,GST-01918,2025-05-02,8,8,10,6,8,Positive,Direct
REV-000089,BK-0047450,PROP-006,GST-02213,2025-04-05,9,9,8,10,9,Positive,Google
REV-000090,BK-0011312,PROP-016,GST-03341,2025-03-22,8,8,8,8,8,Positive,Booking.com
REV-000091,BK-0024863,PROP-014,GST-02168,2025-03-29,9,8,8,9,9,Positive,Direct
REV-000092,BK-0049416,PROP-048,GST-02473,2025-01-30,8,9,8,8,8,Positive,TripAdvisor
REV-000093,BK-0004455,PROP-008,GST-00992,2025-01-10,7,8,6,6,6,Neutral,TripAdvisor
REV-000094,BK-0041747,PROP-013,GST-02996,2025-04-27,9,9,8,9,9,Positive,TripAdvisor
REV-000095,BK-0003199,PROP-038,GST-03588,2025-02-22,8,9,8,8,7,Positive,Direct
REV-000096,BK-0009941,PROP-031,GST-00178,2025-01-22,8,8,9,8,7,Positive,Direct
REV-000097,BK-0045276,PROP-008,GST-04682,2025-04-03,10,9,10,10,10,Positive,Google
REV-000098,BK-0018171,PROP-007,GST-04691,2025-03-23,9,9,10,9,9,Positive,Google
REV-000099,BK-0038519,PROP-042,GST-03059,2025-02-07,9,8,8,10,7,Positive,Google
REV-000100,BK-0023322,PROP-043,GST-04323,2025-03-23,6,5,7,7,6,Neutral,Booking.com
REV-000101,BK-0020107,PROP-027,GST-00246,2025-04-21,10,10,9,10,10,Positive,Booking.com
REV-000102,BK-0010327,PROP-033,GST-00519,2025-04-19,8,10,8,7,7,Positive,Direct
REV-000103,BK-0017803,PROP-024,GST-02129,2025-04-30,9,10,8,9,8,Positive,Google
REV-000104,BK-0037173,PROP-001,GST-04831,2025-05-04,8,7,8,8,7,Positive,Direct
REV-000105,BK-0018113,PROP-044,GST-02434,2025-02-10,8,8,8,7,10,Positive,Booking.com
REV-000106,BK-0031765,PROP-005,GST-04914,2025-04-08,9,10,9,10,9,Positive,Google
REV-000107,BK-0031826,PROP-030,GST-03446,2025-01-29,8,6,8,10,9,Positive,Direct
REV-000108,BK-0001446,PROP-016,GST-02393,2025-04-15,9,10,9,9,10,Positive,TripAdvisor
REV-000109,BK-0047009,PROP-020,GST-04520,2025-01-14,10,10,10,10,10,Positive,Google
REV-000110,BK-0019073,PROP-043,GST-04640,2025-01-15,7,6,5,7,5,Neutral,TripAdvisor
REV-000111,BK-0009326,PROP-019,GST-02716,2025-02-28,9,9,9,8,9,Positive,Direct
REV-000112,BK-0027799,PROP-037,GST-00784,2025-01-08,7,8,8,7,9,Neutral,TripAdvisor
REV-000113,BK-0021169,PROP-018,GST-01402,2025-03-27,8,10,9,9,6,Positive,Google
REV-000114,BK-0017202,PROP-038,GST-03689,2025-04-24,9,8,8,9,9,Positive,Booking.com
REV-000115,BK-0047583,PROP-041,GST-02434,2025-04-23,8,8,7,9,8,Positive,Google
REV-000116,BK-0024060,PROP-033,GST-04281,2025-01-08,5,3,5,6,5,Negative,Google
REV-000117,BK-0038330,PROP-017,GST-02850,2025-01-29,8,7,6,9,9,Positive,Direct
REV-000118,BK-0025039,PROP-011,GST-00509,2025-02-08,7,6,8,6,8,Neutral,TripAdvisor
REV-000119,BK-0017331,PROP-030,GST-02495,2025-03-01,8,9,8,7,7,Positive,Google
REV-000120,BK-0045936,PROP-023,GST-00706,2025-04-18,9,10,9,10,10,Positive,Direct
REV-000121,BK-0036026,PROP-027,GST-04109,2025-02-17,9,9,10,10,9,Positive,Booking.com
REV-000122,BK-0048647,PROP-014,GST-00227,2025-04-14,9,10,9,9,9,Positive,Booking.com
REV-000123,BK-0012030,PROP-015,GST-01463,2025-04-22,8,7,9,8,9,Positive,Google
REV-000124,BK-0049581,PROP-035,GST-01415,2025-03-30,7,8,6,5,6,Neutral,Booking.com
REV-000125,BK-0021585,PROP-009,GST-00267,2025-01-28,10,10,10,10,10,Positive,TripAdvisor
REV-000126,BK-0034053,PROP-030,GST-00849,2025-04-28,10,9,9,10,10,Positive,TripAdvisor
REV-000127,BK-0011440,PROP-043,GST-04012,2025-04-30,8,8,10,8,7,Positive,Google
REV-000128,BK-0016385,PROP-037,GST-02071,2025-05-01,9,9,9,10,10,Positive,Google
REV-000129,BK-0020058,PROP-043,GST-01471,2025-01-28,7,7,6,9,6,Neutral,TripAdvisor
REV-000130,BK-0011020,PROP-022,GST-04430,2025-04-09,9,9,9,9,7,Positive,Google
REV-000131,BK-0023684,PROP-032,GST-00809,2025-01-18,9,9,9,8,7,Positive,Booking.com
REV-000132,BK-0024066,PROP-016,GST-04028,2025-05-02,8,9,8,7,8,Positive,TripAdvisor
REV-000133,BK-0019834,PROP-021,GST-01350,2025-03-23,8,8,7,8,7,Positive,Direct
REV-000134,BK-0014400,PROP-021,GST-01214,2025-03-22,5,4,5,5,4,Negative,Google
REV-000135,BK-0043779,PROP-035,GST-01659,2025-03-25,6,6,3,6,4,Neutral,Booking.com
REV-000136,BK-0022730,PROP-045,GST-02579,2025-04-12,8,9,6,8,8,Positive,Direct
REV-000137,BK-0043422,PROP-031,GST-03846,2025-02-27,10,10,10,10,9,Positive,Booking.com
REV-000138,BK-0036190,PROP-016,GST-01780,2025-02-21,9,10,7,9,7,Positive,TripAdvisor
REV-000139,BK-0031921,PROP-009,GST-02184,2025-02-09,6,7,7,6,6,Neutral,Booking.com
REV-000140,BK-0008584,PROP-047,GST-01072,2025-03-28,8,7,6,6,9,Positive,TripAdvisor
REV-000141,BK-0025660,PROP-011,GST-03902,2025-02-08,9,7,10,10,9,Positive,Google
REV-000142,BK-0024353,PROP-014,GST-02196,2025-01-22,8,6,7,8,7,Positive,Direct
REV-000143,BK-0029152,PROP-042,GST-02596,2025-05-07,9,10,7,9,8,Positive,Google
REV-000144,BK-0040378,PROP-011,GST-03672,2025-02-17,9,9,9,9,9,Positive,Direct
REV-000145,BK-0020994,PROP-031,GST-04468,2025-03-28,8,9,8,7,7,Positive,Google
REV-000146,BK-0020367,PROP-037,GST-04008,2025-03-10,8,7,7,9,7,Positive,Google
REV-000147,BK-0035595,PROP-039,GST-04242,2025-02-28,7,8,8,6,8,Neutral,Booking.com
REV-000148,BK-0013417,PROP-021,GST-01726,2025-02-17,8,6,9,6,7,Positive,TripAdvisor
REV-000149,BK-0042269,PROP-042,GST-00032,2025-03-06,7,6,6,6,7,Neutral,Booking.com
REV-000150,BK-0020789,PROP-043,GST-02998,2025-04-21,7,5,8,7,8,Neutral,Google
REV-000151,BK-0009351,PROP-034,GST-02467,2025-04-02,9,9,10,9,9,Positive,Direct
REV-000152,BK-0000298,PROP-017,GST-00747,2025-02-17,9,9,10,9,9,Positive,Google
REV-000153,BK-0003431,PROP-008,GST-01102,2025-01-25,8,8,7,8,7,Positive,TripAdvisor
REV-000154,BK-0045207,PROP-039,GST-02715,2025-01-30,6,7,9,6,6,Neutral,Google
REV-000155,BK-0018991,PROP-014,GST-03663,2025-04-29,8,8,8,8,8,Positive,Booking.com
REV-000156,BK-0046678,PROP-015,GST-00362,2025-04-12,8,9,8,9,8,Positive,Booking.com
REV-000157,BK-0018713,PROP-045,GST-03424,2025-03-25,9,10,10,8,9,Positive,Direct
REV-000158,BK-0046880,PROP-014,GST-01893,2025-01-15,8,7,7,7,8,Positive,TripAdvisor
REV-000159,BK-0021954,PROP-028,GST-01203,2025-04-01,9,9,8,8,10,Positive,Google
REV-000160,BK-0041832,PROP-032,GST-00142,2025-05-05,10,10,10,10,9,Positive,TripAdvisor
REV-000161,BK-0040249,PROP-049,GST-04455,2025-04-17,7,7,5,8,7,Neutral,Google
REV-000162,BK-0037571,PROP-021,GST-00451,2025-02-15,7,6,7,6,7,Neutral,Booking.com
REV-000163,BK-0018695,PROP-025,GST-03032,2025-03-01,9,7,10,6,9,Positive,TripAdvisor
REV-000164,BK-0003677,PROP-041,GST-02597,2025-01-22,8,9,8,9,9,Positive,TripAdvisor
REV-000165,BK-0019130,PROP-016,GST-03199,2025-01-15,8,9,9,8,8,Positive,Google
REV-000166,BK-0006914,PROP-015,GST-01922,2025-03-21,9,9,8,10,7,Positive,Booking.com
REV-000167,BK-0001920,PROP-007,GST-02709,2025-02-11,9,8,10,10,9,Positive,TripAdvisor
REV-000168,BK-0018776,PROP-014,GST-03440,2025-03-17,9,9,8,9,7,Positive,Google
REV-000169,BK-0032834,PROP-017,GST-00558,2025-01-21,10,10,7,9,10,Positive,TripAdvisor
REV-000170,BK-0011877,PROP-032,GST-02752,2025-04-22,8,8,8,8,9,Positive,Direct
REV-000171,BK-0047838,PROP-020,GST-04467,2025-01-21,6,6,6,7,7,Neutral,TripAdvisor
REV-000172,BK-0035989,PROP-036,GST-01735,2025-02-04,8,10,10,9,9,Positive,TripAdvisor
REV-000173,BK-0012499,PROP-026,GST-00149,2025-02-11,9,9,9,10,10,Positive,Booking.com
REV-000174,BK-0022604,PROP-042,GST-01807,2025-03-27,8,9,8,9,8,Positive,Google
REV-000175,BK-0028509,PROP-004,GST-00149,2025-04-14,9,9,9,10,8,Positive,TripAdvisor
REV-000176,BK-0034983,PROP-038,GST-04609,2025-02-22,10,10,10,10,10,Positive,Direct
REV-000177,BK-0020499,PROP-048,GST-03786,2025-03-14,8,7,10,10,7,Positive,Google
REV-000178,BK-0017486,PROP-040,GST-04843,2025-01-14,10,10,10,10,10,Positive,Direct
REV-000179,BK-0048664,PROP-042,GST-00529,2025-04-13,7,8,8,7,8,Neutral,Booking.com
REV-000180,BK-0037784,PROP-048,GST-04253,2025-02-02,8,9,9,8,8,Positive,Direct
REV-000181,BK-0036676,PROP-013,GST-04382,2025-04-08,6,5,7,7,6,Neutral,Booking.com
REV-000182,BK-0032509,PROP-049,GST-01305,2025-03-07,10,10,10,10,10,Positive,Google
REV-000183,BK-0017611,PROP-015,GST-04224,2025-02-15,9,9,9,7,8,Positive,Direct
REV-000184,BK-0003441,PROP-028,GST-00804,2025-04-27,8,8,10,8,10,Positive,Booking.com
REV-000185,BK-0005203,PROP-007,GST-03109,2025-04-24,6,6,8,6,7,Neutral,TripAdvisor
REV-000186,BK-0015236,PROP-035,GST-02020,2025-01-24,7,7,6,6,8,Neutral,TripAdvisor
REV-000187,BK-0033193,PROP-031,GST-00265,2025-04-03,6,7,9,6,3,Neutral,Google
REV-000188,BK-0008058,PROP-002,GST-04024,2025-03-16,9,8,10,8,10,Positive,Direct
REV-000189,BK-0047142,PROP-034,GST-04282,2025-01-22,9,9,9,9,7,Positive,Direct
REV-000190,BK-0036552,PROP-010,GST-04663,2025-03-16,10,10,9,9,10,Positive,Booking.com
REV-000191,BK-0012570,PROP-004,GST-01553,2025-01-11,6,5,7,5,6,Neutral,TripAdvisor
REV-000192,BK-0039227,PROP-032,GST-00218,2025-05-03,10,9,10,9,9,Positive,Booking.com
REV-000193,BK-0013729,PROP-009,GST-04989,2025-05-07,7,5,7,8,7,Neutral,TripAdvisor
REV-000194,BK-0038326,PROP-007,GST-04935,2025-04-26,10,9,8,9,10,Positive,Direct
REV-000195,BK-0018942,PROP-042,GST-00326,2025-03-15,8,9,8,5,7,Positive,Booking.com
REV-000196,BK-0007102,PROP-037,GST-01221,2025-04-01,9,10,10,8,8,Positive,Direct
REV-000197,BK-0029614,PROP-012,GST-00067,2025-03-31,5,5,6,4,4,Negative,Google
REV-000198,BK-0049174,PROP-017,GST-04029,2025-04-23,9,10,10,8,8,Positive,Google
REV-000199,BK-0016904,PROP-010,GST-03590,2025-01-14,7,8,7,8,7,Neutral,TripAdvisor
REV-000200,BK-0048029,PROP-007,GST-01732,2025-04-18,7,6,7,7,7,Neutral,Google
REV-000201,BK-0001164,PROP-039,GST-01986,2025-03-06,10,9,10,10,10,Positive,Direct
REV-000202,BK-0025785,PROP-014,GST-00242,2025-02-05,9,9,10,9,8,Positive,Booking.com
REV-000203,BK-0025717,PROP-050,GST-03106,2025-05-10,5,6,5,4,4,Negative,Booking.com
REV-000204,BK-0009558,PROP-041,GST-03440,2025-04-11,8,7,7,9,9,Positive,Google
REV-000205,BK-0044972,PROP-009,GST-00049,2025-02-20,8,8,8,7,8,Positive,TripAdvisor
REV-000206,BK-0011386,PROP-016,GST-02037,2025-01-26,8,7,8,9,8,Positive,TripAdvisor
REV-000207,BK-0026994,PROP-020,GST-04389,2025-03-23,10,9,10,9,8,Positive,Google
REV-000208,BK-0002893,PROP-001,GST-00928,2025-03-19,9,9,7,8,10,Positive,TripAdvisor
REV-000209,BK-0009724,PROP-042,GST-04227,2025-04-17,7,6,7,6,7,Neutral,Booking.com
REV-000210,BK-0038276,PROP-040,GST-00465,2025-01-25,10,9,9,9,8,Positive,Direct
REV-000211,BK-0009338,PROP-033,GST-00669,2025-01-29,9,8,9,8,9,Positive,Direct
REV-000212,BK-0010601,PROP-046,GST-03605,2025-01-09,6,6,6,5,7,Neutral,Booking.com
REV-000213,BK-0038486,PROP-036,GST-02525,2025-03-15,8,8,8,10,8,Positive,TripAdvisor
REV-000214,BK-0030338,PROP-025,GST-01479,2025-04-20,6,6,5,6,5,Neutral,Direct
REV-000215,BK-0014120,PROP-007,GST-00599,2025-01-05,7,5,8,6,7,Neutral,TripAdvisor
REV-000216,BK-0036996,PROP-041,GST-03590,2025-03-26,8,7,8,7,7,Positive,TripAdvisor
REV-000217,BK-0004976,PROP-044,GST-01757,2025-03-13,7,7,7,6,7,Neutral,Direct
REV-000218,BK-0031991,PROP-039,GST-01432,2025-04-15,7,7,8,8,6,Neutral,Google
REV-000219,BK-0030358,PROP-046,GST-01683,2025-04-13,10,10,9,10,10,Positive,TripAdvisor
REV-000220,BK-0028467,PROP-030,GST-04445,2025-03-19,6,5,6,7,7,Neutral,Booking.com
REV-000221,BK-0004338,PROP-045,GST-01552,2025-01-09,8,8,8,7,9,Positive,TripAdvisor
REV-000222,BK-0003717,PROP-050,GST-00830,2025-02-26,8,8,8,8,8,Positive,TripAdvisor
REV-000223,BK-0033428,PROP-015,GST-00873,2025-01-24,10,9,10,10,9,Positive,TripAdvisor
REV-000224,BK-0049415,PROP-047,GST-01288,2025-01-28,5,5,4,5,5,Negative,Direct
REV-000225,BK-0021582,PROP-027,GST-00832,2025-04-08,4,3,5,5,3,Negative,Google
REV-000226,BK-0045848,PROP-028,GST-02387,2025-04-08,10,10,10,10,10,Positive,Direct
REV-000227,BK-0010411,PROP-012,GST-01425,2025-01-29,7,8,8,8,7,Neutral,Google
REV-000228,BK-0037957,PROP-048,GST-01116,2025-05-03,8,8,9,8,9,Positive,Booking.com
REV-000229,BK-0014206,PROP-026,GST-03078,2025-05-02,9,10,9,10,9,Positive,Direct
REV-000230,BK-0032448,PROP-047,GST-03997,2025-04-30,8,8,7,8,7,Positive,Google
REV-000231,BK-0028150,PROP-043,GST-04156,2025-02-23,9,9,9,9,9,Positive,Direct
REV-000232,BK-0004842,PROP-013,GST-00097,2025-02-08,9,10,8,10,9,Positive,Booking.com
REV-000233,BK-0044150,PROP-005,GST-01489,2025-03-19,9,9,9,9,9,Positive,Booking.com
REV-000234,BK-0021284,PROP-045,GST-01761,2025-01-19,7,7,8,6,8,Neutral,TripAdvisor
REV-000235,BK-0023018,PROP-015,GST-04967,2025-04-29,10,9,10,9,10,Positive,Direct
REV-000236,BK-0011443,PROP-040,GST-03056,2025-04-11,10,8,10,9,10,Positive,Booking.com
REV-000237,BK-0030773,PROP-013,GST-04817,2025-04-01,8,7,8,8,9,Positive,Direct
REV-000238,BK-0040483,PROP-014,GST-01555,2025-01-22,8,8,7,8,9,Positive,Direct
REV-000239,BK-0028307,PROP-040,GST-00148,2025-02-25,10,10,10,9,10,Positive,Google
REV-000240,BK-0023416,PROP-020,GST-01768,2025-01-28,8,7,10,8,7,Positive,Direct
REV-000241,BK-0017444,PROP-040,GST-02184,2025-03-04,9,9,9,9,10,Positive,Booking.com
REV-000242,BK-0033996,PROP-002,GST-00986,2025-03-22,6,7,7,6,8,Neutral,Direct
REV-000243,BK-0023070,PROP-011,GST-02353,2025-04-02,6,6,6,5,5,Neutral,Google
REV-000244,BK-0021974,PROP-046,GST-04982,2025-01-29,10,10,10,10,9,Positive,Direct
REV-000245,BK-0039006,PROP-043,GST-04593,2025-05-09,7,5,8,8,5,Neutral,Google
REV-000246,BK-0037379,PROP-001,GST-00178,2025-03-13,9,9,8,10,7,Positive,TripAdvisor
REV-000247,BK-0011254,PROP-044,GST-00373,2025-04-10,10,6,10,9,9,Positive,Booking.com
REV-000248,BK-0017095,PROP-017,GST-04296,2025-04-21,6,4,5,7,5,Neutral,TripAdvisor
REV-000249,BK-0045236,PROP-002,GST-00148,2025-01-21,10,9,10,10,10,Positive,Direct
REV-000250,BK-0022493,PROP-010,GST-02758,2025-04-11,9,10,8,8,10,Positive,Google
REV-000251,BK-0014717,PROP-038,GST-02169,2025-01-09,7,5,5,9,7,Neutral,Google
REV-000252,BK-0032091,PROP-038,GST-01504,2025-02-27,9,9,9,9,10,Positive,TripAdvisor
REV-000253,BK-0043799,PROP-047,GST-01118,2025-04-22,6,6,7,5,7,Neutral,Booking.com
REV-000254,BK-0031285,PROP-014,GST-00794,2025-05-03,6,7,7,6,5,Neutral,TripAdvisor
REV-000255,BK-0033981,PROP-008,GST-04652,2025-05-04,10,10,10,9,9,Positive,Google
REV-000256,BK-0013757,PROP-013,GST-04354,2025-01-30,9,10,10,8,8,Positive,Direct
REV-000257,BK-0018175,PROP-010,GST-04272,2025-01-10,9,7,8,9,10,Positive,TripAdvisor
REV-000258,BK-0045256,PROP-046,GST-03974,2025-01-18,6,8,6,6,6,Neutral,Booking.com
REV-000259,BK-0024720,PROP-021,GST-02254,2025-01-15,6,7,5,7,8,Neutral,TripAdvisor
REV-000260,BK-0019367,PROP-040,GST-02041,2025-03-21,10,10,10,10,9,Positive,TripAdvisor
REV-000261,BK-0042945,PROP-030,GST-00058,2025-04-15,7,8,7,7,6,Neutral,TripAdvisor
REV-000262,BK-0004501,PROP-043,GST-04777,2025-03-24,8,7,5,8,7,Positive,TripAdvisor
REV-000263,BK-0033173,PROP-003,GST-01445,2025-01-21,8,8,8,8,7,Positive,Direct
REV-000264,BK-0032126,PROP-047,GST-01903,2025-04-19,7,5,5,7,7,Neutral,Booking.com
REV-000265,BK-0018805,PROP-005,GST-01500,2025-05-01,5,3,6,6,5,Negative,Google
REV-000266,BK-0004686,PROP-026,GST-04181,2025-01-27,10,10,10,10,10,Positive,Direct
REV-000267,BK-0047951,PROP-011,GST-01820,2025-01-30,10,7,10,10,9,Positive,Google
REV-000268,BK-0027846,PROP-030,GST-01025,2025-04-19,7,7,7,7,6,Neutral,Google
REV-000269,BK-0029761,PROP-024,GST-01186,2025-04-30,5,3,5,3,5,Negative,TripAdvisor
