log_id,vehicle_id,log_date,depot,odometer_km,litres_filled,cost_per_litre,total_cost_gbp,fuel_type
FL-0000071,VEH-0045,2025-02-24,Birmingham,287659,104.1,1.474,153.46,Diesel
FL-0000072,VEH-0034,2025-01-01,Glasgow,161972,192.8,1.471,283.58,Diesel
FL-0000073,VEH-0093,2025-02-10,Bristol,127105,153.6,1.744,267.9,Diesel
FL-0000074,VEH-0075,2025-01-17,Glasgow,160365,91.6,1.594,145.95,Diesel
FL-0000075,VEH-0086,2025-01-01,Leeds,293264,104.8,1.512,158.49,Diesel
FL-0000076,VEH-0023,2025-01-22,Manchester,161334,48.6,1.678,81.49,Diesel
FL-0000077,VEH-0022,2025-01-15,Bristol,87674,57.1,1.801,102.89,Diesel
FL-0000078,VEH-0074,2025-02-01,Manchester,117085,91.4,1.791,163.77,Diesel
FL-0000079,VEH-0050,2025-02-24,Birmingham,117781,137.4,1.698,233.3,Diesel
FL-0000080,VEH-0095,2025-02-20,Manchester,85604,128.7,1.812,233.13,Diesel
FL-0000081,VEH-0080,2025-01-15,London,135202,207.7,1.499,311.3,Diesel
FL-0000082,VEH-0075,2025-03-27,Glasgow,68301,90.9,1.528,138.93,Electric
FL-0000083,VEH-0060,2025-01-28,Glasgow,190181,54.8,1.738,95.25,Diesel
FL-0000084,VEH-0024,2025-03-02,Manchester,127381,114.0,1.772,201.96,HVO
FL-0000085,VEH-0035,2025-01-21,Glasgow,66982,91.2,1.468,133.9,Diesel
FL-0000086,VEH-0002,2025-03-17,London,194892,119.4,1.579,188.54,HVO
FL-0000087,VEH-0089,2025-03-31,London,183227,49.4,1.662,82.03,Diesel
FL-0000088,VEH-0091,2025-03-19,Manchester,253326,100.5,1.649,165.73,Diesel
FL-0000089,VEH-0033,2025-01-13,London,299865,68.0,1.645,111.79,HVO
FL-0000090,VEH-0050,2025-02-13,Birmingham,183216,149.7,1.484,222.14,Diesel
FL-0000091,VEH-0024,2025-01-22,Manchester,56824,145.8,1.73,252.18,Diesel
FL-0000092,VEH-0041,2025-02-05,Bristol,117415,167.2,1.585,265.02,Diesel
FL-0000093,VEH-0059,2025-03-11,London,255559,72.7,1.698,123.43,Diesel
FL-0000094,VEH-0091,2025-01-16,Manchester,107218,104.8,1.65,172.86,Diesel
FL-0000095,VEH-0076,2025-01-20,London,238166,83.3,1.845,153.71,Diesel
FL-0000096,VEH-0071,2025-03-05,Bristol,265938,73.3,1.742,127.67,Diesel
FL-0000097,VEH-0042,2025-01-07,London,66494,139.1,1.772,246.44,Diesel
FL-0000098,VEH-0098,2025-02-28,Glasgow,284695,80.4,1.758,141.31,Diesel
FL-0000099,VEH-0091,2025-02-27,Manchester,94261,72.7,1.648,119.77,Diesel
FL-0000100,VEH-0047,2025-01-24,London,252993,134.7,1.783,240.09,Diesel
FL-0000101,VEH-0091,2025-02-06,Manchester,206755,107.8,1.516,163.37,Diesel
FL-0000102,VEH-0027,2025-02-13,Leeds,177675,76.4,1.73,132.13,Diesel
FL-0000103,VEH-0022,2025-02-28,Bristol,220874,175.5,1.453,254.98,Electric
FL-0000104,VEH-0020,2025-02-26,London,224598,113.9,1.619,184.45,Diesel
FL-0000105,VEH-0046,2025-03-27,Glasgow,250564,120.1,1.791,215.06,Electric
FL-0000106,VEH-0016,2025-03-27,Birmingham,95472,135.9,1.504,204.46,Diesel
FL-0000107,VEH-0029,2025-02-01,London,219754,76.5,1.69,129.27,Diesel
FL-0000108,VEH-0042,2025-02-11,London,61137,148.3,1.567,232.31,Diesel
FL-0000109,VEH-0098,2025-03-03,Glasgow,112268,110.2,1.595,175.77,Diesel
FL-0000110,VEH-0057,2025-02-01,Glasgow,125919,68.3,1.792,122.41,Electric
FL-0000111,VEH-0017,2025-02-07,London,108117,89.5,1.46,130.68,Diesel
FL-0000112,VEH-0061,2025-01-06,Glasgow,224164,121.5,1.584,192.38,HVO
FL-0000113,VEH-0016,2025-01-01,Birmingham,117921,127.6,1.783,227.58,Electric
FL-0000114,VEH-0029,2025-01-29,London,245572,70.8,1.476,104.53,Diesel
FL-0000115,VEH-0026,2025-03-12,Manchester,97247,70.3,1.539,108.14,Diesel
FL-0000116,VEH-0032,2025-03-06,Manchester,216166,139.4,1.842,256.72,Diesel
FL-0000117,VEH-0099,2025-02-28,Glasgow,184477,152.6,1.84,280.75,Diesel
FL-0000118,VEH-0001,2025-01-08,Birmingham,83020,146.3,1.479,216.34,Diesel
FL-0000119,VEH-0086,2025-02-13,Leeds,75925,114.5,1.781,203.98,Diesel
FL-0000120,VEH-0007,2025-01-23,Bristol,133070,74.7,1.581,118.11,Diesel
FL-0000121,VEH-0057,2025-03-15,Glasgow,85772,123.6,1.732,214.02,Diesel
FL-0000122,VEH-0039,2025-03-05,Glasgow,277138,152.7,1.725,263.49,Diesel
FL-0000123,VEH-0012,2025-03-04,Birmingham,197294,75.8,1.481,112.29,HVO
FL-0000124,VEH-0033,2025-03-20,London,140327,104.9,1.519,159.36,Diesel
FL-0000125,VEH-0046,2025-01-25,Glasgow,70773,105.5,1.501,158.43,Diesel
FL-0000126,VEH-0024,2025-03-11,Manchester,136234,99.1,1.591,157.62,Diesel
FL-0000127,VEH-0039,2025-02-23,Glasgow,261087,108.5,1.841,199.73,Diesel
FL-0000128,VEH-0074,2025-01-04,Manchester,229166,83.7,1.494,125.11,Diesel
FL-0000129,VEH-0072,2025-01-08,Leeds,144928,112.1,1.673,187.49,HVO
FL-0000130,VEH-0017,2025-03-30,London,179093,112.7,1.606,180.93,Diesel
FL-0000131,VEH-0035,2025-02-08,Glasgow,267166,144.1,1.782,256.82,Diesel
FL-0000132,VEH-0040,2025-02-19,Birmingham,194226,102.0,1.848,188.47,Diesel
FL-0000133,VEH-0015,2025-03-26,Manchester,108292,120.3,1.759,211.66,Diesel
FL-0000134,VEH-0067,2025-01-27,Manchester,208056,124.7,1.469,183.19,Diesel
FL-0000135,VEH-0035,2025-03-17,Glasgow,77750,90.8,1.678,152.4,Diesel
FL-0000136,VEH-0090,2025-03-08,London,118718,175.6,1.676,294.32,Diesel
FL-0000137,VEH-0088,2025-01-27,Manchester,188491,151.4,1.491,225.8,Diesel
FL-0000138,VEH-0072,2025-02-01,Leeds,224655,78.9,1.825,143.9,Diesel
FL-0000139,VEH-0008,2025-03-04,Glasgow,283365,95.0,1.757,167.0,Diesel
FL-0000140,VEH-0028,2025-01-29,Leeds,56112,143.9,1.749,251.73,Diesel
FL-0000141,VEH-0003,2025-02-14,Leeds,189848,148.3,1.594,236.34,Electric
FL-0000142,VEH-0047,2025-01-12,London,266767,132.2,1.65,218.08,Diesel
FL-0000143,VEH-0080,2025-02-24,London,152521,189.2,1.487,281.27,Diesel
FL-0000144,VEH-0029,2025-03-01,London,287217,120.0,1.505,180.62,Diesel
FL-0000145,VEH-0051,2025-03-26,Glasgow,231072,66.9,1.758,117.58,Diesel
FL-0000146,VEH-0074,2025-01-17,Manchester,253692,127.7,1.848,236.07,Diesel
FL-0000147,VEH-0030,2025-01-07,London,190213,153.7,1.849,284.16,HVO
FL-0000148,VEH-0051,2025-02-02,Glasgow,99177,106.1,1.62,171.83,Diesel
FL-0000149,VEH-0014,2025-01-19,Birmingham,268424,192.5,1.469,282.72,Diesel
FL-0000150,VEH-0056,2025-01-01,Leeds,232320,105.5,1.68,177.21,Diesel
FL-0000151,VEH-0078,2025-03-28,Glasgow,257707,171.3,1.579,270.52,Electric
FL-0000152,VEH-0079,2025-03-12,Leeds,289621,80.4,1.7,136.7,Electric
FL-0000153,VEH-0042,2025-02-14,London,194238,93.0,1.646,153.05,Diesel
FL-0000154,VEH-0043,2025-02-09,London,78986,109.6,1.523,166.93,Diesel
FL-0000155,VEH-0054,2025-01-01,London,218174,59.0,1.558,91.93,Diesel
FL-0000156,VEH-0082,2025-03-03,Bristol,154589,110.4,1.527,168.62,Diesel
FL-0000157,VEH-0051,2025-02-24,Glasgow,106195,114.2,1.606,183.34,Diesel
FL-0000158,VEH-0095,2025-02-04,Manchester,229382,159.9,1.657,265.04,Diesel
FL-0000159,VEH-0022,2025-03-24,Bristol,168576,80.2,1.69,135.47,Diesel
FL-0000160,VEH-0015,2025-02-11,Manchester,268540,126.2,1.496,188.81,HVO
FL-0000161,VEH-0067,2025-01-06,Manchester,291511,144.2,1.626,234.43,Diesel
FL-0000162,VEH-0024,2025-03-12,Manchester,270188,135.9,1.629,221.39,Diesel
FL-0000163,VEH-0044,2025-01-10,Manchester,211259,90.9,1.839,167.08,Diesel
FL-0000164,VEH-0075,2025-01-16,Glasgow,241065,132.1,1.646,217.37,Diesel
FL-0000165,VEH-0013,2025-03-13,Birmingham,105817,101.1,1.61,162.77,Diesel
FL-0000166,VEH-0010,2025-01-08,London,255370,157.7,1.685,265.65,Diesel
FL-0000167,VEH-0004,2025-02-26,Birmingham,274720,139.2,1.728,240.6,Diesel
FL-0000168,VEH-0077,2025-02-08,London,218367,87.4,1.659,144.95,Diesel
FL-0000169,VEH-0034,2025-02-09,Glasgow,299615,127.7,1.779,227.21,Diesel
FL-0000170,VEH-0050,2025-03-03,Birmingham,243713,134.8,1.597,215.24,Diesel
FL-0000171,VEH-0021,2025-01-28,Birmingham,278364,79.1,1.545,122.16,Electric
FL-0000172,VEH-0077,2025-02-27,London,274518,93.8,1.623,152.25,Electric
FL-0000173,VEH-0025,2025-03-06,Manchester,291201,60.7,1.47,89.27,Diesel
FL-0000174,VEH-0081,2025-01-25,Leeds,277904,67.3,1.464,98.48,Electric
FL-0000175,VEH-0015,2025-02-05,Manchester,173742,136.5,1.538,209.97,Electric
FL-0000176,VEH-0036,2025-01-29,Birmingham,237705,66.8,1.481,98.99,HVO
FL-0000177,VEH-0075,2025-03-08,Glasgow,144862,66.1,1.84,121.63,Diesel
FL-0000178,VEH-0077,2025-01-21,London,187084,73.1,1.455,106.3,Diesel
FL-0000179,VEH-0038,2025-01-02,Manchester,289026,116.7,1.768,206.31,Diesel
FL-0000180,VEH-0080,2025-01-24,London,74664,52.2,1.805,94.18,Electric
FL-0000181,VEH-0052,2025-03-01,London,106665,95.4,1.652,157.57,Electric
FL-0000182,VEH-0034,2025-03-04,Glasgow,280118,185.0,1.505,278.39,Diesel
FL-0000183,VEH-0057,2025-02-14,Glasgow,100426,99.9,1.769,176.74,Diesel
FL-0000184,VEH-0076,2025-01-07,London,195019,81.8,1.705,139.42,Diesel
FL-0000185,VEH-0069,2025-03-27,Manchester,191735,149.1,1.795,267.68,Diesel
FL-0000186,VEH-0039,2025-03-22,Glasgow,196854,91.9,1.789,164.47,Electric
FL-0000187,VEH-0009,2025-03-05,Manchester,195260,189.8,1.847,350.55,Diesel
FL-0000188,VEH-0099,2025-01-25,Glasgow,198546,20.0,1.754,35.08,Electric
FL-0000189,VEH-0097,2025-01-03,London,260208,132.9,1.534,203.8,Diesel
FL-0000190,VEH-0093,2025-03-14,Bristol,214898,125.5,1.588,199.36,HVO
FL-0000191,VEH-0063,2025-03-29,London,255229,113.1,1.45,163.99,Diesel
FL-0000192,VEH-0069,2025-02-02,Manchester,172516,131.7,1.532,201.81,Diesel
FL-0000193,VEH-0090,2025-02-17,London,224593,142.8,1.808,258.19,Diesel
FL-0000194,VEH-0065,2025-01-20,Leeds,276871,103.7,1.655,171.66,Diesel
FL-0000195,VEH-0073,2025-01-23,London,81315,125.4,1.727,216.53,Diesel
FL-0000196,VEH-0017,2025-02-06,London,244248,125.4,1.512,189.6,Diesel
FL-0000197,VEH-0099,2025-01-03,Glasgow,259099,111.4,1.484,165.39,Diesel
FL-0000198,VEH-0011,2025-01-05,Glasgow,84352,130.9,1.751,229.25,Diesel
FL-0000199,VEH-0088,2025-03-13,Manchester,245293,182.0,1.798,327.15,Diesel
FL-0000200,VEH-0069,2025-01-29,Manchester,283698,94.8,1.508,143.03,Diesel
FL-0000201,VEH-0089,2025-01-16,London,91209,104.4,1.597,166.7,Diesel
FL-0000202,VEH-0024,2025-03-18,Manchester,254494,139.8,1.631,227.94,Diesel
FL-0000203,VEH-0083,2025-03-16,Birmingham,57498,35.7,1.63,58.12,Diesel
FL-0000204,VEH-0014,2025-03-02,Birmingham,248788,66.6,1.767,117.71,Diesel
FL-0000205,VEH-0081,2025-02-22,Leeds,273716,103.5,1.71,176.95,Electric
FL-0000206,VEH-0058,2025-01-26,Manchester,280041,105.0,1.843,193.44,Diesel
FL-0000207,VEH-0017,2025-02-04,London,275476,95.0,1.575,149.62,Electric
FL-0000208,VEH-0053,2025-02-22,Bristol,260265,149.0,1.754,261.37,Diesel
FL-0000209,VEH-0006,2025-03-03,Bristol,90991,170.9,1.61,275.2,Diesel
FL-0000210,VEH-0088,2025-02-03,Manchester,285730,81.9,1.705,139.67,Diesel
FL-0000211,VEH-0019,2025-02-04,Leeds,171017,98.9,1.477,146.14,Diesel
FL-0000212,VEH-0093,2025-02-26,Bristol,258083,67.7,1.669,113.01,Electric
FL-0000213,VEH-0019,2025-01-07,Leeds,151742,101.3,1.575,159.59,Electric
FL-0000214,VEH-0065,2025-01-02,Leeds,255880,118.4,1.608,190.43,HVO
FL-0000215,VEH-0063,2025-03-16,London,150718,54.6,1.726,94.18,Diesel
FL-0000216,VEH-0100,2025-02-06,Leeds,168608,120.7,1.691,204.06,HVO
FL-0000217,VEH-0019,2025-01-31,Leeds,74605,120.2,1.761,211.63,Diesel
FL-0000218,VEH-0072,2025-02-01,Leeds,74462,98.0,1.683,164.94,Diesel
FL-0000219,VEH-0047,2025-03-09,London,184254,66.3,1.72,113.98,Electric
FL-0000220,VEH-0019,2025-01-19,Leeds,195148,103.1,1.601,165.07,Diesel
FL-0000221,VEH-0031,2025-03-12,Leeds,282903,113.4,1.722,195.33,Diesel
FL-0000222,VEH-0006,2025-03-18,Bristol,110163,87.4,1.733,151.45,Diesel
FL-0000223,VEH-0047,2025-03-23,London,269432,100.1,1.779,178.11,Diesel
FL-0000224,VEH-0032,2025-02-01,Manchester,281695,93.1,1.813,168.81,Diesel
FL-0000225,VEH-0035,2025-01-15,Glasgow,70347,164.8,1.674,275.93,Diesel
FL-0000226,VEH-0042,2025-02-05,London,262307,126.0,1.807,227.65,HVO
FL-0000227,VEH-0070,2025-02-24,London,264674,70.8,1.81,128.22,Diesel
FL-0000228,VEH-0045,2025-03-24,Birmingham,140059,59.4,1.535,91.19,Diesel
FL-0000229,VEH-0090,2025-02-23,London,120762,103.2,1.458,150.5,Diesel
FL-0000230,VEH-0074,2025-01-05,Manchester,262008,95.3,1.712,163.11,Diesel
FL-0000231,VEH-0024,2025-03-19,Manchester,296339,126.4,1.713,216.57,Diesel
FL-0000232,VEH-0018,2025-03-13,Leeds,258110,86.6,1.708,147.95,Diesel
FL-0000233,VEH-0060,2025-03-05,Glasgow,295864,134.5,1.829,246.01,Diesel
FL-0000234,VEH-0024,2025-03-31,Manchester,76647,103.3,1.741,179.87,Electric
FL-0000235,VEH-0028,2025-02-23,Leeds,201904,97.6,1.649,160.88,Diesel
FL-0000236,VEH-0019,2025-01-06,Leeds,204672,73.3,1.472,107.83,Diesel
FL-0000237,VEH-0081,2025-03-28,Leeds,154249,122.9,1.698,208.77,Electric
FL-0000238,VEH-0055,2025-03-11,London,107387,137.1,1.727,236.82,Diesel
FL-0000239,VEH-0056,2025-02-21,Leeds,87036,42.7,1.607,68.59,Diesel
FL-0000240,VEH-0072,2025-01-18,Leeds,160542,120.3,1.717,206.56,Diesel
FL-0000241,VEH-0072,2025-02-03,Leeds,210483,86.1,1.459,125.56,Diesel
FL-0000242,VEH-0074,2025-01-19,Manchester,68222,88.4,1.492,131.82,HVO
FL-0000243,VEH-0081,2025-03-02,Leeds,200912,160.6,1.748,280.65,Electric
FL-0000244,VEH-0027,2025-01-30,Leeds,191755,46.2,1.577,72.82,Diesel
FL-0000245,VEH-0059,2025-01-13,London,280484,115.5,1.694,195.7,Diesel
FL-0000246,VEH-0029,2025-02-27,London,267590,125.2,1.769,221.4,HVO
FL-0000247,VEH-0038,2025-02-16,Manchester,292947,36.2,1.662,60.12,Diesel
FL-0000248,VEH-0018,2025-01-17,Leeds,222578,117.2,1.772,207.71,Electric
FL-0000249,VEH-0008,2025-03-22,Glasgow,263327,73.3,1.662,121.88,Diesel
FL-0000250,VEH-0052,2025-03-20,London,193367,111.9,1.782,199.46,Diesel
FL-0000251,VEH-0012,2025-03-14,Birmingham,202364,146.5,1.556,228.03,Electric
FL-0000252,VEH-0043,2025-02-24,London,86317,71.7,1.611,115.52,Diesel
FL-0000253,VEH-0044,2025-02-25,Manchester,251842,82.3,1.558,128.3,Diesel
FL-0000254,VEH-0001,2025-02-01,Birmingham,163665,165.4,1.487,245.95,Diesel
FL-0000255,VEH-0055,2025-01-28,London,205204,142.3,1.472,209.53,Diesel
FL-0000256,VEH-0087,2025-02-27,Bristol,169438,129.9,1.525,198.17,Diesel
FL-0000257,VEH-0018,2025-01-14,Leeds,229507,88.4,1.838,162.42,Diesel
FL-0000258,VEH-0018,2025-01-13,Leeds,200877,131.9,1.51,199.23,HVO
FL-0000259,VEH-0010,2025-03-30,London,87361,52.1,1.723,89.78,Diesel
FL-0000260,VEH-0054,2025-02-24,London,249098,121.1,1.593,192.91,Diesel
FL-0000261,VEH-0052,2025-03-27,London,90776,146.8,1.774,260.42,Diesel
FL-0000262,VEH-0025,2025-03-08,Manchester,298306,155.5,1.768,274.92,Diesel
FL-0000263,VEH-0059,2025-02-15,London,238742,108.8,1.81,196.92,Diesel
FL-0000264,VEH-0081,2025-02-15,Leeds,280227,149.0,1.621,241.49,HVO
FL-0000265,VEH-0011,2025-03-14,Glasgow,148605,122.9,1.64,201.61,Diesel
FL-0000266,VEH-0042,2025-02-06,London,179171,94.2,1.711,161.12,Diesel
FL-0000267,VEH-0038,2025-01-21,Manchester,110163,115.0,1.647,189.38,Diesel
FL-0000268,VEH-0048,2025-02-23,Glasgow,247418,88.7,1.512,134.15,Diesel
FL-0000269,VEH-0004,2025-03-23,Birmingham,283037,67.2,1.526,102.57,Diesel
FL-0000270,VEH-0048,2025-03-03,Glasgow,290985,75.7,1.691,127.98,Diesel
FL-0000271,VEH-0058,2025-01-21,Manchester,174531,76.3,1.631,124.51,Diesel
FL-0000272,VEH-0092,2025-01-24,Leeds,270389,144.7,1.648,238.52,Electric
FL-0000273,VEH-0013,2025-02-11,Birmingham,258322,156.2,1.649,257.58,Diesel
FL-0000274,VEH-0075,2025-03-26,Glasgow,272178,94.2,1.65,155.48,Diesel
FL-0000275,VEH-0038,2025-01-27,Manchester,88345,138.2,1.789,247.23,Electric
FL-0000276,VEH-0021,2025-02-08,Birmingham,123185,122.5,1.516,185.66,Diesel
FL-0000277,VEH-0069,2025-01-13,Manchester,243863,90.1,1.551,139.71,Electric
FL-0000278,VEH-0025,2025-02-25,Manchester,184470,155.2,1.847,286.59,Electric
FL-0000279,VEH-0027,2025-03-14,Leeds,79029,70.0,1.691,118.35,Diesel
FL-0000280,VEH-0095,2025-03-30,Manchester,242844,133.9,1.715,229.68,Electric
FL-0000281,VEH-0023,2025-02-07,Manchester,192852,88.3,1.619,142.98,Diesel
FL-0000282,VEH-0096,2025-03-03,London,298851,142.6,1.825,260.31,Diesel
FL-0000283,VEH-0077,2025-01-28,London,99183,88.0,1.823,160.43,Diesel
FL-0000284,VEH-0056,2025-03-16,Leeds,255141,117.0,1.5,175.53,Electric
FL-0000285,VEH-0024,2025-02-27,Manchester,58047,114.9,1.821,209.16,Diesel
FL-0000286,VEH-0039,2025-01-22,Glasgow,209714,84.5,1.684,142.24,Diesel
FL-0000287,VEH-0027,2025-02-22,Leeds,77709,66.5,1.767,117.5,Diesel
FL-0000288,VEH-0062,2025-01-02,Leeds,225656,99.5,1.774,176.55,Electric
FL-0000289,VEH-0076,2025-03-17,London,229163,115.4,1.555,179.5,Diesel
FL-0000290,VEH-0005,2025-01-01,Leeds,187734,76.9,1.685,129.57,Electric
FL-0000291,VEH-0054,2025-03-06,London,295099,116.2,1.501,174.38,Diesel
FL-0000292,VEH-0055,2025-03-19,London,228458,161.6,1.512,244.31,Diesel
FL-0000293,VEH-0052,2025-02-14,London,102360,143.8,1.803,259.31,Electric
FL-0000294,VEH-0072,2025-03-08,Leeds,137313,66.0,1.519,100.24,Diesel
FL-0000295,VEH-0006,2025-02-20,Bristol,235598,80.4,1.764,141.84,Diesel
FL-0000296,VEH-0035,2025-01-14,Glasgow,138754,162.7,1.7,276.55,HVO
FL-0000297,VEH-0012,2025-01-04,Birmingham,270662,145.2,1.715,249.06,HVO
FL-0000298,VEH-0079,2025-02-19,Leeds,280425,121.8,1.841,224.18,Electric
FL-0000299,VEH-0061,2025-01-04,Glasgow,241741,69.5,1.821,126.48,Diesel
FL-0000300,VEH-0016,2025-03-15,Birmingham,179551,104.2,1.702,177.32,Diesel
FL-0000301,VEH-0028,2025-02-20,Leeds,262663,127.5,1.454,185.31,Diesel
FL-0000302,VEH-0065,2025-01-04,Leeds,51754,167.6,1.806,302.72,Diesel
FL-0000303,VEH-0062,2025-01-31,Leeds,136516,94.7,1.661,157.35,Diesel
FL-0000304,VEH-0061,2025-03-18,Glasgow,121779,88.4,1.845,163.06,Diesel
FL-0000305,VEH-0011,2025-03-09,Glasgow,216610,80.2,1.726,138.5,Diesel
FL-0000306,VEH-0005,2025-02-06,Leeds,270585,65.9,1.77,116.66,Diesel
