account_id,customer_id,account_type,balance,credit_limit,credit_utilisation_pct,open_date,status
A-000035,C-00598,Savings,39175.1,5000,45.85,2006-04-11,Dormant
A-000036,C-00603,Savings,2535.1,10000,36.06,2014-12-01,Closed
A-000037,C-00682,Business Current,43713.57,10000,49.0,2008-11-04,Active
A-000038,C-00414,Current,42068.49,0,0.0,2008-03-04,Active
A-000039,C-01488,Current,9018.72,10000,75.95,2011-04-23,Active
A-000040,C-01848,Business Current,44231.34,25000,46.51,2022-02-16,Dormant
A-000041,C-00881,Business Current,24382.86,2000,73.65,2008-12-26,Active
A-000042,C-00834,Business Current,35364.52,5000,37.38,2021-10-15,Closed
A-000043,C-01767,Credit Card,28477.92,25000,30.18,2014-02-20,Active
A-000044,C-00998,Current,22156.18,0,0.0,2014-04-02,Active
A-000045,C-01861,Current,18894.48,0,0.0,2021-08-01,Active
A-000046,C-01340,Mortgage,48297.76,5000,28.14,2006-05-23,Dormant
A-000047,C-01940,Savings,3878.79,10000,11.99,2013-02-24,Active
A-000048,C-01175,Current,22837.69,2000,7.25,2016-07-27,Active
A-000049,C-00749,Current,14857.68,25000,42.89,2008-04-09,Active
A-000050,C-00306,Business Current,22992.97,10000,15.88,2009-04-05,Active
A-000051,C-01303,Credit Card,39940.05,25000,14.48,2022-02-27,Active
A-000052,C-01467,Mortgage,35598.42,0,0.0,2023-11-20,Active
A-000053,C-01780,Mortgage,13632.84,25000,24.3,2019-08-23,Active
A-000054,C-00076,Savings,9983.58,10000,10.01,2021-10-20,Active
A-000055,C-01399,Business Current,20437.65,5000,43.46,2024-01-20,Closed
A-000056,C-00119,Current,18362.09,0,0.0,2023-07-19,Active
A-000057,C-01672,Credit Card,29315.49,5000,61.2,2021-04-15,Closed
A-000058,C-00080,Credit Card,35796.45,2000,93.77,2010-01-09,Active
A-000059,C-01011,Credit Card,45573.39,25000,48.01,2017-04-25,Active
A-000060,C-01413,Savings,15044.12,5000,68.41,2023-03-23,Active
A-000061,C-00666,Savings,47785.3,5000,68.28,2019-03-22,Active
A-000062,C-00373,Mortgage,411.46,25000,74.99,2006-06-26,Active
A-000063,C-01293,Savings,688.95,2000,65.9,2014-07-13,Active
A-000064,C-01891,Current,34681.01,25000,34.62,2012-02-13,Active
A-000065,C-00930,Current,7020.14,10000,39.92,2011-05-16,Active
A-000066,C-01147,Credit Card,47588.45,5000,62.26,2010-01-08,Active
A-000067,C-00902,Savings,45231.88,0,0.0,2018-03-30,Active
A-000068,C-00643,Current,37884.0,10000,14.4,2008-07-06,Active
A-000069,C-00550,Credit Card,28180.05,0,0.0,2023-12-10,Active
A-000070,C-00914,Current,40938.23,2000,59.11,2017-08-04,Active
A-000071,C-01944,Business Current,29502.75,0,0.0,2018-11-03,Active
A-000072,C-00525,Current,27569.19,10000,66.1,2007-06-18,Active
A-000073,C-00557,Savings,30572.21,0,0.0,2021-03-09,Active
A-000074,C-01726,Credit Card,21864.73,2000,3.68,2024-02-19,Active
A-000075,C-01313,Savings,45917.7,5000,78.98,2014-12-22,Active
A-000076,C-01294,Credit Card,16177.58,0,0.0,2017-12-02,Active
A-000077,C-00996,Savings,4960.93,0,0.0,2014-01-21,Active
A-000078,C-01254,Savings,36664.77,10000,27.8,2019-08-22,Dormant
A-000079,C-00142,Current,28575.3,5000,59.54,2014-12-04,Active
A-000080,C-01850,Mortgage,43107.65,0,0.0,2022-07-26,Active
A-000081,C-01285,Credit Card,33061.83,25000,29.02,2022-08-10,Active
A-000082,C-01466,Savings,25366.74,0,0.0,2019-04-09,Dormant
A-000083,C-00925,Business Current,16611.03,25000,77.37,2021-07-13,Active
A-000084,C-01619,Credit Card,22141.05,2000,85.59,2016-11-04,Dormant
A-000085,C-01635,Business Current,47109.64,0,0.0,2008-08-05,Active
A-000086,C-01135,Current,14484.07,0,0.0,2013-10-08,Active
A-000087,C-00622,Savings,14257.84,5000,75.46,2009-09-19,Active
A-000088,C-01411,Business Current,45226.15,5000,13.11,2014-01-28,Active
A-000089,C-00747,Mortgage,43918.61,10000,85.38,2010-08-23,Active
A-000090,C-01756,Mortgage,37325.97,10000,90.79,2006-01-27,Active
A-000091,C-00079,Savings,29214.76,25000,2.41,2011-05-14,Dormant
A-000092,C-00891,Business Current,43069.39,5000,74.66,2019-09-08,Active
A-000093,C-00925,Savings,28342.19,0,0.0,2018-01-05,Dormant
A-000094,C-01422,Savings,10671.1,5000,80.17,2008-08-13,Closed
A-000095,C-00901,Current,43836.49,10000,42.86,2011-04-14,Active
A-000096,C-01244,Mortgage,45196.81,10000,83.15,2017-05-06,Active
A-000097,C-00767,Mortgage,24704.41,5000,72.8,2005-02-22,Active
A-000098,C-01780,Current,6387.65,5000,0.79,2007-10-28,Active
A-000099,C-01907,Current,46223.83,25000,49.05,2009-11-22,Active
A-000100,C-01843,Credit Card,12695.29,0,0.0,2022-03-23,Dormant
A-000101,C-00712,Current,8442.64,0,0.0,2021-03-16,Active
A-000102,C-00551,Savings,47746.54,2000,66.27,2008-11-07,Active
A-000103,C-00136,Current,14172.48,5000,1.45,2022-12-22,Active
A-000104,C-00715,Business Current,29486.9,0,0.0,2014-05-20,Active
A-000105,C-01785,Savings,2322.46,25000,81.3,2016-10-14,Active
A-000106,C-00910,Mortgage,35093.69,0,0.0,2023-04-21,Active
A-000107,C-00124,Mortgage,15715.24,25000,53.27,2005-07-01,Active
A-000108,C-00186,Mortgage,11102.86,25000,50.18,2021-04-14,Active
A-000109,C-01572,Savings,28834.5,10000,60.63,2012-09-27,Active
A-000110,C-00984,Credit Card,37134.48,2000,48.53,2018-12-23,Active
A-000111,C-00608,Mortgage,9541.39,25000,96.12,2015-04-09,Active
A-000112,C-00157,Savings,16950.33,10000,48.0,2009-12-17,Active
A-000113,C-00007,Credit Card,15887.25,2000,26.9,2020-02-08,Active
A-000114,C-01577,Current,44208.63,25000,99.51,2009-06-24,Active
A-000115,C-00361,Business Current,34367.47,0,0.0,2016-06-23,Closed
A-000116,C-00576,Current,43225.26,10000,50.08,2012-05-16,Active
A-000117,C-00491,Credit Card,24335.39,5000,27.15,2015-01-19,Dormant
A-000118,C-00835,Savings,49363.94,0,0.0,2022-02-18,Active
A-000119,C-01092,Current,25071.28,0,0.0,2016-10-20,Active
A-000120,C-00715,Business Current,48803.19,0,0.0,2007-11-04,Active
A-000121,C-01380,Mortgage,10367.09,0,0.0,2015-07-15,Active
A-000122,C-01633,Business Current,12338.96,5000,32.72,2018-12-13,Active
A-000123,C-00298,Savings,33987.46,25000,6.31,2022-02-22,Active
A-000124,C-00643,Savings,12894.61,0,0.0,2022-07-12,Active
A-000125,C-00917,Business Current,46862.01,10000,10.67,2013-01-13,Active
A-000126,C-01941,Business Current,32397.12,5000,56.79,2014-12-02,Active
A-000127,C-00218,Mortgage,22217.5,2000,30.67,2017-03-21,Active
A-000128,C-01352,Credit Card,5742.93,10000,74.99,2023-12-11,Active
A-000129,C-01308,Mortgage,28954.14,2000,88.96,2008-04-10,Active
A-000130,C-00941,Mortgage,9100.22,0,0.0,2013-09-12,Active
A-000131,C-00228,Savings,16464.78,5000,75.93,2011-02-04,Active
A-000132,C-01152,Mortgage,47110.04,0,0.0,2023-11-24,Dormant
A-000133,C-01195,Credit Card,45650.75,10000,54.46,2016-07-12,Active
A-000134,C-01816,Current,11978.22,0,0.0,2013-03-24,Active
A-000135,C-01037,Credit Card,11857.43,2000,49.46,2008-09-21,Active
A-000136,C-01427,Credit Card,13092.74,25000,12.38,2010-10-24,Active
A-000137,C-00299,Savings,15987.7,5000,90.37,2005-03-17,Active
A-000138,C-00997,Credit Card,38751.33,25000,65.37,2014-09-01,Dormant
A-000139,C-00699,Business Current,10177.11,25000,91.06,2014-10-09,Active
A-000140,C-00489,Credit Card,24731.33,10000,39.99,2015-03-05,Active
A-000141,C-00669,Business Current,37075.19,25000,5.34,2020-05-18,Active
A-000142,C-00623,Savings,19796.81,10000,73.38,2018-11-16,Active
A-000143,C-01377,Savings,20953.14,2000,42.09,2017-07-01,Active
A-000144,C-00417,Credit Card,2278.06,2000,96.1,2012-09-20,Active
A-000145,C-01075,Savings,14735.87,10000,80.02,2009-01-19,Active
A-000146,C-00083,Business Current,4460.01,5000,83.8,2013-03-08,Dormant
A-000147,C-01095,Mortgage,42142.29,25000,16.89,2012-10-11,Active
A-000148,C-01442,Current,42447.04,25000,20.21,2005-12-06,Active
A-000149,C-00125,Savings,27585.59,10000,34.39,2022-02-19,Closed
A-000150,C-00201,Savings,38940.22,2000,47.72,2022-12-22,Active
A-000151,C-00833,Savings,21146.28,2000,42.54,2006-05-28,Active
A-000152,C-01980,Savings,41212.87,0,0.0,2018-12-24,Active
A-000153,C-01931,Savings,49812.89,25000,41.08,2023-09-07,Active
A-000154,C-01821,Savings,345.67,25000,7.44,2015-11-28,Active
A-000155,C-00581,Savings,30859.22,0,0.0,2016-12-14,Active
A-000156,C-00246,Current,35118.59,5000,6.65,2005-03-21,Active
A-000157,C-01932,Savings,30061.33,25000,67.02,2011-05-11,Active
A-000158,C-00515,Savings,34859.37,10000,33.87,2009-05-31,Active
A-000159,C-00177,Current,16130.14,2000,2.67,2023-03-28,Active
A-000160,C-00060,Savings,5662.78,0,0.0,2007-08-16,Active
A-000161,C-01613,Current,49154.16,10000,15.56,2013-10-05,Active
A-000162,C-00659,Savings,40601.81,0,0.0,2009-10-02,Active
A-000163,C-00248,Mortgage,26256.62,25000,61.87,2007-05-15,Active
A-000164,C-00411,Business Current,36825.51,25000,21.84,2014-01-18,Active
A-000165,C-00211,Mortgage,14934.58,5000,91.77,2007-12-05,Active
A-000166,C-01263,Credit Card,8665.8,2000,81.51,2007-03-29,Active
A-000167,C-00702,Credit Card,49209.87,0,0.0,2011-06-30,Dormant
A-000168,C-01649,Credit Card,20097.21,25000,28.84,2017-09-11,Active
A-000169,C-00720,Current,7447.92,10000,65.32,2019-10-03,Dormant
A-000170,C-01179,Mortgage,35977.67,25000,64.98,2023-07-21,Active
A-000171,C-00421,Savings,49447.67,5000,72.64,2005-08-05,Active
A-000172,C-01316,Credit Card,30742.76,0,0.0,2016-06-28,Active
A-000173,C-01719,Business Current,15138.45,0,0.0,2015-08-26,Active
A-000174,C-01341,Credit Card,10898.72,25000,22.4,2008-05-28,Active
A-000175,C-01350,Current,22518.48,25000,6.29,2022-07-16,Active
A-000176,C-01246,Credit Card,15671.6,2000,78.03,2017-05-08,Active
A-000177,C-01828,Business Current,4414.67,5000,96.91,2014-06-08,Active
A-000178,C-00323,Mortgage,1398.57,10000,78.46,2013-04-24,Active
A-000179,C-01974,Business Current,31856.27,2000,4.84,2017-04-14,Active
A-000180,C-00107,Business Current,12748.34,25000,73.54,2005-02-06,Active
A-000181,C-00449,Current,7295.55,10000,12.03,2022-08-14,Active
A-000182,C-00507,Business Current,11524.47,10000,40.01,2009-09-08,Active
A-000183,C-01721,Mortgage,42931.29,10000,86.55,2008-01-22,Active
A-000184,C-00059,Credit Card,35878.85,2000,75.7,2020-08-23,Active
A-000185,C-01554,Mortgage,31005.73,10000,67.15,2017-08-15,Active
A-000186,C-00657,Mortgage,17337.97,25000,21.54,2013-07-13,Active
A-000187,C-01675,Current,27762.73,2000,75.49,2010-12-11,Active
A-000188,C-01873,Credit Card,7956.67,0,0.0,2020-10-15,Active
A-000189,C-01558,Credit Card,6117.35,2000,65.17,2021-12-07,Active
A-000190,C-00203,Current,2394.95,10000,69.76,2017-03-03,Active
A-000191,C-01349,Savings,7729.49,25000,10.95,2023-03-11,Dormant
A-000192,C-00046,Mortgage,8127.06,5000,69.8,2017-09-26,Active
A-000193,C-01573,Mortgage,10886.13,2000,42.76,2018-01-30,Active
A-000194,C-00203,Business Current,6364.42,5000,9.63,2016-12-17,Active
A-000195,C-00837,Mortgage,33424.42,0,0.0,2006-07-27,Dormant
A-000196,C-01148,Savings,18085.97,5000,88.66,2010-09-19,Active
A-000197,C-00496,Savings,27360.89,0,0.0,2023-03-16,Active
A-000198,C-00831,Savings,33897.75,10000,69.2,2023-10-07,Active
A-000199,C-01380,Savings,42932.58,5000,77.32,2009-12-15,Active
A-000200,C-00651,Current,8045.13,2000,77.37,2012-11-23,Dormant
A-000201,C-00732,Current,42251.87,10000,75.79,2021-01-06,Dormant
A-000202,C-01877,Current,27287.65,25000,86.39,2012-07-10,Active
A-000203,C-00447,Business Current,18298.59,10000,60.65,2015-09-06,Dormant
A-000204,C-01210,Savings,11460.13,5000,58.15,2011-06-16,Active
A-000205,C-00438,Current,28930.71,10000,74.54,2015-02-03,Active
A-000206,C-00592,Credit Card,43838.21,0,0.0,2005-11-16,Active
A-000207,C-01945,Mortgage,16422.07,10000,64.22,2014-12-22,Active
A-000208,C-01974,Savings,17838.11,5000,4.7,2010-05-31,Active
A-000209,C-01567,Current,36684.4,10000,72.94,2005-03-30,Active
A-000210,C-01165,Credit Card,20414.07,5000,81.09,2014-03-19,Active
A-000211,C-01856,Business Current,563.44,2000,51.33,2015-01-12,Active
A-000212,C-00784,Credit Card,6416.06,2000,98.69,2015-12-18,Active
A-000213,C-00058,Credit Card,20560.24,10000,39.53,2010-02-24,Active
A-000214,C-00326,Business Current,7550.34,0,0.0,2018-06-12,Active
A-000215,C-01881,Business Current,5656.8,25000,51.9,2005-02-28,Active
A-000216,C-00223,Mortgage,18254.53,2000,24.36,2012-03-04,Dormant
A-000217,C-01200,Current,17335.46,2000,22.53,2011-08-23,Active
A-000218,C-00298,Current,14871.66,10000,32.31,2010-05-28,Active
A-000219,C-00825,Savings,25018.1,0,0.0,2020-01-15,Active
A-000220,C-00843,Current,31720.85,25000,59.52,2020-04-08,Dormant
A-000221,C-01840,Mortgage,12837.88,0,0.0,2010-09-14,Active
A-000222,C-00475,Mortgage,35498.78,25000,24.58,2021-05-27,Active
A-000223,C-00835,Business Current,40154.64,2000,44.81,2014-07-19,Active
A-000224,C-01292,Business Current,14908.34,25000,50.68,2009-01-12,Active
A-000225,C-00212,Credit Card,2915.78,10000,19.4,2009-02-12,Active
A-000226,C-01519,Mortgage,36469.25,25000,75.54,2009-02-21,Active
A-000227,C-00265,Credit Card,16966.01,0,0.0,2022-07-18,Active
A-000228,C-01091,Savings,24200.75,10000,43.52,2019-03-21,Closed
A-000229,C-00079,Business Current,30055.53,0,0.0,2011-08-09,Active
A-000230,C-01788,Business Current,2831.67,0,0.0,2011-06-15,Active
A-000231,C-00233,Savings,36847.2,5000,46.99,2017-06-13,Active
A-000232,C-00595,Mortgage,3059.3,10000,37.47,2009-05-25,Active
A-000233,C-01532,Savings,192.62,25000,39.55,2013-08-03,Active
A-000234,C-00385,Business Current,4716.66,5000,77.13,2015-04-03,Active
A-000235,C-01125,Mortgage,31973.61,2000,25.14,2010-01-08,Active
A-000236,C-00136,Current,23982.89,0,0.0,2018-04-30,Active
A-000237,C-00669,Credit Card,33233.54,25000,37.9,2006-01-30,Dormant
A-000238,C-01098,Mortgage,30271.78,5000,30.3,2017-05-11,Active
A-000239,C-00091,Mortgage,43669.06,0,0.0,2017-07-30,Active
A-000240,C-01685,Credit Card,21743.98,2000,44.73,2017-08-13,Active
A-000241,C-00064,Current,15790.73,10000,45.35,2018-11-06,Active
A-000242,C-01099,Credit Card,23191.1,10000,64.37,2017-07-31,Dormant
A-000243,C-00831,Credit Card,47864.37,2000,4.41,2012-05-26,Active
A-000244,C-01589,Business Current,7824.24,2000,10.18,2006-07-17,Active
A-000245,C-01174,Current,38615.39,10000,2.44,2007-05-23,Dormant
A-000246,C-00475,Mortgage,12105.12,2000,32.54,2012-07-05,Dormant
A-000247,C-00978,Current,21759.47,0,0.0,2021-07-03,Active
A-000248,C-01996,Credit Card,22760.84,0,0.0,2014-05-19,Dormant
A-000249,C-01081,Current,8053.03,2000,94.9,2016-04-12,Active
A-000250,C-01483,Credit Card,16977.8,0,0.0,2013-08-02,Active
A-000251,C-01512,Mortgage,1735.07,5000,22.61,2011-10-02,Dormant
A-000252,C-00619,Credit Card,10994.35,5000,11.15,2009-01-19,Active
A-000253,C-00033,Business Current,29025.72,0,0.0,2008-11-16,Active
A-000254,C-01065,Business Current,26964.66,5000,28.12,2022-07-23,Active
A-000255,C-01032,Business Current,949.95,2000,97.15,2011-02-24,Active
A-000256,C-01258,Business Current,12509.23,10000,35.65,2020-02-10,Active
A-000257,C-01369,Mortgage,23274.55,5000,98.37,2008-12-16,Dormant
A-000258,C-00411,Credit Card,40645.56,25000,49.62,2006-07-03,Active
A-000259,C-00815,Credit Card,49627.67,5000,68.23,2013-10-02,Dormant
A-000260,C-01765,Mortgage,32605.01,2000,10.64,2011-08-21,Dormant
A-000261,C-01657,Credit Card,18112.66,2000,6.67,2020-04-20,Active
A-000262,C-01184,Credit Card,42388.85,25000,25.98,2014-07-02,Closed
A-000263,C-00176,Savings,42683.96,2000,79.75,2011-08-29,Active
A-000264,C-00887,Current,47254.58,10000,57.35,2006-12-03,Active
A-000265,C-00441,Business Current,3966.64,25000,65.48,2011-04-05,Active
A-000266,C-01234,Mortgage,42888.5,25000,91.13,2012-10-06,Closed
A-000267,C-00783,Mortgage,44248.64,25000,34.76,2014-07-24,Active
A-000268,C-01384,Credit Card,33879.13,0,0.0,2012-10-04,Active
A-000269,C-00601,Current,36635.66,5000,15.3,2006-09-22,Active
A-000270,C-00065,Savings,1372.52,25000,12.86,2018-11-28,Active
A-000271,C-00689,Mortgage,17258.42,0,0.0,2007-10-12,Active
A-000272,C-01013,Mortgage,42435.71,5000,14.54,2012-08-02,Active
A-000273,C-00265,Mortgage,31562.11,2000,39.33,2008-04-05,Active
A-000274,C-00807,Savings,26967.98,10000,79.53,2021-01-23,Active
A-000275,C-01403,Credit Card,10089.14,5000,59.86,2005-08-09,Dormant
A-000276,C-01823,Current,15709.43,25000,42.68,2020-08-22,Active
A-000277,C-01353,Credit Card,9248.07,10000,47.0,2008-09-25,Active
A-000278,C-00761,Savings,45853.26,10000,28.08,2007-01-19,Active
A-000279,C-01361,Savings,38934.08,2000,93.76,2021-08-10,Dormant
A-000280,C-00893,Savings,19639.75,2000,22.24,2018-02-01,Active
A-000281,C-00004,Savings,8621.17,25000,62.67,2012-02-13,Active
A-000282,C-00859,Credit Card,24958.24,2000,49.0,2010-04-25,Active
A-000283,C-00690,Mortgage,36711.51,0,0.0,2022-02-05,Active
A-000284,C-00618,Current,42338.13,5000,68.09,2017-09-15,Closed
A-000285,C-01693,Savings,14817.86,2000,33.64,2018-10-26,Active
A-000286,C-00212,Savings,45963.83,2000,5.95,2016-04-24,Active
A-000287,C-01790,Credit Card,46715.38,0,0.0,2022-05-30,Active
A-000288,C-01364,Mortgage,27206.11,0,0.0,2013-10-03,Active
A-000289,C-00586,Current,42623.32,25000,29.95,2016-02-02,Active
A-000290,C-01997,Savings,41434.83,10000,70.57,2022-11-20,Dormant
A-000291,C-00855,Credit Card,38926.79,2000,58.67,2010-01-04,Active
A-000292,C-01331,Credit Card,3141.96,25000,66.93,2019-04-28,Active
A-000293,C-01636,Current,40656.37,10000,17.56,2012-02-17,Active
A-000294,C-00938,Savings,19392.59,2000,60.04,2018-02-18,Active
A-000295,C-01282,Credit Card,42056.86,2000,83.08,2019-12-20,Active
A-000296,C-01574,Credit Card,26143.22,25000,10.42,2009-10-30,Active
A-000297,C-01069,Credit Card,10732.08,5000,88.07,2014-11-29,Active
A-000298,C-00528,Credit Card,9947.53,5000,61.38,2005-11-11,Active
A-000299,C-00170,Current,40987.15,2000,8.59,2011-01-18,Active
A-000300,C-00935,Mortgage,14659.48,0,0.0,2009-03-02,Active
A-000301,C-01185,Current,3558.6,2000,2.45,2013-06-29,Active
A-000302,C-01837,Current,38717.71,5000,24.8,2013-01-05,Dormant
A-000303,C-00568,Credit Card,34481.43,0,0.0,2012-04-01,Active
A-000304,C-00884,Credit Card,3346.77,0,0.0,2010-09-05,Active
A-000305,C-00869,Savings,39716.26,10000,57.72,2007-01-13,Dormant
A-000306,C-00213,Savings,45585.73,2000,40.86,2014-02-27,Active
A-000307,C-00165,Savings,25253.06,10000,31.19,2018-12-18,Active
A-000308,C-01759,Business Current,30156.94,2000,47.96,2009-08-25,Active
A-000309,C-00724,Mortgage,36294.2,10000,11.42,2005-06-10,Active
A-000310,C-01787,Mortgage,1840.92,10000,24.43,2019-11-22,Active
A-000311,C-01762,Credit Card,31114.1,25000,0.56,2022-08-05,Active
A-000312,C-01854,Current,19656.56,10000,42.47,2020-02-15,Active
A-000313,C-00092,Current,22762.23,2000,97.26,2021-07-15,Active
A-000314,C-01844,Current,46793.22,2000,33.27,2018-11-16,Active
A-000315,C-01904,Business Current,5814.99,25000,46.71,2009-01-12,Active
A-000316,C-00922,Savings,48268.44,25000,60.46,2019-05-30,Active
A-000317,C-00781,Business Current,6286.65,0,0.0,2010-08-20,Active
A-000318,C-00225,Business Current,13110.1,5000,99.24,2009-10-03,Active
A-000319,C-01660,Credit Card,17888.22,10000,49.8,2010-04-30,Active
A-000320,C-01436,Business Current,34245.12,10000,79.46,2007-11-27,Active
A-000321,C-00172,Credit Card,14214.15,10000,40.61,2015-01-10,Active
A-000322,C-01834,Current,10144.87,25000,99.56,2024-02-19,Active
A-000323,C-00921,Current,37164.1,5000,19.23,2020-04-11,Active
A-000324,C-00155,Current,9525.65,0,0.0,2017-08-09,Active
A-000325,C-01175,Mortgage,35474.44,2000,98.55,2023-05-18,Closed
A-000326,C-01592,Business Current,487.7,0,0.0,2022-11-01,Dormant
A-000327,C-00914,Business Current,6101.8,10000,57.83,2014-12-27,Active
A-000328,C-00102,Mortgage,13735.55,2000,45.98,2022-12-06,Active
A-000329,C-00513,Credit Card,40222.66,25000,5.99,2019-09-24,Dormant
A-000330,C-00359,Current,13394.39,25000,25.46,2021-05-10,Active
A-000331,C-00722,Mortgage,12699.86,25000,56.4,2020-10-27,Active
A-000332,C-00656,Savings,45169.86,0,0.0,2022-02-15,Active
A-000333,C-01454,Mortgage,21488.76,0,0.0,2005-03-02,Active
A-000334,C-00446,Savings,940.7,2000,59.16,2008-07-14,Active
A-000335,C-01541,Current,3992.85,2000,51.65,2016-01-10,Active
A-000336,C-01642,Current,16498.36,0,0.0,2007-12-25,Active
A-000337,C-01469,Mortgage,39701.48,0,0.0,2005-07-16,Active
A-000338,C-01701,Mortgage,32000.08,5000,10.13,2005-12-17,Active
A-000339,C-01130,Savings,40782.51,5000,98.67,2014-11-24,Active
A-000340,C-01381,Mortgage,19605.64,25000,92.56,2012-08-23,Active
A-000341,C-00088,Credit Card,43557.53,5000,92.46,2011-09-17,Active
A-000342,C-00397,Savings,3827.63,0,0.0,2014-08-26,Active
A-000343,C-00013,Savings,12009.68,2000,50.11,2016-09-23,Dormant
A-000344,C-01566,Savings,4926.82,5000,33.2,2019-04-25,Dormant
A-000345,C-00438,Mortgage,8934.68,25000,83.8,2011-09-06,Active
A-000346,C-01684,Business Current,22408.34,0,0.0,2021-07-04,Active
A-000347,C-00074,Credit Card,47740.38,10000,23.87,2018-05-28,Active
A-000348,C-01639,Credit Card,17690.41,2000,29.36,2018-01-07,Active
A-000349,C-01155,Current,21724.66,0,0.0,2008-06-29,Active
A-000350,C-01764,Savings,8695.6,2000,62.93,2016-06-15,Active
A-000351,C-01725,Business Current,47084.33,0,0.0,2009-11-23,Dormant
A-000352,C-00534,Current,3199.22,0,0.0,2013-03-05,Active
A-000353,C-00782,Credit Card,27593.56,25000,50.1,2021-10-03,Active
A-000354,C-01087,Credit Card,4827.31,5000,90.81,2010-08-28,Active
A-000355,C-00602,Savings,47228.84,2000,91.87,2009-10-04,Active
A-000356,C-00065,Business Current,38341.05,10000,75.29,2022-12-18,Active
A-000357,C-00638,Current,45613.18,0,0.0,2014-02-17,Active
A-000358,C-00400,Savings,2021.54,25000,55.38,2014-08-19,Dormant
A-000359,C-00427,Business Current,8244.97,2000,3.85,2019-03-01,Active
A-000360,C-01311,Credit Card,19763.09,0,0.0,2014-04-14,Dormant
A-000361,C-01836,Current,2784.43,0,0.0,2015-06-05,Active
A-000362,C-01284,Mortgage,28968.67,0,0.0,2009-10-07,Active
A-000363,C-00424,Savings,40735.3,5000,6.28,2009-05-13,Active
A-000364,C-01065,Current,25092.63,25000,15.28,2008-04-16,Active
A-000365,C-01282,Business Current,25993.76,0,0.0,2020-07-10,Active
A-000366,C-00409,Savings,36924.12,2000,20.25,2015-05-31,Active
A-000367,C-00774,Mortgage,33115.01,10000,43.29,2018-08-14,Active
A-000368,C-00639,Credit Card,35009.32,5000,50.82,2015-04-01,Active
A-000369,C-00234,Business Current,1087.18,2000,50.68,2009-10-18,Dormant
A-000370,C-00478,Credit Card,14731.05,0,0.0,2020-01-05,Active
A-000371,C-00553,Current,17823.15,0,0.0,2024-01-16,Active
A-000372,C-01983,Savings,2026.7,25000,13.91,2008-08-07,Closed
A-000373,C-00387,Savings,14564.52,5000,13.73,2007-01-02,Active
A-000374,C-01779,Mortgage,48662.72,25000,20.09,2013-10-29,Active
A-000375,C-00365,Credit Card,26988.89,0,0.0,2007-08-01,Active
A-000376,C-00073,Credit Card,30377.48,10000,99.47,2015-11-05,Active
A-000377,C-00602,Credit Card,38759.24,0,0.0,2020-11-30,Active
A-000378,C-01196,Savings,34137.37,5000,35.6,2015-01-09,Active
