subscriber_id,plan_type,region,age_group,payment_method,monthly_fee,signup_date,churn_date,is_churned
SUB-000103,Premium,Middle East,45-54,PayPal,19.99,2022-08-01,,0
SUB-000104,Standard,Middle East,35-44,Apple Pay,13.99,2024-02-09,,0
SUB-000105,Basic,Asia Pacific,45-54,Credit Card,7.99,2023-03-23,,0
SUB-000106,Basic,Latin America,35-44,Credit Card,7.99,2022-12-03,,0
SUB-000107,Standard,Latin America,25-34,Debit Card,13.99,2024-12-15,,0
SUB-000108,Basic,Latin America,18-24,Apple Pay,7.99,2023-07-01,2024-05-05,1
SUB-000109,Standard,Europe,45-54,Debit Card,13.99,2022-12-14,,0
SUB-000110,Standard,Europe,45-54,PayPal,13.99,2024-01-08,,0
SUB-000111,Basic,Europe,25-34,PayPal,7.99,2022-08-15,,0
SUB-000112,Standard,Asia Pacific,25-34,PayPal,13.99,2024-12-11,,0
SUB-000113,Premium,Middle East,18-24,Google Pay,19.99,2022-10-03,2024-02-17,1
SUB-000114,Basic,Europe,25-34,PayPal,7.99,2023-06-30,,0
SUB-000115,Standard,Latin America,25-34,Credit Card,13.99,2023-09-28,,0
SUB-000116,Standard,Europe,25-34,Credit Card,13.99,2023-03-05,,0
SUB-000117,Standard,Middle East,45-54,Apple Pay,13.99,2023-02-22,,0
SUB-000118,Standard,Middle East,25-34,Credit Card,13.99,2022-02-11,,0
SUB-000119,Standard,Middle East,45-54,PayPal,13.99,2024-10-21,,0
SUB-000120,Standard,Europe,55+,PayPal,13.99,2023-07-04,,0
SUB-000121,Basic,North America,45-54,Credit Card,7.99,2024-06-29,,0
SUB-000122,Standard,Europe,35-44,Apple Pay,13.99,2023-12-23,,0
SUB-000123,Standard,Europe,45-54,PayPal,13.99,2024-11-15,,0
SUB-000124,Basic,Europe,18-24,PayPal,7.99,2024-01-10,2024-10-11,1
SUB-000125,Premium,Asia Pacific,35-44,Apple Pay,19.99,2022-12-15,,0
SUB-000126,Basic,Middle East,25-34,Credit Card,7.99,2022-06-26,,0
SUB-000127,Basic,Europe,35-44,Debit Card,7.99,2022-03-13,,0
SUB-000128,Basic,Europe,35-44,Google Pay,7.99,2024-05-05,,0
SUB-000129,Basic,Europe,25-34,Google Pay,7.99,2022-11-20,,0
SUB-000130,Premium,North America,35-44,Apple Pay,19.99,2024-11-27,,0
SUB-000131,Basic,Asia Pacific,55+,Apple Pay,7.99,2022-08-03,,0
SUB-000132,Basic,North America,35-44,PayPal,7.99,2023-05-26,,0
SUB-000133,Basic,North America,18-24,Debit Card,7.99,2024-01-21,,0
SUB-000134,Premium,North America,35-44,Google Pay,19.99,2022-08-30,,0
SUB-000135,Premium,Latin America,35-44,Google Pay,19.99,2023-04-06,,0
SUB-000136,Premium,Asia Pacific,45-54,PayPal,19.99,2022-11-20,2024-07-30,1
SUB-000137,Basic,Middle East,25-34,Debit Card,7.99,2023-01-14,2024-09-13,1
SUB-000138,Premium,Asia Pacific,35-44,Credit Card,19.99,2024-08-29,2025-02-08,1
SUB-000139,Premium,North America,45-54,Google Pay,19.99,2023-12-20,,0
SUB-000140,Standard,Asia Pacific,45-54,Credit Card,13.99,2024-10-04,,0
SUB-000141,Standard,Europe,45-54,Google Pay,13.99,2023-02-09,2024-02-21,1
SUB-000142,Standard,Europe,45-54,PayPal,13.99,2023-02-06,,0
SUB-000143,Premium,North America,18-24,PayPal,19.99,2022-07-24,,0
SUB-000144,Standard,North America,55+,Google Pay,13.99,2022-04-15,,0
SUB-000145,Standard,North America,35-44,PayPal,13.99,2023-06-15,2023-11-17,1
SUB-000146,Basic,Europe,18-24,Credit Card,7.99,2023-04-06,,0
SUB-000147,Standard,Latin America,18-24,Credit Card,13.99,2022-10-29,2023-10-15,1
SUB-000148,Premium,Latin America,18-24,Apple Pay,19.99,2022-03-12,,0
SUB-000149,Basic,Asia Pacific,55+,Google Pay,7.99,2024-11-04,,0
SUB-000150,Standard,Middle East,45-54,Google Pay,13.99,2022-06-18,,0
SUB-000151,Premium,Asia Pacific,55+,Credit Card,19.99,2023-10-29,,0
SUB-000152,Standard,Middle East,45-54,Debit Card,13.99,2022-06-25,2023-05-30,1
SUB-000153,Premium,Asia Pacific,18-24,Google Pay,19.99,2024-03-04,,0
SUB-000154,Basic,Europe,18-24,Debit Card,7.99,2024-01-03,,0
SUB-000155,Standard,North America,18-24,PayPal,13.99,2024-10-01,,0
SUB-000156,Standard,North America,55+,Apple Pay,13.99,2022-01-08,2022-11-08,1
SUB-000157,Standard,North America,35-44,Credit Card,13.99,2023-10-27,,0
SUB-000158,Standard,Latin America,35-44,Google Pay,13.99,2024-11-25,2026-10-27,1
SUB-000159,Standard,Latin America,35-44,Debit Card,13.99,2023-01-15,,0
SUB-000160,Basic,Asia Pacific,35-44,Credit Card,7.99,2023-02-19,,0
SUB-000161,Standard,Europe,45-54,Debit Card,13.99,2022-02-22,,0
SUB-000162,Basic,Europe,18-24,Debit Card,7.99,2024-10-11,,0
SUB-000163,Standard,Asia Pacific,18-24,Google Pay,13.99,2022-07-10,,0
SUB-000164,Premium,North America,55+,PayPal,19.99,2024-09-09,2025-09-16,1
SUB-000165,Standard,Middle East,18-24,Apple Pay,13.99,2023-03-14,2023-10-15,1
SUB-000166,Basic,North America,18-24,Google Pay,7.99,2023-09-24,,0
SUB-000167,Premium,Europe,45-54,Google Pay,19.99,2023-06-18,,0
SUB-000168,Premium,Europe,35-44,Credit Card,19.99,2023-08-24,,0
SUB-000169,Basic,North America,25-34,PayPal,7.99,2022-01-28,,0
SUB-000170,Standard,Latin America,25-34,Apple Pay,13.99,2023-08-26,,0
SUB-000171,Standard,Latin America,18-24,Apple Pay,13.99,2023-11-07,,0
SUB-000172,Standard,Asia Pacific,35-44,Credit Card,13.99,2023-10-31,,0
SUB-000173,Basic,Europe,35-44,PayPal,7.99,2023-02-20,,0
SUB-000174,Basic,North America,45-54,Credit Card,7.99,2024-02-29,,0
SUB-000175,Basic,Europe,18-24,Apple Pay,7.99,2022-10-09,,0
SUB-000176,Premium,Latin America,45-54,Debit Card,19.99,2024-05-15,,0
SUB-000177,Standard,Middle East,25-34,Credit Card,13.99,2022-09-30,,0
SUB-000178,Standard,Latin America,18-24,Credit Card,13.99,2024-08-05,,0
SUB-000179,Premium,Europe,35-44,Debit Card,19.99,2024-09-24,,0
SUB-000180,Basic,Europe,55+,Debit Card,7.99,2022-02-14,2023-05-15,1
SUB-000181,Basic,Middle East,55+,Google Pay,7.99,2024-09-16,,0
SUB-000182,Basic,Europe,35-44,PayPal,7.99,2023-06-21,,0
SUB-000183,Premium,Europe,18-24,Google Pay,19.99,2022-11-13,2024-10-05,1
SUB-000184,Premium,North America,45-54,Credit Card,19.99,2022-07-19,,0
SUB-000185,Basic,North America,25-34,Credit Card,7.99,2022-07-13,,0
SUB-000186,Standard,North America,45-54,Credit Card,13.99,2024-01-08,,0
SUB-000187,Standard,Europe,25-34,Credit Card,13.99,2024-02-06,,0
SUB-000188,Standard,Europe,45-54,Credit Card,13.99,2022-06-12,,0
SUB-000189,Standard,Latin America,18-24,Debit Card,13.99,2024-03-07,,0
SUB-000190,Basic,North America,25-34,PayPal,7.99,2023-03-09,,0
SUB-000191,Basic,Latin America,18-24,Credit Card,7.99,2022-04-23,,0
SUB-000192,Premium,Middle East,18-24,PayPal,19.99,2023-12-09,,0
SUB-000193,Standard,Middle East,35-44,Apple Pay,13.99,2022-10-07,,0
SUB-000194,Standard,Europe,18-24,PayPal,13.99,2022-07-30,,0
SUB-000195,Premium,Latin America,25-34,PayPal,19.99,2023-02-22,2023-05-07,1
SUB-000196,Standard,Middle East,55+,Debit Card,13.99,2024-05-20,,0
SUB-000197,Basic,Middle East,35-44,Debit Card,7.99,2023-11-17,,0
SUB-000198,Standard,Europe,18-24,PayPal,13.99,2022-01-03,,0
SUB-000199,Basic,Latin America,18-24,Google Pay,7.99,2024-05-20,2024-09-01,1
SUB-000200,Standard,Europe,55+,Credit Card,13.99,2023-05-01,,0
SUB-000201,Basic,Europe,55+,Debit Card,7.99,2023-01-11,,0
SUB-000202,Basic,Europe,18-24,Google Pay,7.99,2022-04-12,,0
SUB-000203,Basic,Latin America,35-44,Debit Card,7.99,2022-10-09,,0
SUB-000204,Premium,Middle East,35-44,PayPal,19.99,2024-12-27,,0
SUB-000205,Premium,Europe,35-44,Google Pay,19.99,2023-02-12,,0
SUB-000206,Basic,Latin America,45-54,Apple Pay,7.99,2023-07-11,,0
SUB-000207,Standard,North America,55+,Google Pay,13.99,2023-11-15,,0
SUB-000208,Standard,Middle East,35-44,Debit Card,13.99,2022-07-28,,0
SUB-000209,Standard,Latin America,35-44,Debit Card,13.99,2023-06-15,,0
SUB-000210,Premium,Asia Pacific,18-24,Credit Card,19.99,2024-06-14,2024-09-24,1
SUB-000211,Premium,Europe,18-24,Debit Card,19.99,2022-09-24,,0
SUB-000212,Basic,Middle East,18-24,Credit Card,7.99,2024-12-12,2026-11-13,1
SUB-000213,Basic,Latin America,35-44,PayPal,7.99,2023-01-31,2023-11-27,1
SUB-000214,Standard,North America,25-34,PayPal,13.99,2022-12-15,,0
SUB-000215,Premium,North America,35-44,Debit Card,19.99,2022-08-26,,0
SUB-000216,Basic,Asia Pacific,25-34,Credit Card,7.99,2022-12-19,,0
SUB-000217,Basic,Asia Pacific,35-44,Debit Card,7.99,2022-05-09,,0
SUB-000218,Basic,Middle East,18-24,Apple Pay,7.99,2022-06-02,,0
SUB-000219,Standard,Middle East,35-44,PayPal,13.99,2022-03-25,,0
SUB-000220,Standard,Middle East,18-24,Apple Pay,13.99,2022-02-18,,0
SUB-000221,Premium,Middle East,35-44,Google Pay,19.99,2024-06-01,,0
SUB-000222,Basic,North America,25-34,Apple Pay,7.99,2022-09-04,,0
SUB-000223,Basic,Middle East,55+,Google Pay,7.99,2024-10-12,,0
SUB-000224,Standard,Europe,45-54,Credit Card,13.99,2024-01-11,,0
SUB-000225,Basic,Europe,18-24,Debit Card,7.99,2022-01-24,2024-01-13,1
SUB-000226,Standard,Europe,25-34,Debit Card,13.99,2022-11-21,,0
SUB-000227,Standard,Middle East,25-34,Credit Card,13.99,2024-04-18,,0
SUB-000228,Standard,Middle East,35-44,Google Pay,13.99,2024-03-06,,0
SUB-000229,Basic,Asia Pacific,25-34,Debit Card,7.99,2024-01-28,,0
SUB-000230,Premium,Asia Pacific,55+,Credit Card,19.99,2024-05-03,,0
SUB-000231,Standard,Asia Pacific,25-34,PayPal,13.99,2022-05-07,,0
SUB-000232,Basic,North America,25-34,Google Pay,7.99,2024-08-08,2024-11-22,1
SUB-000233,Basic,Latin America,45-54,Google Pay,7.99,2023-06-07,,0
SUB-000234,Standard,Latin America,25-34,Debit Card,13.99,2024-10-23,,0
SUB-000235,Standard,Latin America,18-24,Debit Card,13.99,2022-11-26,2023-01-25,1
SUB-000236,Basic,Latin America,18-24,PayPal,7.99,2024-06-22,,0
SUB-000237,Standard,Asia Pacific,35-44,Google Pay,13.99,2024-06-16,,0
SUB-000238,Basic,Asia Pacific,45-54,Debit Card,7.99,2022-08-09,,0
SUB-000239,Standard,Middle East,45-54,Google Pay,13.99,2022-08-31,,0
SUB-000240,Basic,Europe,55+,Google Pay,7.99,2023-03-09,,0
SUB-000241,Standard,Asia Pacific,18-24,PayPal,13.99,2023-11-15,,0
SUB-000242,Basic,Asia Pacific,18-24,PayPal,7.99,2024-09-08,2026-04-15,1
SUB-000243,Standard,Latin America,45-54,Debit Card,13.99,2022-11-18,,0
SUB-000244,Basic,Asia Pacific,25-34,Debit Card,7.99,2022-10-12,,0
SUB-000245,Basic,Latin America,35-44,Credit Card,7.99,2024-11-10,,0
SUB-000246,Basic,Middle East,25-34,PayPal,7.99,2023-12-11,2024-10-06,1
SUB-000247,Basic,North America,25-34,Apple Pay,7.99,2022-05-14,,0
SUB-000248,Standard,Middle East,35-44,Debit Card,13.99,2024-10-27,,0
SUB-000249,Standard,North America,18-24,Credit Card,13.99,2024-11-30,,0
SUB-000250,Premium,Asia Pacific,18-24,Credit Card,19.99,2022-05-17,,0
SUB-000251,Standard,Latin America,35-44,Google Pay,13.99,2022-02-18,,0
SUB-000252,Basic,Middle East,55+,PayPal,7.99,2024-02-13,,0
SUB-000253,Basic,North America,35-44,PayPal,7.99,2022-10-30,,0
SUB-000254,Basic,Europe,55+,Debit Card,7.99,2022-06-06,,0
SUB-000255,Premium,Europe,55+,Google Pay,19.99,2023-07-02,2024-01-06,1
SUB-000256,Basic,Latin America,55+,Debit Card,7.99,2024-08-04,,0
SUB-000257,Premium,Latin America,45-54,Credit Card,19.99,2024-09-15,,0
SUB-000258,Basic,North America,35-44,Apple Pay,7.99,2024-09-25,2026-07-04,1
SUB-000259,Premium,Europe,18-24,Credit Card,19.99,2022-12-15,,0
SUB-000260,Standard,North America,55+,Debit Card,13.99,2024-05-07,,0
SUB-000261,Standard,Europe,25-34,Credit Card,13.99,2022-12-05,,0
SUB-000262,Standard,Asia Pacific,35-44,PayPal,13.99,2023-01-24,,0
SUB-000263,Standard,Latin America,55+,Apple Pay,13.99,2022-02-10,2022-04-19,1
SUB-000264,Standard,North America,55+,Apple Pay,13.99,2024-11-29,,0
SUB-000265,Basic,Latin America,45-54,Credit Card,7.99,2022-08-17,,0
SUB-000266,Basic,Latin America,55+,Debit Card,7.99,2023-07-29,,0
SUB-000267,Premium,Latin America,35-44,PayPal,19.99,2022-10-16,,0
SUB-000268,Premium,North America,45-54,PayPal,19.99,2023-02-10,2024-03-26,1
SUB-000269,Standard,North America,18-24,PayPal,13.99,2024-09-28,,0
SUB-000270,Basic,Asia Pacific,35-44,Apple Pay,7.99,2022-01-20,,0
SUB-000271,Premium,Latin America,55+,Google Pay,19.99,2022-08-03,,0
SUB-000272,Standard,Asia Pacific,25-34,Debit Card,13.99,2023-07-25,,0
SUB-000273,Premium,North America,55+,Google Pay,19.99,2022-11-17,,0
SUB-000274,Premium,North America,45-54,Google Pay,19.99,2022-07-02,,0
SUB-000275,Standard,Asia Pacific,45-54,Apple Pay,13.99,2023-10-20,,0
SUB-000276,Basic,Latin America,35-44,Google Pay,7.99,2022-08-29,,0
SUB-000277,Standard,Asia Pacific,18-24,Google Pay,13.99,2024-05-10,,0
SUB-000278,Premium,Europe,35-44,Google Pay,19.99,2022-02-02,,0
SUB-000279,Standard,Middle East,55+,Google Pay,13.99,2023-08-20,,0
SUB-000280,Premium,Latin America,45-54,Google Pay,19.99,2023-02-28,,0
SUB-000281,Standard,Asia Pacific,35-44,Apple Pay,13.99,2022-11-26,,0
SUB-000282,Basic,Middle East,18-24,Credit Card,7.99,2023-09-10,,0
SUB-000283,Standard,Middle East,45-54,Google Pay,13.99,2024-03-10,,0
SUB-000284,Standard,Europe,45-54,Debit Card,13.99,2024-05-10,,0
SUB-000285,Premium,Latin America,25-34,Credit Card,19.99,2024-06-22,,0
SUB-000286,Standard,Middle East,18-24,PayPal,13.99,2024-01-01,2025-08-10,1
SUB-000287,Basic,North America,25-34,Debit Card,7.99,2023-10-31,,0
SUB-000288,Standard,Europe,55+,Debit Card,13.99,2022-07-31,2022-09-29,1
SUB-000289,Premium,Asia Pacific,25-34,Apple Pay,19.99,2024-02-29,,0
SUB-000290,Standard,Middle East,45-54,Apple Pay,13.99,2022-10-05,,0
SUB-000291,Basic,North America,18-24,Apple Pay,7.99,2024-05-14,,0
SUB-000292,Basic,North America,55+,Apple Pay,7.99,2022-07-12,,0
SUB-000293,Standard,North America,25-34,Apple Pay,13.99,2023-06-12,,0
SUB-000294,Basic,Europe,18-24,PayPal,7.99,2022-06-20,,0
SUB-000295,Basic,Latin America,45-54,Apple Pay,7.99,2023-04-06,2024-03-09,1
SUB-000296,Standard,Latin America,35-44,Debit Card,13.99,2022-12-26,,0
SUB-000297,Basic,Asia Pacific,25-34,Debit Card,7.99,2023-08-08,,0
SUB-000298,Standard,Latin America,25-34,Apple Pay,13.99,2022-06-02,,0
SUB-000299,Basic,North America,18-24,Apple Pay,7.99,2023-08-19,,0
SUB-000300,Premium,Asia Pacific,45-54,Debit Card,19.99,2023-04-12,,0
SUB-000301,Basic,Latin America,35-44,Apple Pay,7.99,2023-12-26,,0
SUB-000302,Standard,Latin America,35-44,Debit Card,13.99,2023-05-20,,0
SUB-000303,Standard,Asia Pacific,45-54,Apple Pay,13.99,2024-12-08,,0
SUB-000304,Premium,Middle East,45-54,Apple Pay,19.99,2023-02-01,,0
SUB-000305,Standard,Latin America,18-24,Debit Card,13.99,2024-06-19,,0
SUB-000306,Basic,Latin America,35-44,Apple Pay,7.99,2023-06-10,,0
SUB-000307,Premium,Middle East,45-54,Google Pay,19.99,2022-05-18,2023-08-15,1
SUB-000308,Premium,Latin America,18-24,Debit Card,19.99,2024-05-07,,0
SUB-000309,Basic,Latin America,35-44,Credit Card,7.99,2022-12-18,,0
SUB-000310,Basic,North America,18-24,Apple Pay,7.99,2023-01-04,,0
SUB-000311,Standard,Europe,35-44,Google Pay,13.99,2022-08-05,,0
SUB-000312,Basic,Europe,35-44,PayPal,7.99,2022-02-07,,0
SUB-000313,Standard,North America,55+,Credit Card,13.99,2023-11-17,,0
SUB-000314,Premium,Asia Pacific,25-34,Credit Card,19.99,2024-12-18,,0
SUB-000315,Standard,Asia Pacific,35-44,Apple Pay,13.99,2022-03-20,,0
SUB-000316,Basic,Europe,25-34,Debit Card,7.99,2023-04-30,,0
SUB-000317,Standard,Middle East,35-44,Google Pay,13.99,2022-05-08,,0
SUB-000318,Basic,Asia Pacific,45-54,Credit Card,7.99,2023-07-23,,0
SUB-000319,Basic,North America,18-24,Credit Card,7.99,2022-01-11,,0
SUB-000320,Premium,Europe,25-34,Credit Card,19.99,2024-11-08,,0
SUB-000321,Standard,Middle East,45-54,Google Pay,13.99,2023-03-15,,0
SUB-000322,Basic,North America,35-44,PayPal,7.99,2024-04-06,,0
SUB-000323,Standard,Middle East,55+,Apple Pay,13.99,2023-06-10,,0
SUB-000324,Premium,Latin America,18-24,Debit Card,19.99,2023-07-14,,0
SUB-000325,Basic,Asia Pacific,18-24,Apple Pay,7.99,2022-10-21,,0
SUB-000326,Premium,Asia Pacific,18-24,Google Pay,19.99,2024-08-11,,0
SUB-000327,Basic,Europe,35-44,PayPal,7.99,2024-02-09,,0
SUB-000328,Standard,Asia Pacific,35-44,Credit Card,13.99,2023-12-25,,0
SUB-000329,Standard,Latin America,25-34,Apple Pay,13.99,2022-01-30,,0
SUB-000330,Standard,Europe,45-54,Credit Card,13.99,2023-05-07,,0
SUB-000331,Basic,North America,18-24,Apple Pay,7.99,2024-08-13,,0
SUB-000332,Premium,Latin America,35-44,Debit Card,19.99,2024-02-24,,0
SUB-000333,Standard,Asia Pacific,55+,PayPal,13.99,2024-09-08,,0
SUB-000334,Standard,Latin America,55+,PayPal,13.99,2023-05-20,,0
SUB-000335,Basic,Asia Pacific,35-44,Debit Card,7.99,2024-11-20,,0
SUB-000336,Standard,Europe,35-44,Debit Card,13.99,2024-04-29,2025-08-11,1
SUB-000337,Premium,Middle East,18-24,Debit Card,19.99,2022-09-17,,0
SUB-000338,Standard,North America,45-54,Google Pay,13.99,2022-08-21,,0
SUB-000339,Basic,Middle East,25-34,Debit Card,7.99,2022-07-18,,0
SUB-000340,Basic,Asia Pacific,25-34,Credit Card,7.99,2023-12-11,,0
