student_id,programme,department,level,cohort_year,enrolment_date,status,gender,region,age_at_enrolment
STU-00116,Law,Law School,Postgraduate,2024,2024-09-04,Active,Non-binary,International,26
STU-00117,Social Sciences,Social Sciences,Undergraduate,2024,2024-09-10,Withdrawn,Non-binary,Midlands,35
STU-00118,Business Administration,Business,Postgraduate,2023,2023-09-08,Active,Non-binary,Wales,26
STU-00119,Education,Education Dept,Postgraduate,2024,2024-09-04,Active,Female,Scotland,42
STU-00120,Arts & Humanities,Arts,Postgraduate,2023,2023-09-10,Active,Female,Midlands,19
STU-00121,Engineering,Engineering,PhD,2022,2022-09-04,Active,Female,South East,24
STU-00122,Medicine,Medical School,Undergraduate,2025,2025-09-04,Active,Female,International,26
STU-00123,Business Administration,Business,Undergraduate,2022,2022-09-01,Active,Prefer not to say,Midlands,31
STU-00124,Social Sciences,Social Sciences,Undergraduate,2022,2022-09-01,Active,Female,International,45
STU-00125,Business Administration,Business,Undergraduate,2022,2022-09-02,Active,Prefer not to say,Wales,19
STU-00126,Education,Education Dept,Postgraduate,2024,2024-09-15,Active,Male,Midlands,34
STU-00127,Arts & Humanities,Arts,Postgraduate,2022,2022-09-15,Graduated,Female,International,35
STU-00128,Education,Education Dept,Postgraduate,2022,2022-09-01,Deferred,Non-binary,Wales,25
STU-00129,Engineering,Engineering,Undergraduate,2025,2025-09-05,Active,Prefer not to say,Wales,36
STU-00130,Social Sciences,Social Sciences,Undergraduate,2024,2024-09-10,Active,Non-binary,London,23
STU-00131,Business Administration,Business,Postgraduate,2025,2025-09-11,Active,Male,South East,43
STU-00132,Law,Law School,PhD,2023,2023-09-01,Active,Male,South East,37
STU-00133,Law,Law School,PhD,2025,2025-09-03,Graduated,Male,Scotland,44
STU-00134,Social Sciences,Social Sciences,PhD,2025,2025-09-06,Active,Female,South East,34
STU-00135,Education,Education Dept,Postgraduate,2024,2024-09-11,Active,Male,International,35
STU-00136,Law,Law School,Undergraduate,2025,2025-09-10,Active,Non-binary,Wales,36
STU-00137,Law,Law School,Postgraduate,2023,2023-09-09,Deferred,Female,Wales,29
STU-00138,Arts & Humanities,Arts,Postgraduate,2024,2024-09-04,Graduated,Non-binary,Midlands,24
STU-00139,Medicine,Medical School,Postgraduate,2025,2025-09-08,Graduated,Female,South East,34
STU-00140,Business Administration,Business,PhD,2022,2022-09-14,Active,Female,South East,24
STU-00141,Education,Education Dept,Postgraduate,2022,2022-09-06,Withdrawn,Female,North West,28
STU-00142,Education,Education Dept,Undergraduate,2024,2024-09-09,Graduated,Female,Scotland,28
STU-00143,Education,Education Dept,PhD,2024,2024-09-07,Active,Non-binary,Midlands,28
STU-00144,Business Administration,Business,Postgraduate,2024,2024-09-11,Active,Non-binary,London,28
STU-00145,Computer Science,Computing,PhD,2025,2025-09-06,Active,Non-binary,Scotland,30
STU-00146,Arts & Humanities,Arts,Postgraduate,2024,2024-09-02,Active,Female,Scotland,38
STU-00147,Computer Science,Computing,PhD,2024,2024-09-07,Active,Non-binary,Wales,29
STU-00148,Computer Science,Computing,Postgraduate,2023,2023-09-07,Active,Prefer not to say,North West,43
STU-00149,Medicine,Medical School,Undergraduate,2024,2024-09-09,Active,Non-binary,Midlands,24
STU-00150,Social Sciences,Social Sciences,Postgraduate,2024,2024-09-15,Graduated,Female,South East,25
STU-00151,Law,Law School,Postgraduate,2024,2024-09-08,Active,Non-binary,Midlands,31
STU-00152,Business Administration,Business,Postgraduate,2025,2025-09-11,Graduated,Prefer not to say,South East,41
STU-00153,Computer Science,Computing,Postgraduate,2023,2023-09-02,Active,Non-binary,North West,24
STU-00154,Computer Science,Computing,PhD,2025,2025-09-06,Deferred,Male,Wales,21
STU-00155,Engineering,Engineering,Undergraduate,2025,2025-09-03,Withdrawn,Male,North West,19
STU-00156,Social Sciences,Social Sciences,Postgraduate,2024,2024-09-06,Graduated,Prefer not to say,Scotland,37
STU-00157,Business Administration,Business,Postgraduate,2025,2025-09-01,Graduated,Male,Wales,23
STU-00158,Medicine,Medical School,Undergraduate,2024,2024-09-13,Active,Prefer not to say,Midlands,22
STU-00159,Social Sciences,Social Sciences,PhD,2025,2025-09-11,Graduated,Male,Scotland,43
STU-00160,Arts & Humanities,Arts,Postgraduate,2023,2023-09-10,Active,Male,North West,18
STU-00161,Education,Education Dept,Undergraduate,2024,2024-09-14,Active,Female,Wales,34
STU-00162,Arts & Humanities,Arts,PhD,2024,2024-09-13,Active,Male,International,19
STU-00163,Education,Education Dept,Postgraduate,2023,2023-09-10,Graduated,Non-binary,Scotland,35
STU-00164,Education,Education Dept,PhD,2023,2023-09-02,Active,Non-binary,Midlands,44
STU-00165,Medicine,Medical School,PhD,2022,2022-09-13,Active,Male,South East,27
STU-00166,Education,Education Dept,PhD,2024,2024-09-10,Active,Female,North West,36
STU-00167,Engineering,Engineering,PhD,2023,2023-09-14,Active,Prefer not to say,South East,45
STU-00168,Arts & Humanities,Arts,Postgraduate,2022,2022-09-04,Active,Female,London,29
STU-00169,Arts & Humanities,Arts,PhD,2025,2025-09-12,Active,Male,Scotland,36
STU-00170,Arts & Humanities,Arts,Postgraduate,2024,2024-09-01,Active,Prefer not to say,London,45
STU-00171,Arts & Humanities,Arts,Undergraduate,2024,2024-09-07,Active,Male,Midlands,39
STU-00172,Business Administration,Business,PhD,2024,2024-09-06,Graduated,Female,Scotland,31
STU-00173,Business Administration,Business,Postgraduate,2025,2025-09-02,Active,Non-binary,International,43
STU-00174,Law,Law School,Postgraduate,2024,2024-09-03,Active,Non-binary,Wales,30
STU-00175,Education,Education Dept,Postgraduate,2024,2024-09-02,Active,Male,International,28
STU-00176,Social Sciences,Social Sciences,Undergraduate,2025,2025-09-12,Active,Non-binary,North West,36
STU-00177,Business Administration,Business,Postgraduate,2023,2023-09-15,Active,Female,Midlands,36
STU-00178,Business Administration,Business,Postgraduate,2022,2022-09-10,Active,Non-binary,Scotland,25
STU-00179,Social Sciences,Social Sciences,Undergraduate,2023,2023-09-07,Withdrawn,Female,International,35
STU-00180,Engineering,Engineering,PhD,2025,2025-09-05,Active,Male,Midlands,25
STU-00181,Arts & Humanities,Arts,PhD,2023,2023-09-09,Active,Prefer not to say,Scotland,28
STU-00182,Business Administration,Business,Postgraduate,2024,2024-09-08,Graduated,Prefer not to say,International,24
STU-00183,Law,Law School,PhD,2025,2025-09-08,Active,Prefer not to say,Scotland,41
STU-00184,Engineering,Engineering,Postgraduate,2025,2025-09-02,Active,Male,Midlands,45
STU-00185,Education,Education Dept,Postgraduate,2024,2024-09-05,Active,Prefer not to say,South East,43
STU-00186,Law,Law School,PhD,2024,2024-09-10,Active,Female,Wales,30
STU-00187,Medicine,Medical School,Postgraduate,2023,2023-09-12,Active,Non-binary,Scotland,33
STU-00188,Medicine,Medical School,Undergraduate,2022,2022-09-09,Active,Non-binary,International,36
STU-00189,Education,Education Dept,Undergraduate,2025,2025-09-14,Active,Prefer not to say,South East,31
STU-00190,Engineering,Engineering,Undergraduate,2025,2025-09-11,Graduated,Prefer not to say,North West,22
STU-00191,Medicine,Medical School,Postgraduate,2024,2024-09-01,Active,Prefer not to say,International,30
STU-00192,Law,Law School,Undergraduate,2023,2023-09-15,Active,Female,North West,30
STU-00193,Medicine,Medical School,Postgraduate,2022,2022-09-06,Graduated,Male,South East,23
STU-00194,Arts & Humanities,Arts,Undergraduate,2023,2023-09-11,Active,Non-binary,Wales,32
STU-00195,Engineering,Engineering,PhD,2022,2022-09-02,Active,Non-binary,North West,40
STU-00196,Engineering,Engineering,PhD,2024,2024-09-07,Deferred,Male,Wales,22
STU-00197,Business Administration,Business,Postgraduate,2023,2023-09-13,Active,Non-binary,Midlands,40
STU-00198,Social Sciences,Social Sciences,Undergraduate,2022,2022-09-02,Active,Male,South East,22
STU-00199,Business Administration,Business,Postgraduate,2023,2023-09-10,Active,Female,Wales,21
STU-00200,Computer Science,Computing,PhD,2022,2022-09-12,Withdrawn,Male,Midlands,21
STU-00201,Engineering,Engineering,PhD,2023,2023-09-07,Graduated,Prefer not to say,Midlands,39
STU-00202,Business Administration,Business,PhD,2023,2023-09-09,Active,Non-binary,London,22
STU-00203,Law,Law School,Postgraduate,2024,2024-09-10,Active,Prefer not to say,International,45
STU-00204,Arts & Humanities,Arts,Undergraduate,2022,2022-09-02,Active,Prefer not to say,North West,39
STU-00205,Computer Science,Computing,PhD,2023,2023-09-03,Active,Female,Midlands,29
STU-00206,Computer Science,Computing,Postgraduate,2022,2022-09-09,Active,Female,International,24
STU-00207,Medicine,Medical School,Undergraduate,2023,2023-09-05,Active,Non-binary,South East,37
STU-00208,Arts & Humanities,Arts,Postgraduate,2025,2025-09-11,Active,Prefer not to say,Midlands,40
STU-00209,Social Sciences,Social Sciences,PhD,2025,2025-09-08,Active,Non-binary,North West,41
STU-00210,Arts & Humanities,Arts,Postgraduate,2022,2022-09-13,Active,Female,North West,38
STU-00211,Engineering,Engineering,Postgraduate,2025,2025-09-11,Active,Non-binary,Midlands,45
STU-00212,Engineering,Engineering,PhD,2022,2022-09-03,Active,Prefer not to say,South East,25
STU-00213,Education,Education Dept,PhD,2022,2022-09-01,Active,Non-binary,Scotland,36
STU-00214,Medicine,Medical School,Postgraduate,2022,2022-09-05,Graduated,Prefer not to say,South East,38
STU-00215,Arts & Humanities,Arts,Undergraduate,2023,2023-09-10,Active,Non-binary,London,41
STU-00216,Computer Science,Computing,Postgraduate,2022,2022-09-12,Active,Non-binary,Midlands,42
STU-00217,Social Sciences,Social Sciences,Undergraduate,2024,2024-09-10,Active,Female,International,25
STU-00218,Law,Law School,Postgraduate,2023,2023-09-02,Graduated,Non-binary,North West,36
STU-00219,Law,Law School,PhD,2022,2022-09-08,Deferred,Female,South East,34
STU-00220,Business Administration,Business,Undergraduate,2023,2023-09-13,Active,Male,North West,42
STU-00221,Law,Law School,Undergraduate,2022,2022-09-04,Graduated,Male,South East,29
STU-00222,Arts & Humanities,Arts,PhD,2023,2023-09-01,Active,Prefer not to say,Midlands,42
STU-00223,Engineering,Engineering,Postgraduate,2025,2025-09-01,Withdrawn,Non-binary,International,21
STU-00224,Arts & Humanities,Arts,PhD,2022,2022-09-05,Graduated,Prefer not to say,North West,35
STU-00225,Education,Education Dept,Undergraduate,2024,2024-09-12,Active,Male,Wales,20
STU-00226,Engineering,Engineering,Postgraduate,2025,2025-09-01,Withdrawn,Male,Wales,45
STU-00227,Social Sciences,Social Sciences,Undergraduate,2022,2022-09-13,Graduated,Prefer not to say,Midlands,41
STU-00228,Engineering,Engineering,Undergraduate,2025,2025-09-10,Active,Prefer not to say,London,25
STU-00229,Arts & Humanities,Arts,Undergraduate,2022,2022-09-06,Active,Female,Wales,27
STU-00230,Engineering,Engineering,PhD,2023,2023-09-03,Deferred,Male,International,43
STU-00231,Education,Education Dept,Undergraduate,2025,2025-09-14,Withdrawn,Prefer not to say,Scotland,33
STU-00232,Education,Education Dept,Undergraduate,2025,2025-09-10,Deferred,Male,South East,22
STU-00233,Law,Law School,PhD,2025,2025-09-08,Active,Female,South East,27
STU-00234,Computer Science,Computing,Undergraduate,2025,2025-09-08,Graduated,Non-binary,London,37
STU-00235,Education,Education Dept,Postgraduate,2022,2022-09-14,Graduated,Male,International,28
STU-00236,Computer Science,Computing,Undergraduate,2023,2023-09-10,Graduated,Female,Scotland,28
STU-00237,Engineering,Engineering,PhD,2025,2025-09-11,Graduated,Male,London,20
STU-00238,Medicine,Medical School,Postgraduate,2024,2024-09-06,Active,Female,North West,30
STU-00239,Arts & Humanities,Arts,Postgraduate,2024,2024-09-14,Deferred,Male,Wales,43
STU-00240,Education,Education Dept,Postgraduate,2023,2023-09-15,Active,Female,Scotland,29
STU-00241,Medicine,Medical School,PhD,2024,2024-09-10,Active,Non-binary,South East,19
STU-00242,Business Administration,Business,Postgraduate,2022,2022-09-10,Active,Male,North West,28
STU-00243,Engineering,Engineering,Undergraduate,2022,2022-09-13,Active,Male,South East,31
STU-00244,Business Administration,Business,PhD,2025,2025-09-14,Active,Non-binary,International,32
STU-00245,Law,Law School,PhD,2024,2024-09-06,Active,Female,International,34
STU-00246,Business Administration,Business,PhD,2025,2025-09-07,Active,Female,International,41
STU-00247,Business Administration,Business,Postgraduate,2024,2024-09-15,Active,Female,Scotland,42
STU-00248,Business Administration,Business,Undergraduate,2025,2025-09-12,Active,Female,Midlands,36
STU-00249,Medicine,Medical School,Postgraduate,2023,2023-09-13,Withdrawn,Non-binary,North West,34
STU-00250,Education,Education Dept,PhD,2025,2025-09-11,Active,Non-binary,International,25
STU-00251,Law,Law School,Undergraduate,2024,2024-09-04,Active,Non-binary,International,35
STU-00252,Engineering,Engineering,PhD,2025,2025-09-13,Withdrawn,Prefer not to say,North West,29
STU-00253,Social Sciences,Social Sciences,Undergraduate,2023,2023-09-12,Active,Prefer not to say,Scotland,35
STU-00254,Engineering,Engineering,Postgraduate,2025,2025-09-09,Graduated,Male,North West,43
STU-00255,Engineering,Engineering,Undergraduate,2023,2023-09-12,Active,Non-binary,Midlands,43
STU-00256,Social Sciences,Social Sciences,Undergraduate,2024,2024-09-09,Active,Male,North West,26
STU-00257,Education,Education Dept,Postgraduate,2022,2022-09-03,Withdrawn,Prefer not to say,Midlands,18
STU-00258,Medicine,Medical School,PhD,2023,2023-09-03,Deferred,Female,South East,19
STU-00259,Medicine,Medical School,Undergraduate,2022,2022-09-14,Active,Female,Wales,34
STU-00260,Law,Law School,Postgraduate,2024,2024-09-10,Active,Male,South East,39
STU-00261,Computer Science,Computing,Undergraduate,2023,2023-09-14,Graduated,Male,International,43
STU-00262,Social Sciences,Social Sciences,Undergraduate,2025,2025-09-03,Withdrawn,Female,Midlands,39
STU-00263,Computer Science,Computing,PhD,2025,2025-09-05,Active,Male,Midlands,28
STU-00264,Engineering,Engineering,Undergraduate,2022,2022-09-11,Active,Female,North West,21
STU-00265,Education,Education Dept,Undergraduate,2025,2025-09-04,Graduated,Non-binary,North West,43
STU-00266,Arts & Humanities,Arts,Undergraduate,2022,2022-09-07,Active,Male,International,21
STU-00267,Business Administration,Business,Undergraduate,2023,2023-09-05,Active,Male,South East,28
STU-00268,Arts & Humanities,Arts,Postgraduate,2025,2025-09-11,Graduated,Prefer not to say,International,36
STU-00269,Social Sciences,Social Sciences,Undergraduate,2023,2023-09-15,Active,Non-binary,North West,23
STU-00270,Business Administration,Business,Postgraduate,2022,2022-09-10,Active,Non-binary,Midlands,37
STU-00271,Social Sciences,Social Sciences,Undergraduate,2025,2025-09-02,Active,Non-binary,Wales,29
STU-00272,Arts & Humanities,Arts,Undergraduate,2022,2022-09-10,Graduated,Non-binary,South East,19
STU-00273,Computer Science,Computing,Undergraduate,2025,2025-09-01,Active,Non-binary,Wales,19
STU-00274,Law,Law School,Postgraduate,2024,2024-09-09,Graduated,Non-binary,South East,31
STU-00275,Education,Education Dept,Postgraduate,2025,2025-09-03,Active,Prefer not to say,Midlands,44
STU-00276,Business Administration,Business,PhD,2023,2023-09-10,Active,Prefer not to say,South East,44
STU-00277,Business Administration,Business,Undergraduate,2023,2023-09-03,Active,Male,London,27
STU-00278,Computer Science,Computing,Undergraduate,2023,2023-09-04,Active,Non-binary,South East,39
STU-00279,Computer Science,Computing,PhD,2024,2024-09-02,Withdrawn,Female,North West,19
STU-00280,Medicine,Medical School,Undergraduate,2022,2022-09-15,Active,Prefer not to say,Scotland,22
STU-00281,Business Administration,Business,Postgraduate,2023,2023-09-08,Graduated,Non-binary,Scotland,23
STU-00282,Education,Education Dept,Postgraduate,2022,2022-09-11,Deferred,Non-binary,Wales,23
STU-00283,Education,Education Dept,Postgraduate,2024,2024-09-04,Deferred,Female,International,19
STU-00284,Arts & Humanities,Arts,Undergraduate,2023,2023-09-06,Active,Prefer not to say,Scotland,18
STU-00285,Arts & Humanities,Arts,PhD,2025,2025-09-12,Active,Male,Midlands,45
STU-00286,Engineering,Engineering,PhD,2024,2024-09-12,Active,Male,International,36
STU-00287,Arts & Humanities,Arts,PhD,2023,2023-09-12,Graduated,Female,Wales,37
STU-00288,Law,Law School,PhD,2022,2022-09-14,Active,Prefer not to say,South East,42
STU-00289,Engineering,Engineering,PhD,2024,2024-09-11,Graduated,Prefer not to say,Wales,31
STU-00290,Business Administration,Business,Postgraduate,2024,2024-09-07,Active,Prefer not to say,Scotland,21
STU-00291,Social Sciences,Social Sciences,Postgraduate,2025,2025-09-14,Graduated,Non-binary,Scotland,42
STU-00292,Engineering,Engineering,Undergraduate,2024,2024-09-04,Active,Prefer not to say,International,38
STU-00293,Education,Education Dept,Undergraduate,2024,2024-09-12,Active,Male,Wales,21
STU-00294,Education,Education Dept,Undergraduate,2025,2025-09-05,Graduated,Non-binary,London,28
STU-00295,Education,Education Dept,Undergraduate,2024,2024-09-08,Active,Non-binary,Scotland,28
STU-00296,Medicine,Medical School,Postgraduate,2024,2024-09-14,Active,Non-binary,North West,29
STU-00297,Engineering,Engineering,PhD,2025,2025-09-04,Graduated,Male,Midlands,44
STU-00298,Engineering,Engineering,Postgraduate,2024,2024-09-05,Active,Non-binary,International,25
