enrolment_id,student_id,course_id,department,level,credits,enrolment_date,status,is_completed,is_withdrawn
ENR-000112,STU-02324,CRS-0065,Arts,Undergraduate,10,2024-09-13,Completed,1,0
ENR-000113,STU-02124,CRS-0017,Business,Undergraduate,15,2024-09-08,Failed,0,0
ENR-000114,STU-01796,CRS-0111,Social Sciences,Postgraduate,15,2025-09-13,Withdrawn,0,1
ENR-000115,STU-03347,CRS-0029,Business,PhD,15,2024-10-02,Enrolled,0,0
ENR-000116,STU-01982,CRS-0106,Social Sciences,Undergraduate,10,2024-09-09,Enrolled,0,0
ENR-000117,STU-02186,CRS-0080,Law School,Undergraduate,15,2023-09-09,Completed,1,0
ENR-000118,STU-00071,CRS-0111,Social Sciences,Postgraduate,15,2022-10-09,Completed,1,0
ENR-000119,STU-03733,CRS-0108,Social Sciences,Undergraduate,15,2022-09-10,Completed,1,0
ENR-000120,STU-00032,CRS-0093,Education Dept,Undergraduate,20,2023-09-26,Enrolled,0,0
ENR-000121,STU-04358,CRS-0053,Medical School,Postgraduate,30,2022-09-13,Completed,1,0
ENR-000122,STU-02875,CRS-0047,Medical School,Undergraduate,10,2024-10-03,Withdrawn,0,1
ENR-000123,STU-04872,CRS-0104,Education Dept,PhD,30,2022-09-18,Failed,0,0
ENR-000124,STU-04721,CRS-0004,Computing,Undergraduate,30,2023-10-03,Failed,0,0
ENR-000125,STU-02752,CRS-0049,Medical School,Undergraduate,10,2022-09-09,Withdrawn,0,1
ENR-000126,STU-02701,CRS-0109,Social Sciences,Undergraduate,15,2023-09-15,Withdrawn,0,1
ENR-000127,STU-04277,CRS-0097,Education Dept,Postgraduate,15,2025-09-11,Completed,1,0
ENR-000128,STU-02170,CRS-0086,Law School,PhD,10,2022-09-09,Enrolled,0,0
ENR-000129,STU-01817,CRS-0026,Business,PhD,30,2025-09-20,Enrolled,0,0
ENR-000130,STU-03286,CRS-0046,Medical School,Undergraduate,20,2025-09-13,Failed,0,0
ENR-000131,STU-02732,CRS-0107,Social Sciences,Undergraduate,10,2024-09-08,Enrolled,0,0
ENR-000132,STU-02649,CRS-0076,Law School,Undergraduate,30,2025-09-19,Completed,1,0
ENR-000133,STU-00189,CRS-0093,Education Dept,Undergraduate,20,2025-09-17,Withdrawn,0,1
ENR-000134,STU-00737,CRS-0026,Business,PhD,30,2024-10-11,Completed,1,0
ENR-000135,STU-03872,CRS-0045,Engineering,PhD,20,2025-09-26,Enrolled,0,0
ENR-000136,STU-00946,CRS-0101,Education Dept,PhD,20,2025-09-02,Completed,1,0
ENR-000137,STU-02711,CRS-0040,Engineering,Postgraduate,20,2023-09-20,Completed,1,0
ENR-000138,STU-02380,CRS-0017,Business,Undergraduate,15,2022-09-28,Withdrawn,0,1
ENR-000139,STU-02132,CRS-0016,Business,Undergraduate,10,2023-09-19,Completed,1,0
ENR-000140,STU-01198,CRS-0024,Business,Postgraduate,20,2022-09-01,Completed,1,0
ENR-000141,STU-02403,CRS-0081,Law School,Postgraduate,30,2025-09-18,Enrolled,0,0
ENR-000142,STU-01220,CRS-0088,Law School,PhD,10,2024-10-03,Completed,1,0
ENR-000143,STU-01981,CRS-0023,Business,Postgraduate,15,2023-09-29,Enrolled,0,0
ENR-000144,STU-03427,CRS-0046,Medical School,Undergraduate,20,2025-09-15,Failed,0,0
ENR-000145,STU-03944,CRS-0020,Business,Undergraduate,10,2025-10-03,Enrolled,0,0
ENR-000146,STU-00128,CRS-0104,Education Dept,PhD,30,2022-09-03,Failed,0,0
ENR-000147,STU-03809,CRS-0056,Medical School,PhD,10,2022-09-13,Completed,1,0
ENR-000148,STU-01877,CRS-0061,Arts,Undergraduate,30,2024-09-26,Withdrawn,0,1
ENR-000149,STU-04080,CRS-0052,Medical School,Postgraduate,20,2023-09-25,Completed,1,0
ENR-000150,STU-01967,CRS-0078,Law School,Undergraduate,10,2025-10-09,Completed,1,0
ENR-000151,STU-04443,CRS-0040,Engineering,Postgraduate,20,2025-10-10,Completed,1,0
ENR-000152,STU-03533,CRS-0104,Education Dept,PhD,30,2023-09-10,Completed,1,0
ENR-000153,STU-00090,CRS-0040,Engineering,Postgraduate,20,2025-09-28,Enrolled,0,0
ENR-000154,STU-02914,CRS-0076,Law School,Undergraduate,30,2023-10-08,Completed,1,0
ENR-000155,STU-01092,CRS-0058,Medical School,PhD,10,2024-09-15,Completed,1,0
ENR-000156,STU-03390,CRS-0036,Engineering,Postgraduate,30,2025-09-18,Withdrawn,0,1
ENR-000157,STU-03921,CRS-0018,Business,Undergraduate,15,2022-10-08,Completed,1,0
ENR-000158,STU-00563,CRS-0028,Business,PhD,30,2022-09-07,Completed,1,0
ENR-000159,STU-03032,CRS-0022,Business,Postgraduate,30,2025-09-21,Completed,1,0
ENR-000160,STU-04985,CRS-0110,Social Sciences,Undergraduate,30,2023-09-13,Completed,1,0
ENR-000161,STU-04213,CRS-0116,Social Sciences,PhD,20,2025-10-04,Enrolled,0,0
ENR-000162,STU-04195,CRS-0093,Education Dept,Undergraduate,20,2022-09-15,Enrolled,0,0
ENR-000163,STU-02558,CRS-0077,Law School,Undergraduate,30,2022-09-12,Completed,1,0
ENR-000164,STU-02495,CRS-0082,Law School,Postgraduate,15,2023-09-29,Enrolled,0,0
ENR-000165,STU-00810,CRS-0114,Social Sciences,Postgraduate,15,2024-09-14,Enrolled,0,0
ENR-000166,STU-00559,CRS-0107,Social Sciences,Undergraduate,10,2025-09-12,Completed,1,0
ENR-000167,STU-00500,CRS-0062,Arts,Undergraduate,20,2022-09-15,Failed,0,0
ENR-000168,STU-03425,CRS-0054,Medical School,Postgraduate,10,2022-10-11,Completed,1,0
ENR-000169,STU-00558,CRS-0057,Medical School,PhD,15,2024-09-10,Withdrawn,0,1
ENR-000170,STU-01175,CRS-0096,Education Dept,Postgraduate,30,2023-09-26,Enrolled,0,0
ENR-000171,STU-03257,CRS-0060,Medical School,PhD,15,2023-10-02,Completed,1,0
ENR-000172,STU-04580,CRS-0013,Computing,PhD,30,2023-09-29,Failed,0,0
ENR-000173,STU-04146,CRS-0049,Medical School,Undergraduate,10,2023-09-17,Completed,1,0
ENR-000174,STU-04092,CRS-0042,Engineering,PhD,30,2022-10-02,Enrolled,0,0
ENR-000175,STU-01978,CRS-0017,Business,Undergraduate,15,2023-09-23,Enrolled,0,0
ENR-000176,STU-03197,CRS-0074,Arts,PhD,30,2022-10-02,Enrolled,0,0
ENR-000177,STU-03217,CRS-0120,Social Sciences,PhD,30,2022-09-30,Withdrawn,0,1
ENR-000178,STU-03295,CRS-0033,Engineering,Undergraduate,30,2022-09-25,Enrolled,0,0
ENR-000179,STU-04058,CRS-0094,Education Dept,Undergraduate,10,2023-09-21,Enrolled,0,0
ENR-000180,STU-00791,CRS-0015,Computing,PhD,10,2025-10-03,Completed,1,0
ENR-000181,STU-00813,CRS-0108,Social Sciences,Undergraduate,15,2025-09-28,Completed,1,0
ENR-000182,STU-03938,CRS-0022,Business,Postgraduate,30,2024-09-25,Completed,1,0
ENR-000183,STU-04957,CRS-0113,Social Sciences,Postgraduate,20,2022-09-13,Failed,0,0
ENR-000184,STU-02987,CRS-0034,Engineering,Undergraduate,30,2025-09-29,Failed,0,0
ENR-000185,STU-01775,CRS-0028,Business,PhD,30,2025-09-24,Enrolled,0,0
ENR-000186,STU-01434,CRS-0101,Education Dept,PhD,20,2024-10-01,Withdrawn,0,1
ENR-000187,STU-00395,CRS-0018,Business,Undergraduate,15,2022-09-02,Enrolled,0,0
ENR-000188,STU-02078,CRS-0021,Business,Postgraduate,20,2025-10-07,Completed,1,0
ENR-000189,STU-04460,CRS-0085,Law School,Postgraduate,10,2023-10-02,Completed,1,0
ENR-000190,STU-00084,CRS-0109,Social Sciences,Undergraduate,15,2022-09-13,Completed,1,0
ENR-000191,STU-01635,CRS-0050,Medical School,Undergraduate,20,2025-09-21,Withdrawn,0,1
ENR-000192,STU-00501,CRS-0013,Computing,PhD,30,2023-09-17,Completed,1,0
ENR-000193,STU-00422,CRS-0044,Engineering,PhD,30,2025-10-14,Enrolled,0,0
ENR-000194,STU-00196,CRS-0035,Engineering,Undergraduate,10,2024-10-07,Completed,1,0
ENR-000195,STU-03541,CRS-0070,Arts,Postgraduate,20,2025-10-01,Enrolled,0,0
ENR-000196,STU-04564,CRS-0057,Medical School,PhD,15,2022-10-06,Completed,1,0
ENR-000197,STU-00009,CRS-0014,Computing,PhD,15,2024-09-18,Completed,1,0
ENR-000198,STU-00141,CRS-0091,Education Dept,Undergraduate,15,2022-09-22,Completed,1,0
ENR-000199,STU-00798,CRS-0119,Social Sciences,PhD,30,2025-10-10,Enrolled,0,0
ENR-000200,STU-00899,CRS-0058,Medical School,PhD,10,2023-09-13,Completed,1,0
ENR-000201,STU-00234,CRS-0012,Computing,PhD,20,2025-10-03,Completed,1,0
ENR-000202,STU-01235,CRS-0084,Law School,Postgraduate,30,2024-09-08,Completed,1,0
ENR-000203,STU-03444,CRS-0096,Education Dept,Postgraduate,30,2023-10-04,Failed,0,0
ENR-000204,STU-04027,CRS-0021,Business,Postgraduate,20,2024-10-08,Completed,1,0
ENR-000205,STU-02679,CRS-0049,Medical School,Undergraduate,10,2022-09-14,Completed,1,0
ENR-000206,STU-00834,CRS-0019,Business,Undergraduate,20,2025-09-05,Failed,0,0
ENR-000207,STU-03937,CRS-0092,Education Dept,Undergraduate,30,2022-09-28,Completed,1,0
ENR-000208,STU-03534,CRS-0017,Business,Undergraduate,15,2023-09-15,Completed,1,0
ENR-000209,STU-01697,CRS-0069,Arts,Postgraduate,15,2025-09-13,Enrolled,0,0
ENR-000210,STU-02796,CRS-0004,Computing,Undergraduate,30,2024-09-29,Failed,0,0
ENR-000211,STU-01549,CRS-0062,Arts,Undergraduate,20,2022-09-09,Completed,1,0
ENR-000212,STU-04198,CRS-0019,Business,Undergraduate,20,2022-09-09,Completed,1,0
ENR-000213,STU-02049,CRS-0006,Computing,Postgraduate,10,2025-09-20,Completed,1,0
ENR-000214,STU-00969,CRS-0043,Engineering,PhD,20,2024-09-22,Enrolled,0,0
ENR-000215,STU-02233,CRS-0030,Business,PhD,30,2025-09-24,Completed,1,0
ENR-000216,STU-03848,CRS-0084,Law School,Postgraduate,30,2022-09-27,Completed,1,0
ENR-000217,STU-04698,CRS-0071,Arts,PhD,15,2023-09-29,Withdrawn,0,1
ENR-000218,STU-04467,CRS-0052,Medical School,Postgraduate,20,2025-10-07,Completed,1,0
ENR-000219,STU-00816,CRS-0110,Social Sciences,Undergraduate,30,2024-09-07,Enrolled,0,0
ENR-000220,STU-00712,CRS-0092,Education Dept,Undergraduate,30,2025-09-25,Enrolled,0,0
ENR-000221,STU-02858,CRS-0082,Law School,Postgraduate,15,2022-10-01,Enrolled,0,0
ENR-000222,STU-03224,CRS-0095,Education Dept,Undergraduate,10,2024-09-19,Completed,1,0
ENR-000223,STU-02520,CRS-0047,Medical School,Undergraduate,10,2022-09-21,Failed,0,0
ENR-000224,STU-00528,CRS-0084,Law School,Postgraduate,30,2022-10-02,Completed,1,0
ENR-000225,STU-04761,CRS-0066,Arts,Postgraduate,15,2024-09-19,Enrolled,0,0
ENR-000226,STU-03331,CRS-0089,Law School,PhD,15,2024-10-04,Enrolled,0,0
ENR-000227,STU-01905,CRS-0111,Social Sciences,Postgraduate,15,2023-09-11,Completed,1,0
ENR-000228,STU-03957,CRS-0026,Business,PhD,30,2024-09-18,Completed,1,0
ENR-000229,STU-03357,CRS-0072,Arts,PhD,15,2024-09-19,Completed,1,0
ENR-000230,STU-02786,CRS-0059,Medical School,PhD,10,2025-09-30,Enrolled,0,0
ENR-000231,STU-04257,CRS-0022,Business,Postgraduate,30,2022-09-14,Enrolled,0,0
ENR-000232,STU-04201,CRS-0061,Arts,Undergraduate,30,2025-09-20,Withdrawn,0,1
ENR-000233,STU-02703,CRS-0035,Engineering,Undergraduate,10,2022-09-24,Completed,1,0
ENR-000234,STU-02977,CRS-0100,Education Dept,Postgraduate,15,2025-10-10,Enrolled,0,0
ENR-000235,STU-00460,CRS-0084,Law School,Postgraduate,30,2024-09-28,Completed,1,0
ENR-000236,STU-04611,CRS-0099,Education Dept,Postgraduate,30,2025-09-12,Completed,1,0
ENR-000237,STU-00605,CRS-0108,Social Sciences,Undergraduate,15,2022-09-24,Completed,1,0
ENR-000238,STU-02356,CRS-0040,Engineering,Postgraduate,20,2024-09-16,Enrolled,0,0
ENR-000239,STU-01182,CRS-0101,Education Dept,PhD,20,2024-09-02,Completed,1,0
ENR-000240,STU-00012,CRS-0103,Education Dept,PhD,30,2023-09-19,Completed,1,0
ENR-000241,STU-03572,CRS-0085,Law School,Postgraduate,10,2024-09-27,Enrolled,0,0
ENR-000242,STU-00116,CRS-0084,Law School,Postgraduate,30,2024-10-01,Enrolled,0,0
ENR-000243,STU-04032,CRS-0032,Engineering,Undergraduate,15,2025-09-26,Enrolled,0,0
ENR-000244,STU-04864,CRS-0103,Education Dept,PhD,30,2024-09-17,Completed,1,0
ENR-000245,STU-01639,CRS-0085,Law School,Postgraduate,10,2025-09-19,Completed,1,0
ENR-000246,STU-01437,CRS-0034,Engineering,Undergraduate,30,2022-09-15,Completed,1,0
ENR-000247,STU-02944,CRS-0016,Business,Undergraduate,10,2025-10-02,Completed,1,0
ENR-000248,STU-01763,CRS-0036,Engineering,Postgraduate,30,2023-09-23,Completed,1,0
ENR-000249,STU-02470,CRS-0025,Business,Postgraduate,20,2025-10-13,Enrolled,0,0
ENR-000250,STU-01593,CRS-0037,Engineering,Postgraduate,20,2025-10-04,Withdrawn,0,1
ENR-000251,STU-01208,CRS-0033,Engineering,Undergraduate,30,2025-09-21,Enrolled,0,0
ENR-000252,STU-02802,CRS-0074,Arts,PhD,30,2023-10-03,Completed,1,0
ENR-000253,STU-02312,CRS-0028,Business,PhD,30,2023-09-29,Withdrawn,0,1
ENR-000254,STU-00957,CRS-0105,Education Dept,PhD,10,2022-09-08,Completed,1,0
ENR-000255,STU-03744,CRS-0107,Social Sciences,Undergraduate,10,2024-09-10,Withdrawn,0,1
ENR-000256,STU-02915,CRS-0038,Engineering,Postgraduate,15,2025-09-12,Enrolled,0,0
ENR-000257,STU-04278,CRS-0015,Computing,PhD,10,2023-10-03,Completed,1,0
ENR-000258,STU-00784,CRS-0086,Law School,PhD,10,2022-09-22,Failed,0,0
ENR-000259,STU-02011,CRS-0111,Social Sciences,Postgraduate,15,2024-09-08,Enrolled,0,0
ENR-000260,STU-01165,CRS-0001,Computing,Undergraduate,15,2025-10-05,Withdrawn,0,1
ENR-000261,STU-04364,CRS-0113,Social Sciences,Postgraduate,20,2022-10-07,Completed,1,0
ENR-000262,STU-01175,CRS-0094,Education Dept,Undergraduate,10,2023-10-05,Enrolled,0,0
ENR-000263,STU-03163,CRS-0036,Engineering,Postgraduate,30,2022-09-10,Withdrawn,0,1
ENR-000264,STU-01701,CRS-0008,Computing,Postgraduate,20,2024-10-07,Enrolled,0,0
ENR-000265,STU-03496,CRS-0093,Education Dept,Undergraduate,20,2024-10-15,Withdrawn,0,1
ENR-000266,STU-01354,CRS-0080,Law School,Undergraduate,15,2024-09-09,Completed,1,0
ENR-000267,STU-02838,CRS-0036,Engineering,Postgraduate,30,2022-09-15,Enrolled,0,0
ENR-000268,STU-02371,CRS-0052,Medical School,Postgraduate,20,2024-09-04,Completed,1,0
ENR-000269,STU-03183,CRS-0068,Arts,Postgraduate,15,2025-09-23,Completed,1,0
ENR-000270,STU-02023,CRS-0090,Law School,PhD,30,2022-09-20,Enrolled,0,0
ENR-000271,STU-02380,CRS-0022,Business,Postgraduate,30,2022-09-19,Completed,1,0
ENR-000272,STU-00230,CRS-0041,Engineering,PhD,10,2023-09-17,Failed,0,0
ENR-000273,STU-00906,CRS-0046,Medical School,Undergraduate,20,2023-10-03,Completed,1,0
ENR-000274,STU-00610,CRS-0038,Engineering,Postgraduate,15,2022-09-17,Completed,1,0
ENR-000275,STU-02916,CRS-0018,Business,Undergraduate,15,2022-09-30,Enrolled,0,0
ENR-000276,STU-01100,CRS-0060,Medical School,PhD,15,2025-09-29,Withdrawn,0,1
ENR-000277,STU-00240,CRS-0092,Education Dept,Undergraduate,30,2023-10-15,Enrolled,0,0
ENR-000278,STU-01790,CRS-0017,Business,Undergraduate,15,2025-09-18,Withdrawn,0,1
ENR-000279,STU-03394,CRS-0041,Engineering,PhD,10,2023-09-04,Failed,0,0
ENR-000280,STU-02848,CRS-0063,Arts,Undergraduate,30,2025-09-25,Enrolled,0,0
ENR-000281,STU-04984,CRS-0042,Engineering,PhD,30,2022-10-10,Failed,0,0
ENR-000282,STU-02667,CRS-0095,Education Dept,Undergraduate,10,2023-09-19,Completed,1,0
ENR-000283,STU-03155,CRS-0044,Engineering,PhD,30,2023-10-02,Completed,1,0
ENR-000284,STU-03201,CRS-0026,Business,PhD,30,2024-09-15,Completed,1,0
ENR-000285,STU-03437,CRS-0016,Business,Undergraduate,10,2022-09-30,Completed,1,0
