event_id,engagement_id,consultant_id,event_date,task_type,hours_logged,cost_gbp,budget_remaining_pct,is_overrun_alert
PE-000055,ENG-00963,CON-0174,2025-04-21 09:21:00,Travel,8.1,2025.0,0.0,True
PE-000056,ENG-00227,CON-0060,2025-04-12 08:53:00,Review,2.5,375.0,5.2,True
PE-000057,ENG-00621,CON-0106,2025-01-24 18:57:00,Workshop,9.9,1485.0,45.8,False
PE-000058,ENG-00565,CON-0084,2025-05-15 17:41:00,Travel,3.5,437.5,16.1,False
PE-000059,ENG-00258,CON-0172,2025-02-20 14:30:00,Travel,2.9,290.0,89.0,False
PE-000060,ENG-00024,CON-0002,2025-03-20 10:53:00,Travel,7.4,925.0,34.9,False
PE-000061,ENG-00613,CON-0138,2025-03-28 10:39:00,Workshop,2.5,375.0,20.3,False
PE-000062,ENG-00982,CON-0012,2025-05-16 14:15:00,Review,9.6,1800.0,74.9,False
PE-000063,ENG-00912,CON-0134,2025-02-08 19:25:00,Travel,4.9,490.0,93.0,False
PE-000064,ENG-00391,CON-0074,2025-05-20 11:33:00,Analysis,9.8,1837.5,64.9,False
PE-000065,ENG-00582,CON-0066,2025-05-13 14:19:00,Delivery,5.7,1425.0,25.1,False
PE-000066,ENG-00715,CON-0082,2025-06-06 19:17:00,Delivery,3.4,425.0,59.2,False
PE-000067,ENG-00642,CON-0103,2025-01-09 19:32:00,Documentation,8.7,1631.25,8.0,True
PE-000068,ENG-00386,CON-0044,2025-04-02 12:44:00,Review,6.7,1675.0,45.4,False
PE-000069,ENG-00357,CON-0135,2025-03-12 10:00:00,Workshop,8.6,2150.0,49.0,False
PE-000070,ENG-00365,CON-0131,2025-02-26 09:26:00,Review,10.0,1875.0,22.2,False
PE-000071,ENG-00102,CON-0090,2025-03-17 17:37:00,Stakeholder Meeting,5.9,1106.25,12.6,False
PE-000072,ENG-00433,CON-0096,2025-02-26 15:13:00,Analysis,6.3,945.0,3.1,True
PE-000073,ENG-00257,CON-0142,2025-05-26 12:55:00,Analysis,8.5,850.0,66.9,False
PE-000074,ENG-00919,CON-0012,2025-04-02 14:51:00,Delivery,9.6,1440.0,12.5,False
PE-000075,ENG-00045,CON-0126,2025-03-25 11:52:00,Review,6.2,930.0,48.1,False
PE-000076,ENG-00417,CON-0142,2025-03-02 09:47:00,Workshop,2.9,290.0,5.6,True
PE-000077,ENG-00547,CON-0156,2025-04-25 13:33:00,Review,7.2,1350.0,47.8,False
PE-000078,ENG-00399,CON-0195,2025-03-08 12:51:00,Travel,0.7,131.25,44.5,False
PE-000079,ENG-00178,CON-0035,2025-05-15 17:27:00,Documentation,1.3,195.0,83.6,False
PE-000080,ENG-00568,CON-0055,2025-02-22 08:20:00,Review,6.7,837.5,8.2,True
PE-000081,ENG-00886,CON-0129,2025-01-05 15:14:00,Documentation,2.3,287.5,44.9,False
PE-000082,ENG-00909,CON-0023,2025-06-02 16:38:00,Stakeholder Meeting,1.1,110.0,34.7,False
PE-000083,ENG-00949,CON-0035,2025-02-03 08:44:00,Documentation,7.4,1387.5,48.1,False
PE-000084,ENG-00343,CON-0088,2025-06-16 14:06:00,Travel,0.8,150.0,41.5,False
PE-000085,ENG-00432,CON-0027,2025-01-20 15:28:00,Workshop,4.7,705.0,76.9,False
PE-000086,ENG-00857,CON-0035,2025-03-11 11:47:00,Workshop,1.6,400.0,87.4,False
PE-000087,ENG-00067,CON-0017,2025-06-23 15:55:00,Workshop,2.1,525.0,57.4,False
PE-000088,ENG-00387,CON-0110,2025-04-17 13:17:00,Review,2.7,675.0,55.0,False
PE-000089,ENG-00728,CON-0098,2025-04-16 11:44:00,Workshop,2.2,550.0,98.0,False
PE-000090,ENG-00602,CON-0146,2025-03-16 15:44:00,Delivery,2.1,262.5,52.8,False
PE-000091,ENG-00058,CON-0198,2025-02-25 16:01:00,Documentation,6.6,1237.5,46.8,False
PE-000092,ENG-00291,CON-0043,2025-01-14 08:54:00,Delivery,0.6,75.0,35.1,False
PE-000093,ENG-00062,CON-0168,2025-03-27 13:43:00,Review,4.3,1075.0,72.7,False
PE-000094,ENG-00496,CON-0112,2025-03-14 10:21:00,Analysis,7.3,730.0,20.1,False
PE-000095,ENG-00721,CON-0076,2025-05-20 18:22:00,Workshop,8.8,1650.0,0.0,True
PE-000096,ENG-00242,CON-0048,2025-06-01 10:57:00,Analysis,0.9,225.0,17.1,False
PE-000097,ENG-00286,CON-0026,2025-04-15 09:07:00,Documentation,5.9,885.0,37.8,False
PE-000098,ENG-00169,CON-0137,2025-06-02 16:49:00,Review,2.5,312.5,25.0,False
PE-000099,ENG-00629,CON-0147,2025-02-07 12:27:00,Stakeholder Meeting,2.4,300.0,49.5,False
PE-000100,ENG-00846,CON-0163,2025-04-18 09:01:00,Workshop,9.8,1470.0,30.2,False
PE-000101,ENG-00279,CON-0164,2025-01-30 17:41:00,Review,4.5,1125.0,44.1,False
PE-000102,ENG-00479,CON-0077,2025-06-15 13:05:00,Delivery,7.3,1825.0,53.1,False
PE-000103,ENG-00788,CON-0196,2025-03-11 09:44:00,Travel,0.9,112.5,46.1,False
PE-000104,ENG-00582,CON-0002,2025-02-08 16:02:00,Review,5.3,795.0,9.7,True
PE-000105,ENG-00559,CON-0077,2025-01-02 15:51:00,Workshop,1.9,356.25,31.4,False
PE-000106,ENG-00831,CON-0133,2025-06-02 11:04:00,Analysis,2.0,250.0,0.0,True
PE-000107,ENG-00904,CON-0157,2025-03-24 15:24:00,Review,3.7,555.0,63.8,False
PE-000108,ENG-00141,CON-0071,2025-03-09 11:20:00,Stakeholder Meeting,9.3,1395.0,100.0,False
PE-000109,ENG-00696,CON-0145,2025-05-11 14:22:00,Documentation,2.7,405.0,20.2,False
PE-000110,ENG-00925,CON-0071,2025-05-26 16:23:00,Delivery,8.8,880.0,87.5,False
PE-000111,ENG-00057,CON-0037,2025-02-23 16:46:00,Review,3.8,950.0,2.0,True
PE-000112,ENG-00620,CON-0144,2025-04-29 09:37:00,Analysis,1.6,300.0,29.7,False
PE-000113,ENG-00314,CON-0011,2025-01-22 16:04:00,Analysis,5.9,1106.25,37.8,False
PE-000114,ENG-00753,CON-0087,2025-01-07 18:43:00,Travel,6.3,1575.0,61.0,False
PE-000115,ENG-00051,CON-0196,2025-05-30 16:05:00,Review,6.7,670.0,8.9,True
PE-000116,ENG-00477,CON-0143,2025-05-09 14:59:00,Delivery,9.9,2475.0,28.7,False
PE-000117,ENG-00221,CON-0126,2025-02-03 18:38:00,Stakeholder Meeting,8.3,830.0,2.2,True
PE-000118,ENG-00860,CON-0087,2025-03-26 15:15:00,Delivery,7.6,1900.0,57.7,False
PE-000119,ENG-00997,CON-0039,2025-05-05 13:54:00,Documentation,6.4,640.0,21.8,False
PE-000120,ENG-00778,CON-0178,2025-06-17 14:38:00,Stakeholder Meeting,5.5,687.5,6.9,True
PE-000121,ENG-00404,CON-0034,2025-06-29 12:22:00,Travel,6.4,1200.0,55.4,False
PE-000122,ENG-00591,CON-0087,2025-03-08 19:19:00,Delivery,2.8,280.0,36.8,False
PE-000123,ENG-00006,CON-0004,2025-05-06 18:04:00,Workshop,3.0,300.0,49.8,False
PE-000124,ENG-00577,CON-0177,2025-01-18 08:07:00,Analysis,3.1,581.25,21.3,False
PE-000125,ENG-00386,CON-0099,2025-01-13 17:18:00,Review,8.8,2200.0,53.6,False
PE-000126,ENG-00858,CON-0074,2025-05-01 17:05:00,Delivery,7.3,1368.75,32.2,False
PE-000127,ENG-00388,CON-0031,2025-01-14 16:50:00,Review,3.6,540.0,35.6,False
PE-000128,ENG-00336,CON-0023,2025-06-17 13:05:00,Delivery,6.9,1035.0,0.0,True
PE-000129,ENG-00003,CON-0078,2025-02-12 09:28:00,Analysis,5.8,870.0,53.7,False
PE-000130,ENG-00139,CON-0192,2025-04-04 08:22:00,Review,7.3,1825.0,40.0,False
PE-000131,ENG-00447,CON-0157,2025-06-23 13:11:00,Documentation,3.4,850.0,36.3,False
PE-000132,ENG-00308,CON-0001,2025-01-14 09:45:00,Stakeholder Meeting,8.5,1593.75,50.9,False
PE-000133,ENG-00175,CON-0037,2025-03-19 19:49:00,Analysis,1.7,425.0,4.1,True
PE-000134,ENG-00145,CON-0043,2025-02-25 14:33:00,Delivery,6.0,750.0,17.8,False
PE-000135,ENG-00044,CON-0082,2025-06-23 19:12:00,Documentation,8.9,2225.0,0.0,True
PE-000136,ENG-00689,CON-0179,2025-05-04 08:29:00,Documentation,3.7,925.0,0.0,True
PE-000137,ENG-00028,CON-0005,2025-01-07 13:08:00,Delivery,7.7,1925.0,59.3,False
PE-000138,ENG-00723,CON-0093,2025-03-11 11:21:00,Travel,7.7,962.5,72.4,False
PE-000139,ENG-00609,CON-0051,2025-04-13 15:04:00,Review,0.9,225.0,74.7,False
PE-000140,ENG-00642,CON-0162,2025-01-23 08:24:00,Documentation,5.4,675.0,72.4,False
PE-000141,ENG-00870,CON-0150,2025-05-18 15:43:00,Stakeholder Meeting,6.5,812.5,76.4,False
PE-000142,ENG-00615,CON-0155,2025-02-13 11:41:00,Stakeholder Meeting,0.8,80.0,39.7,False
PE-000143,ENG-00779,CON-0161,2025-04-20 18:49:00,Delivery,4.3,645.0,69.7,False
PE-000144,ENG-00977,CON-0157,2025-05-08 13:57:00,Review,0.8,80.0,80.0,False
PE-000145,ENG-00445,CON-0055,2025-01-05 12:39:00,Review,9.4,1410.0,54.5,False
PE-000146,ENG-00781,CON-0183,2025-03-02 19:40:00,Delivery,2.3,345.0,74.5,False
PE-000147,ENG-00761,CON-0149,2025-03-06 18:08:00,Analysis,5.7,855.0,10.5,False
PE-000148,ENG-00146,CON-0084,2025-01-19 10:46:00,Review,4.0,1000.0,30.6,False
PE-000149,ENG-00766,CON-0068,2025-06-02 13:52:00,Review,2.8,700.0,53.9,False
PE-000150,ENG-00081,CON-0177,2025-02-17 08:04:00,Workshop,6.3,945.0,35.4,False
PE-000151,ENG-00412,CON-0040,2025-03-28 16:39:00,Analysis,6.9,1035.0,43.2,False
PE-000152,ENG-00243,CON-0131,2025-03-12 17:17:00,Review,5.0,500.0,23.7,False
PE-000153,ENG-00422,CON-0032,2025-06-25 09:36:00,Workshop,8.9,1112.5,43.9,False
PE-000154,ENG-00130,CON-0196,2025-04-18 14:10:00,Delivery,8.9,2225.0,58.7,False
PE-000155,ENG-00082,CON-0126,2025-04-06 13:51:00,Documentation,6.7,1256.25,58.5,False
PE-000156,ENG-00643,CON-0082,2025-04-24 11:37:00,Analysis,9.1,1365.0,3.8,True
PE-000157,ENG-00324,CON-0027,2025-02-09 14:32:00,Analysis,7.7,1925.0,45.8,False
PE-000158,ENG-00727,CON-0043,2025-01-08 17:54:00,Travel,8.1,1215.0,54.0,False
PE-000159,ENG-00899,CON-0048,2025-06-28 13:02:00,Workshop,4.5,675.0,20.2,False
PE-000160,ENG-00274,CON-0133,2025-03-27 15:16:00,Travel,4.0,1000.0,38.7,False
PE-000161,ENG-00790,CON-0049,2025-02-03 09:14:00,Stakeholder Meeting,1.4,210.0,14.6,False
PE-000162,ENG-00506,CON-0124,2025-02-19 10:54:00,Delivery,8.6,860.0,61.0,False
PE-000163,ENG-00068,CON-0095,2025-05-27 17:29:00,Stakeholder Meeting,2.9,543.75,61.7,False
PE-000164,ENG-00254,CON-0118,2025-05-30 18:28:00,Stakeholder Meeting,1.1,275.0,56.8,False
PE-000165,ENG-00298,CON-0181,2025-01-24 17:46:00,Documentation,5.2,650.0,26.2,False
PE-000166,ENG-00788,CON-0019,2025-04-05 16:37:00,Review,1.9,356.25,28.8,False
PE-000167,ENG-00859,CON-0109,2025-01-16 16:52:00,Review,4.7,470.0,32.0,False
PE-000168,ENG-00178,CON-0121,2025-05-17 12:29:00,Analysis,8.7,2175.0,34.4,False
PE-000169,ENG-00331,CON-0154,2025-05-31 12:55:00,Delivery,7.3,912.5,50.2,False
PE-000170,ENG-00628,CON-0077,2025-02-01 09:21:00,Review,3.7,462.5,10.6,False
PE-000171,ENG-00453,CON-0050,2025-03-18 19:53:00,Documentation,2.7,405.0,92.8,False
PE-000172,ENG-00777,CON-0124,2025-03-17 08:29:00,Workshop,0.8,120.0,21.6,False
PE-000173,ENG-00609,CON-0048,2025-05-10 13:17:00,Workshop,1.9,356.25,77.1,False
PE-000174,ENG-00180,CON-0194,2025-01-21 14:59:00,Analysis,5.2,650.0,19.1,False
PE-000175,ENG-00819,CON-0149,2025-01-12 11:17:00,Delivery,6.6,825.0,19.0,False
PE-000176,ENG-00286,CON-0195,2025-04-15 10:19:00,Review,9.5,950.0,38.1,False
PE-000177,ENG-00400,CON-0200,2025-05-05 18:16:00,Documentation,6.4,960.0,86.8,False
PE-000178,ENG-00343,CON-0021,2025-02-16 12:07:00,Analysis,9.2,1380.0,31.5,False
PE-000179,ENG-00285,CON-0024,2025-02-19 13:29:00,Documentation,6.8,1275.0,14.0,False
PE-000180,ENG-00131,CON-0136,2025-03-07 10:49:00,Travel,9.5,1781.25,0.0,True
PE-000181,ENG-00993,CON-0183,2025-01-28 15:28:00,Documentation,3.5,437.5,90.8,False
PE-000182,ENG-00123,CON-0027,2025-03-25 12:46:00,Travel,6.7,1675.0,53.5,False
PE-000183,ENG-00066,CON-0177,2025-05-28 15:08:00,Delivery,6.8,1700.0,40.3,False
PE-000184,ENG-00692,CON-0091,2025-06-27 18:06:00,Workshop,2.2,220.0,50.0,False
PE-000185,ENG-00808,CON-0163,2025-03-31 15:14:00,Analysis,1.8,270.0,4.6,True
PE-000186,ENG-00394,CON-0087,2025-05-23 18:53:00,Documentation,9.0,1687.5,1.9,True
PE-000187,ENG-00106,CON-0183,2025-06-27 08:25:00,Stakeholder Meeting,2.7,506.25,36.1,False
PE-000188,ENG-00766,CON-0103,2025-04-10 13:02:00,Stakeholder Meeting,8.6,1290.0,46.3,False
PE-000189,ENG-00357,CON-0158,2025-04-20 19:22:00,Delivery,2.6,650.0,26.8,False
PE-000190,ENG-00482,CON-0001,2025-01-04 15:44:00,Analysis,4.8,480.0,59.5,False
PE-000191,ENG-00871,CON-0014,2025-02-25 13:35:00,Analysis,6.2,1162.5,6.3,True
PE-000192,ENG-00539,CON-0122,2025-03-19 13:08:00,Delivery,1.4,350.0,0.0,True
PE-000193,ENG-00410,CON-0144,2025-06-07 08:31:00,Stakeholder Meeting,1.8,450.0,21.5,False
PE-000194,ENG-00764,CON-0179,2025-03-17 12:27:00,Stakeholder Meeting,6.2,775.0,100.0,False
PE-000195,ENG-00364,CON-0031,2025-02-03 10:59:00,Review,1.6,300.0,61.7,False
PE-000196,ENG-00903,CON-0094,2025-05-25 11:44:00,Review,6.6,1650.0,55.8,False
PE-000197,ENG-00271,CON-0026,2025-03-20 19:17:00,Delivery,7.8,975.0,7.7,True
PE-000198,ENG-00318,CON-0155,2025-02-10 13:16:00,Stakeholder Meeting,7.0,875.0,40.8,False
PE-000199,ENG-00832,CON-0182,2025-05-24 08:43:00,Stakeholder Meeting,3.6,900.0,85.2,False
PE-000200,ENG-00464,CON-0132,2025-03-20 09:24:00,Delivery,2.8,280.0,73.6,False
PE-000201,ENG-00945,CON-0041,2025-04-08 14:19:00,Documentation,7.7,962.5,36.2,False
PE-000202,ENG-00150,CON-0077,2025-02-01 14:20:00,Workshop,6.8,850.0,14.0,False
PE-000203,ENG-00705,CON-0091,2025-05-25 15:40:00,Travel,3.4,850.0,59.5,False
PE-000204,ENG-00888,CON-0022,2025-03-15 08:07:00,Delivery,0.6,90.0,72.9,False
PE-000205,ENG-00903,CON-0046,2025-01-22 18:04:00,Delivery,4.5,675.0,25.3,False
PE-000206,ENG-00670,CON-0075,2025-01-26 08:52:00,Workshop,0.6,90.0,37.2,False
PE-000207,ENG-00928,CON-0107,2025-03-19 19:24:00,Delivery,8.4,1575.0,76.9,False
PE-000208,ENG-00477,CON-0088,2025-06-27 19:39:00,Stakeholder Meeting,8.7,1631.25,0.0,True
PE-000209,ENG-00093,CON-0194,2025-02-14 10:06:00,Review,9.7,970.0,10.8,False
PE-000210,ENG-00215,CON-0198,2025-02-23 19:10:00,Delivery,3.2,400.0,60.9,False
PE-000211,ENG-00856,CON-0016,2025-01-22 08:31:00,Documentation,1.5,281.25,0.0,True
PE-000212,ENG-00271,CON-0056,2025-01-29 08:20:00,Delivery,2.5,250.0,89.3,False
PE-000213,ENG-00167,CON-0098,2025-02-04 13:16:00,Workshop,8.2,1025.0,58.3,False
PE-000214,ENG-00816,CON-0111,2025-04-10 17:27:00,Stakeholder Meeting,6.6,660.0,0.0,True
PE-000215,ENG-00747,CON-0167,2025-01-12 15:46:00,Workshop,7.7,770.0,91.0,False
PE-000216,ENG-00864,CON-0138,2025-03-19 09:55:00,Stakeholder Meeting,1.2,150.0,0.0,True
PE-000217,ENG-00081,CON-0097,2025-02-10 15:43:00,Delivery,2.8,525.0,39.5,False
PE-000218,ENG-00029,CON-0003,2025-02-23 17:44:00,Documentation,1.1,206.25,59.3,False
PE-000219,ENG-00591,CON-0156,2025-02-16 13:37:00,Stakeholder Meeting,5.8,580.0,24.1,False
PE-000220,ENG-00158,CON-0133,2025-03-18 19:01:00,Workshop,8.3,1245.0,61.6,False
PE-000221,ENG-00748,CON-0139,2025-05-11 15:51:00,Review,2.9,362.5,67.5,False
PE-000222,ENG-00028,CON-0165,2025-01-29 18:11:00,Review,0.8,150.0,100.0,False
PE-000223,ENG-00958,CON-0066,2025-05-20 19:42:00,Analysis,2.8,280.0,55.0,False
PE-000224,ENG-00366,CON-0150,2025-05-04 13:32:00,Delivery,0.6,75.0,42.1,False
PE-000225,ENG-00049,CON-0034,2025-02-05 15:28:00,Analysis,9.2,920.0,0.0,True
PE-000226,ENG-00327,CON-0069,2025-05-17 14:28:00,Stakeholder Meeting,6.3,1575.0,51.5,False
PE-000227,ENG-00442,CON-0154,2025-06-06 19:36:00,Analysis,2.2,412.5,0.0,True
PE-000228,ENG-00192,CON-0168,2025-03-02 12:39:00,Delivery,5.8,580.0,53.9,False
PE-000229,ENG-00327,CON-0008,2025-04-13 14:04:00,Workshop,2.9,435.0,47.7,False
PE-000230,ENG-00078,CON-0096,2025-06-17 15:16:00,Documentation,7.7,1925.0,48.4,False
PE-000231,ENG-00747,CON-0098,2025-04-22 10:22:00,Travel,4.3,1075.0,70.7,False
PE-000232,ENG-00122,CON-0179,2025-01-26 14:36:00,Workshop,1.4,350.0,15.0,False
PE-000233,ENG-00583,CON-0068,2025-03-12 19:18:00,Review,9.7,970.0,21.8,False
PE-000234,ENG-00278,CON-0119,2025-02-22 16:02:00,Analysis,4.1,1025.0,10.5,False
PE-000235,ENG-00124,CON-0172,2025-05-24 17:21:00,Delivery,5.6,840.0,16.7,False
PE-000236,ENG-00454,CON-0072,2025-06-20 19:50:00,Travel,3.1,581.25,0.0,True
PE-000237,ENG-00165,CON-0031,2025-02-24 08:57:00,Workshop,3.3,495.0,41.8,False
PE-000238,ENG-00069,CON-0175,2025-03-02 16:01:00,Review,9.7,2425.0,76.4,False
PE-000239,ENG-00086,CON-0075,2025-06-26 17:29:00,Review,5.3,1325.0,73.8,False
PE-000240,ENG-00017,CON-0138,2025-02-27 14:40:00,Analysis,7.1,1065.0,96.9,False
PE-000241,ENG-00704,CON-0168,2025-06-19 18:37:00,Delivery,0.8,80.0,41.1,False
PE-000242,ENG-00960,CON-0131,2025-04-21 17:03:00,Delivery,0.9,168.75,57.8,False
PE-000243,ENG-00261,CON-0056,2025-04-11 15:29:00,Documentation,9.2,1725.0,49.0,False
PE-000244,ENG-00316,CON-0015,2025-02-23 15:01:00,Stakeholder Meeting,1.9,356.25,57.2,False
PE-000245,ENG-00849,CON-0168,2025-02-11 12:00:00,Delivery,3.3,412.5,50.1,False
PE-000246,ENG-00042,CON-0087,2025-06-21 10:17:00,Review,5.2,780.0,0.0,True
PE-000247,ENG-00373,CON-0007,2025-06-16 16:55:00,Review,8.9,890.0,22.0,False
PE-000248,ENG-00442,CON-0002,2025-05-28 15:08:00,Analysis,3.0,375.0,94.3,False
PE-000249,ENG-00723,CON-0035,2025-05-09 11:23:00,Travel,9.2,2300.0,53.9,False
PE-000250,ENG-00982,CON-0199,2025-03-02 14:56:00,Delivery,5.0,937.5,66.8,False
PE-000251,ENG-00624,CON-0118,2025-03-01 12:43:00,Stakeholder Meeting,6.5,1625.0,0.0,True
PE-000252,ENG-00654,CON-0036,2025-03-07 13:27:00,Stakeholder Meeting,9.6,2400.0,6.7,True
PE-000253,ENG-00306,CON-0073,2025-01-14 19:08:00,Analysis,2.1,393.75,83.5,False
PE-000254,ENG-00521,CON-0058,2025-02-07 13:10:00,Stakeholder Meeting,4.0,1000.0,71.0,False
PE-000255,ENG-00222,CON-0062,2025-02-18 11:01:00,Review,6.5,812.5,13.6,False
PE-000256,ENG-00512,CON-0062,2025-02-17 19:48:00,Documentation,9.1,1137.5,100.0,False
PE-000257,ENG-00167,CON-0051,2025-06-29 16:53:00,Travel,5.7,1068.75,84.0,False
PE-000258,ENG-00393,CON-0110,2025-05-17 19:14:00,Analysis,4.0,750.0,16.1,False
PE-000259,ENG-00981,CON-0044,2025-05-25 15:24:00,Delivery,2.9,362.5,46.1,False
PE-000260,ENG-00615,CON-0012,2025-03-23 16:23:00,Travel,4.1,615.0,49.8,False
PE-000261,ENG-00007,CON-0071,2025-04-26 10:38:00,Stakeholder Meeting,9.8,980.0,39.4,False
PE-000262,ENG-00402,CON-0098,2025-03-17 16:35:00,Documentation,8.5,1275.0,8.5,True
PE-000263,ENG-00751,CON-0157,2025-05-11 14:22:00,Documentation,8.6,1612.5,82.1,False
PE-000264,ENG-00633,CON-0184,2025-06-19 15:00:00,Analysis,2.5,625.0,46.8,False
PE-000265,ENG-00367,CON-0164,2025-03-08 08:08:00,Delivery,8.9,1668.75,57.3,False
PE-000266,ENG-00111,CON-0134,2025-05-31 11:04:00,Travel,1.4,262.5,63.5,False
PE-000267,ENG-00455,CON-0042,2025-01-13 13:42:00,Workshop,8.3,1037.5,44.9,False
PE-000268,ENG-00015,CON-0180,2025-03-31 16:29:00,Stakeholder Meeting,5.7,1425.0,54.5,False
