timesheet_id,consultant_id,engagement_id,week_starting,task_type,hours_logged,is_billable,daily_rate_gbp,billed_value_gbp
TS-0000106,CON-0066,ENG-00682,2025-01-29,Admin,6.87,0,2880,0
TS-0000107,CON-0171,ENG-00140,2025-02-26,Business Development,5.17,0,1240,0
TS-0000108,CON-0178,ENG-00341,2024-10-09,Admin,7.78,0,2843,0
TS-0000109,CON-0154,ENG-00067,2024-11-27,Client Work,7.32,0,447,0
TS-0000110,CON-0189,ENG-00743,2024-12-18,Business Development,7.96,0,2835,0
TS-0000111,CON-0112,ENG-00828,2024-10-09,Client Work,1.6,1,475,95.0
TS-0000112,CON-0023,ENG-00115,2024-08-07,Client Work,6.13,1,1600,1226.0
TS-0000113,CON-0049,ENG-00763,2024-08-21,Client Work,1.71,1,852,182.12
TS-0000114,CON-0081,ENG-00977,2024-12-18,Client Work,0.52,1,1577,102.51
TS-0000115,CON-0016,ENG-00605,2025-02-26,Client Work,4.19,1,959,502.28
TS-0000116,CON-0109,ENG-00328,2024-12-11,Internal,9.37,0,718,0
TS-0000117,CON-0033,ENG-00533,2025-03-26,Client Work,1.51,1,997,188.18
TS-0000118,CON-0003,ENG-00552,2025-01-22,Client Work,8.25,1,743,766.22
TS-0000119,CON-0076,ENG-00858,2024-10-09,Client Work,4.83,1,730,440.74
TS-0000120,CON-0154,ENG-00291,2024-09-04,Business Development,8.57,0,447,0
TS-0000121,CON-0180,ENG-00036,2025-03-26,Client Work,5.27,1,945,622.52
TS-0000122,CON-0177,ENG-00127,2024-10-30,Admin,7.21,0,907,0
TS-0000123,CON-0123,ENG-00647,2024-10-02,Client Work,7.19,1,863,775.62
TS-0000124,CON-0097,ENG-00061,2024-11-27,Client Work,7.31,1,1214,1109.29
TS-0000125,CON-0188,ENG-00957,2024-10-09,Business Development,1.0,0,716,0
TS-0000126,CON-0199,ENG-00184,2025-02-05,Business Development,3.34,0,499,0
TS-0000127,CON-0169,ENG-00935,2024-09-11,Admin,5.71,0,925,0
TS-0000128,CON-0087,ENG-00433,2025-01-29,Admin,7.7,0,738,0
TS-0000129,CON-0101,ENG-00074,2025-02-19,Business Development,3.18,0,379,0
TS-0000130,CON-0050,ENG-00718,2025-03-05,Client Work,1.74,1,2804,609.87
TS-0000131,CON-0193,ENG-00811,2025-03-19,Training,1.01,0,410,0
TS-0000132,CON-0182,ENG-00312,2025-01-22,Business Development,5.98,0,2054,0
TS-0000133,CON-0114,ENG-00713,2025-01-29,Client Work,1.88,1,1298,305.03
TS-0000134,CON-0056,ENG-00824,2024-09-25,Business Development,0.59,0,420,0
TS-0000135,CON-0186,ENG-00877,2025-03-12,Client Work,7.96,0,463,0
TS-0000136,CON-0038,ENG-00386,2025-01-08,Business Development,2.1,0,740,0
TS-0000137,CON-0015,ENG-00099,2024-12-04,Admin,2.21,0,1586,0
TS-0000138,CON-0014,ENG-00121,2025-02-12,Business Development,6.14,0,2030,0
TS-0000139,CON-0039,ENG-00643,2024-12-25,Client Work,1.63,1,1610,328.04
TS-0000140,CON-0102,ENG-00501,2024-11-13,Business Development,9.57,0,497,0
TS-0000141,CON-0168,ENG-00764,2024-12-18,Internal,9.92,0,948,0
TS-0000142,CON-0172,ENG-00675,2024-08-07,Internal,8.72,0,1185,0
TS-0000143,CON-0167,ENG-00392,2024-10-30,Business Development,4.73,0,676,0
TS-0000144,CON-0003,ENG-00123,2024-08-21,Client Work,5.15,1,743,478.31
TS-0000145,CON-0172,ENG-00931,2025-02-12,Client Work,6.08,1,1185,900.6
TS-0000146,CON-0147,ENG-00492,2024-10-30,Business Development,1.4,0,924,0
TS-0000147,CON-0152,ENG-00186,2024-12-18,Client Work,6.62,1,739,611.52
TS-0000148,CON-0112,ENG-00306,2025-03-12,Client Work,3.59,1,475,213.16
TS-0000149,CON-0183,ENG-00931,2025-02-26,Client Work,8.22,0,624,0
TS-0000150,CON-0006,ENG-00404,2025-03-05,Internal,7.94,0,441,0
TS-0000151,CON-0136,ENG-00501,2024-07-31,Client Work,6.05,0,747,0
TS-0000152,CON-0183,ENG-00839,2024-08-21,Internal,2.47,0,624,0
TS-0000153,CON-0169,ENG-00920,2024-08-21,Client Work,6.19,0,925,0
TS-0000154,CON-0047,ENG-00006,2025-03-05,Client Work,3.49,0,733,0
TS-0000155,CON-0011,ENG-00132,2025-03-12,Client Work,2.03,1,912,231.42
TS-0000156,CON-0144,ENG-00263,2024-07-17,Client Work,1.68,0,673,0
TS-0000157,CON-0077,ENG-00373,2025-02-26,Client Work,9.78,1,1235,1509.79
TS-0000158,CON-0169,ENG-00001,2024-10-16,Client Work,9.49,0,925,0
TS-0000159,CON-0133,ENG-00927,2024-11-06,Business Development,4.73,0,923,0
TS-0000160,CON-0148,ENG-00503,2024-11-20,Client Work,9.87,1,1666,2055.43
TS-0000161,CON-0091,ENG-00621,2025-02-26,Client Work,7.04,1,707,622.16
TS-0000162,CON-0170,ENG-00840,2024-07-17,Client Work,2.29,1,612,175.19
TS-0000163,CON-0077,ENG-00877,2024-10-02,Admin,6.22,0,1235,0
TS-0000164,CON-0056,ENG-00606,2024-12-04,Client Work,7.43,1,420,390.07
TS-0000165,CON-0109,ENG-00077,2025-03-05,Client Work,4.13,1,718,370.67
TS-0000166,CON-0042,ENG-00410,2025-01-22,Client Work,2.91,1,1198,435.77
TS-0000167,CON-0109,ENG-00963,2024-09-04,Client Work,1.17,1,718,105.01
TS-0000168,CON-0188,ENG-00276,2024-09-25,Business Development,5.85,0,716,0
TS-0000169,CON-0166,ENG-00841,2025-02-12,Business Development,4.49,0,1223,0
TS-0000170,CON-0040,ENG-00324,2025-01-08,Client Work,9.66,1,642,775.22
TS-0000171,CON-0064,ENG-00080,2024-10-30,Client Work,1.54,1,689,132.63
TS-0000172,CON-0141,ENG-00417,2024-07-31,Client Work,1.35,1,414,69.86
TS-0000173,CON-0086,ENG-00797,2024-10-30,Client Work,8.08,1,1211,1223.11
TS-0000174,CON-0071,ENG-00011,2024-08-14,Client Work,9.7,1,684,829.35
TS-0000175,CON-0097,ENG-00975,2024-08-14,Internal,1.67,0,1214,0
TS-0000176,CON-0135,ENG-00746,2024-11-13,Client Work,8.16,1,432,440.64
TS-0000177,CON-0025,ENG-00542,2024-12-04,Business Development,8.72,0,428,0
TS-0000178,CON-0142,ENG-00278,2025-03-26,Client Work,0.96,1,1688,202.56
TS-0000179,CON-0082,ENG-00970,2024-12-18,Client Work,8.16,1,1668,1701.36
TS-0000180,CON-0174,ENG-00992,2025-02-26,Client Work,8.88,1,2056,2282.16
TS-0000181,CON-0104,ENG-00489,2025-03-19,Client Work,0.59,1,380,28.02
TS-0000182,CON-0132,ENG-00731,2024-09-04,Business Development,1.86,0,1968,0
TS-0000183,CON-0146,ENG-00754,2024-10-30,Client Work,7.39,1,407,375.97
TS-0000184,CON-0095,ENG-00725,2024-10-16,Business Development,4.47,0,468,0
TS-0000185,CON-0118,ENG-00188,2025-01-15,Admin,8.09,0,1222,0
TS-0000186,CON-0129,ENG-00294,2024-10-30,Admin,5.45,0,1158,0
TS-0000187,CON-0184,ENG-00903,2024-10-09,Client Work,8.65,1,738,797.96
TS-0000188,CON-0079,ENG-00417,2024-11-20,Internal,6.53,0,2768,0
TS-0000189,CON-0020,ENG-00748,2024-10-16,Admin,2.07,0,1287,0
TS-0000190,CON-0015,ENG-00087,2024-11-06,Client Work,5.18,1,1586,1026.93
TS-0000191,CON-0003,ENG-00986,2025-01-08,Business Development,9.36,0,743,0
TS-0000192,CON-0035,ENG-00492,2025-02-05,Client Work,9.98,1,613,764.72
TS-0000193,CON-0137,ENG-00715,2024-08-21,Client Work,6.35,1,894,709.61
TS-0000194,CON-0191,ENG-00008,2025-01-08,Business Development,7.62,0,600,0
TS-0000195,CON-0063,ENG-00757,2025-02-19,Business Development,0.9,0,627,0
TS-0000196,CON-0115,ENG-00988,2024-09-11,Business Development,8.88,0,684,0
TS-0000197,CON-0135,ENG-00926,2024-10-09,Client Work,3.99,1,432,215.46
TS-0000198,CON-0035,ENG-00527,2024-12-04,Admin,4.52,0,613,0
TS-0000199,CON-0098,ENG-00175,2024-12-11,Admin,3.71,0,367,0
TS-0000200,CON-0174,ENG-00256,2025-02-26,Training,8.65,0,2056,0
TS-0000201,CON-0075,ENG-00307,2025-01-29,Client Work,2.52,1,748,235.62
TS-0000202,CON-0189,ENG-00647,2025-03-12,Client Work,9.27,0,2835,0
TS-0000203,CON-0165,ENG-00528,2024-07-17,Admin,8.98,0,2068,0
TS-0000204,CON-0125,ENG-00059,2024-12-04,Client Work,4.87,1,983,598.4
TS-0000205,CON-0077,ENG-00363,2024-08-14,Client Work,8.96,1,1235,1383.2
TS-0000206,CON-0048,ENG-00412,2024-12-04,Client Work,4.59,1,1217,698.25
TS-0000207,CON-0051,ENG-00087,2025-02-19,Client Work,1.96,1,1622,397.39
TS-0000208,CON-0032,ENG-00936,2025-02-05,Client Work,7.81,1,1610,1571.76
TS-0000209,CON-0065,ENG-00232,2025-01-29,Client Work,3.34,1,702,293.08
TS-0000210,CON-0110,ENG-00914,2024-09-18,Client Work,3.06,1,683,261.25
TS-0000211,CON-0113,ENG-00673,2025-01-15,Client Work,3.86,1,854,412.06
TS-0000212,CON-0112,ENG-00006,2024-12-04,Training,7.24,0,475,0
TS-0000213,CON-0029,ENG-00195,2024-11-06,Client Work,4.25,0,1245,0
TS-0000214,CON-0191,ENG-00340,2024-07-17,Client Work,2.39,0,600,0
TS-0000215,CON-0123,ENG-00983,2024-10-30,Client Work,5.15,1,863,555.56
TS-0000216,CON-0127,ENG-00820,2024-08-28,Client Work,7.76,1,2803,2718.91
TS-0000217,CON-0103,ENG-00514,2024-12-18,Client Work,9.6,1,619,742.8
TS-0000218,CON-0006,ENG-00130,2024-09-04,Client Work,0.63,1,441,34.73
TS-0000219,CON-0176,ENG-00243,2024-07-24,Business Development,3.75,0,2025,0
TS-0000220,CON-0153,ENG-00756,2024-07-03,Client Work,3.25,1,1696,689.0
TS-0000221,CON-0125,ENG-00085,2025-01-08,Client Work,1.95,1,983,239.61
TS-0000222,CON-0131,ENG-00192,2024-10-16,Client Work,1.59,1,1179,234.33
TS-0000223,CON-0068,ENG-00718,2024-10-16,Business Development,4.58,0,438,0
TS-0000224,CON-0122,ENG-00724,2024-08-14,Business Development,5.27,0,472,0
TS-0000225,CON-0047,ENG-00194,2025-03-19,Business Development,1.91,0,733,0
TS-0000226,CON-0031,ENG-00136,2024-12-25,Client Work,9.91,1,865,1071.52
TS-0000227,CON-0038,ENG-00437,2024-07-10,Business Development,1.36,0,740,0
TS-0000228,CON-0014,ENG-00390,2025-01-01,Client Work,7.15,1,2030,1814.31
TS-0000229,CON-0060,ENG-00228,2024-11-27,Client Work,1.08,1,1613,217.76
TS-0000230,CON-0110,ENG-00660,2024-07-24,Client Work,3.06,1,683,261.25
TS-0000231,CON-0072,ENG-00966,2024-12-04,Business Development,2.85,0,1229,0
TS-0000232,CON-0013,ENG-00187,2024-07-17,Client Work,6.77,1,680,575.45
TS-0000233,CON-0083,ENG-00218,2024-11-06,Client Work,9.13,1,985,1124.13
TS-0000234,CON-0026,ENG-00442,2024-09-18,Client Work,5.17,0,2074,0
TS-0000235,CON-0086,ENG-00312,2024-08-21,Client Work,0.63,1,1211,95.37
TS-0000236,CON-0142,ENG-00789,2024-08-28,Client Work,7.54,1,1688,1590.94
TS-0000237,CON-0093,ENG-00761,2025-03-19,Client Work,4.03,1,703,354.14
TS-0000238,CON-0167,ENG-00283,2024-10-02,Client Work,1.33,0,676,0
TS-0000239,CON-0028,ENG-00134,2025-03-26,Client Work,6.07,1,1688,1280.77
TS-0000240,CON-0168,ENG-00838,2024-09-25,Client Work,4.73,1,948,560.5
TS-0000241,CON-0026,ENG-00077,2025-02-26,Business Development,3.36,0,2074,0
TS-0000242,CON-0122,ENG-00780,2024-09-25,Client Work,1.96,1,472,115.64
TS-0000243,CON-0033,ENG-00197,2025-01-01,Client Work,2.9,1,997,361.41
TS-0000244,CON-0195,ENG-00874,2025-03-05,Admin,9.0,0,981,0
TS-0000245,CON-0115,ENG-00645,2024-08-21,Training,1.14,0,684,0
TS-0000246,CON-0108,ENG-00537,2025-02-12,Internal,2.09,0,1218,0
TS-0000247,CON-0071,ENG-00714,2024-08-28,Client Work,9.58,1,684,819.09
TS-0000248,CON-0016,ENG-00814,2024-09-25,Business Development,4.28,0,959,0
TS-0000249,CON-0176,ENG-00546,2025-02-12,Admin,2.07,0,2025,0
TS-0000250,CON-0193,ENG-00522,2024-12-18,Client Work,4.21,1,410,215.76
TS-0000251,CON-0156,ENG-00279,2024-10-02,Client Work,2.02,1,1684,425.21
TS-0000252,CON-0056,ENG-00607,2024-07-03,Training,8.01,0,420,0
TS-0000253,CON-0117,ENG-00516,2025-02-19,Client Work,8.6,1,1999,2148.92
TS-0000254,CON-0076,ENG-00726,2024-10-30,Client Work,2.13,1,730,194.36
TS-0000255,CON-0012,ENG-00547,2024-10-16,Client Work,6.58,1,2892,2378.67
TS-0000256,CON-0072,ENG-00950,2024-08-28,Client Work,8.01,1,1229,1230.54
TS-0000257,CON-0165,ENG-00255,2024-10-02,Client Work,0.51,1,2068,131.84
TS-0000258,CON-0089,ENG-00648,2025-03-26,Admin,3.58,0,902,0
TS-0000259,CON-0181,ENG-00906,2025-03-05,Client Work,1.77,1,406,89.83
TS-0000260,CON-0157,ENG-00302,2024-11-20,Admin,6.45,0,619,0
TS-0000261,CON-0003,ENG-00844,2024-12-04,Client Work,9.67,1,743,898.1
TS-0000262,CON-0046,ENG-00263,2024-07-10,Client Work,9.8,1,498,610.05
TS-0000263,CON-0200,ENG-00962,2025-03-19,Client Work,7.58,1,2866,2715.53
TS-0000264,CON-0098,ENG-00969,2024-10-23,Training,6.53,0,367,0
TS-0000265,CON-0142,ENG-00212,2025-01-15,Client Work,3.05,1,1688,643.55
TS-0000266,CON-0149,ENG-00645,2024-12-25,Client Work,2.7,1,1984,669.6
TS-0000267,CON-0186,ENG-00445,2024-12-11,Client Work,5.05,0,463,0
TS-0000268,CON-0127,ENG-00186,2025-01-22,Client Work,8.69,1,2803,3044.76
TS-0000269,CON-0049,ENG-00584,2025-02-05,Admin,2.21,0,852,0
TS-0000270,CON-0073,ENG-00022,2024-11-13,Client Work,2.19,1,1199,328.23
TS-0000271,CON-0101,ENG-00704,2025-03-26,Client Work,1.86,1,379,88.12
TS-0000272,CON-0110,ENG-00252,2025-01-22,Training,9.72,0,683,0
TS-0000273,CON-0026,ENG-00742,2025-02-19,Client Work,7.63,0,2074,0
TS-0000274,CON-0004,ENG-00618,2024-08-14,Client Work,0.7,1,671,58.71
TS-0000275,CON-0004,ENG-00782,2024-07-17,Client Work,7.82,1,671,655.9
TS-0000276,CON-0069,ENG-00147,2025-03-26,Client Work,9.68,1,948,1147.08
TS-0000277,CON-0028,ENG-00556,2024-11-27,Training,1.31,0,1688,0
TS-0000278,CON-0036,ENG-00492,2025-03-12,Training,8.25,0,377,0
TS-0000279,CON-0079,ENG-00340,2025-01-29,Client Work,1.03,1,2768,356.38
TS-0000280,CON-0178,ENG-00274,2025-02-26,Client Work,8.34,1,2843,2963.83
TS-0000281,CON-0027,ENG-00558,2024-11-06,Client Work,8.92,1,1271,1417.16
TS-0000282,CON-0107,ENG-00146,2024-07-03,Training,0.73,0,1283,0
TS-0000283,CON-0110,ENG-00395,2024-09-04,Client Work,3.23,1,683,275.76
TS-0000284,CON-0176,ENG-00394,2024-08-21,Client Work,9.91,0,2025,0
TS-0000285,CON-0058,ENG-00105,2024-11-06,Client Work,6.35,1,388,307.97
TS-0000286,CON-0031,ENG-00370,2024-08-07,Training,6.24,0,865,0
TS-0000287,CON-0046,ENG-00439,2025-02-19,Client Work,2.22,1,498,138.2
TS-0000288,CON-0109,ENG-00154,2024-11-13,Business Development,3.23,0,718,0
TS-0000289,CON-0027,ENG-00278,2025-02-05,Business Development,9.36,0,1271,0
TS-0000290,CON-0183,ENG-00818,2024-07-31,Internal,8.69,0,624,0
TS-0000291,CON-0039,ENG-00797,2024-09-04,Client Work,4.21,1,1610,847.26
TS-0000292,CON-0185,ENG-00816,2025-01-29,Internal,1.58,0,1675,0
TS-0000293,CON-0110,ENG-00983,2024-10-30,Client Work,3.57,1,683,304.79
TS-0000294,CON-0033,ENG-00187,2024-12-18,Client Work,5.19,1,997,646.8
TS-0000295,CON-0124,ENG-00711,2025-01-01,Business Development,6.55,0,1980,0
TS-0000296,CON-0036,ENG-00822,2024-10-16,Client Work,5.72,1,377,269.56
TS-0000297,CON-0138,ENG-00547,2025-02-05,Client Work,8.3,1,2061,2138.29
TS-0000298,CON-0099,ENG-00086,2025-03-19,Business Development,5.51,0,1155,0
TS-0000299,CON-0199,ENG-00711,2024-10-09,Business Development,2.73,0,499,0
TS-0000300,CON-0001,ENG-00209,2024-07-10,Client Work,5.0,1,920,575.0
TS-0000301,CON-0035,ENG-00944,2024-08-21,Client Work,3.82,1,613,292.71
TS-0000302,CON-0200,ENG-00839,2024-08-28,Client Work,1.87,1,2866,669.93
TS-0000303,CON-0142,ENG-00996,2025-01-01,Client Work,8.36,1,1688,1763.96
TS-0000304,CON-0015,ENG-00765,2024-08-28,Client Work,7.11,1,1586,1409.56
TS-0000305,CON-0037,ENG-00387,2024-07-10,Business Development,4.53,0,671,0
TS-0000306,CON-0014,ENG-00719,2024-08-14,Business Development,1.2,0,2030,0
TS-0000307,CON-0153,ENG-00892,2024-09-11,Client Work,3.97,1,1696,841.64
TS-0000308,CON-0021,ENG-00251,2024-07-31,Client Work,8.4,0,466,0
TS-0000309,CON-0107,ENG-00154,2024-09-18,Client Work,1.83,1,1283,293.49
TS-0000310,CON-0136,ENG-00716,2024-11-13,Client Work,7.36,0,747,0
TS-0000311,CON-0114,ENG-00801,2024-07-03,Client Work,1.98,1,1298,321.25
TS-0000312,CON-0165,ENG-00033,2025-03-26,Internal,5.28,0,2068,0
TS-0000313,CON-0003,ENG-00406,2025-01-08,Business Development,8.82,0,743,0
TS-0000314,CON-0142,ENG-00729,2024-10-23,Training,5.27,0,1688,0
TS-0000315,CON-0182,ENG-00233,2025-01-08,Admin,3.08,0,2054,0
TS-0000316,CON-0024,ENG-00535,2024-12-18,Admin,1.69,0,850,0
TS-0000317,CON-0055,ENG-00411,2025-04-02,Client Work,4.23,1,667,352.68
TS-0000318,CON-0191,ENG-01000,2025-03-05,Business Development,1.23,0,600,0
TS-0000319,CON-0178,ENG-00480,2025-01-29,Client Work,6.6,1,2843,2345.47
TS-0000320,CON-0098,ENG-00169,2024-07-24,Internal,6.64,0,367,0
TS-0000321,CON-0050,ENG-00277,2024-08-14,Client Work,3.95,1,2804,1384.48
