account_id,plan,mrr_usd,industry,region,signup_date,churn_date,is_churned,seat_count,health_score
ACC-00037,Professional,2018.0,Education,APAC,2022-08-04,,0,17,89.3
ACC-00038,Growth,565.0,Education,Europe,2021-10-07,,0,48,80.3
ACC-00039,Growth,539.0,Healthcare,North America,2022-11-21,,0,56,79.3
ACC-00040,Starter,136.0,Retail,Europe,2021-10-27,,0,17,47.7
ACC-00041,Professional,1713.0,Retail,North America,2024-03-18,,0,34,91.6
ACC-00042,Growth,450.0,Technology,North America,2022-10-25,,0,59,80.9
ACC-00043,Growth,639.0,Media,LATAM,2024-07-23,2025-01-23,1,13,63.8
ACC-00044,Growth,581.0,Technology,APAC,2022-10-26,,0,5,51.8
ACC-00045,Enterprise,4578.0,Technology,Europe,2024-07-27,,0,21,96.0
ACC-00046,Starter,133.0,Technology,North America,2023-11-01,2025-03-28,1,14,55.3
ACC-00047,Growth,529.0,Professional Services,Europe,2021-02-06,,0,48,82.0
ACC-00048,Enterprise,6223.0,Media,North America,2023-10-31,,0,90,100.0
ACC-00049,Growth,428.0,Education,APAC,2023-03-09,,0,44,86.6
ACC-00050,Enterprise,6397.0,Retail,LATAM,2024-09-29,,0,23,96.5
ACC-00051,Enterprise,6079.0,Media,North America,2022-03-08,,0,59,93.3
ACC-00052,Professional,1438.0,Media,Europe,2021-04-06,2025-01-04,1,26,78.7
ACC-00053,Professional,1471.0,Professional Services,APAC,2024-09-09,,0,8,84.2
ACC-00054,Professional,1307.0,Manufacturing,Europe,2024-06-02,,0,20,82.2
ACC-00055,Starter,124.0,Manufacturing,Europe,2023-10-31,2025-02-15,1,7,25.2
ACC-00056,Starter,132.0,Manufacturing,North America,2023-06-06,,0,4,37.0
ACC-00057,Professional,1799.0,Manufacturing,North America,2023-12-04,,0,40,98.9
ACC-00058,Growth,682.0,Media,Europe,2022-02-21,2025-02-06,1,25,73.8
ACC-00059,Starter,101.0,Education,Europe,2022-06-18,2025-03-17,1,7,22.8
ACC-00060,Starter,86.0,Professional Services,Europe,2024-04-29,2025-01-21,1,10,40.1
ACC-00061,Growth,603.0,Professional Services,Europe,2021-10-02,,0,29,100.0
ACC-00062,Growth,626.0,Professional Services,Europe,2021-03-20,,0,21,82.9
ACC-00063,Professional,1682.0,Manufacturing,APAC,2024-08-19,,0,47,88.0
ACC-00064,Starter,101.0,Media,APAC,2024-11-11,2025-03-05,1,4,21.2
ACC-00065,Starter,104.0,Professional Services,LATAM,2023-02-11,2025-03-11,1,8,26.6
ACC-00066,Growth,600.0,Technology,Europe,2024-01-30,2025-02-07,1,19,85.7
ACC-00067,Growth,654.0,Education,North America,2022-11-24,2025-02-10,1,44,86.9
ACC-00068,Growth,553.0,Retail,LATAM,2024-03-12,2025-01-18,1,16,66.8
ACC-00069,Growth,560.0,Retail,North America,2021-07-16,,0,12,74.7
ACC-00070,Professional,1322.0,Education,Europe,2021-05-17,,0,18,90.6
ACC-00071,Professional,1690.0,Retail,Europe,2024-06-09,,0,27,89.1
ACC-00072,Starter,106.0,Education,Europe,2023-05-07,2025-01-16,1,14,37.0
ACC-00073,Enterprise,5481.0,Professional Services,North America,2022-07-07,,0,61,95.5
ACC-00074,Enterprise,5955.0,Media,LATAM,2021-11-09,,0,115,92.9
ACC-00075,Professional,1368.0,Education,Europe,2023-02-25,,0,109,85.0
ACC-00076,Starter,124.0,Retail,APAC,2024-10-03,,0,4,25.7
ACC-00077,Enterprise,5381.0,Technology,Europe,2024-07-31,,0,38,97.8
ACC-00078,Starter,104.0,Retail,Europe,2024-06-25,,0,16,46.9
ACC-00079,Professional,1934.0,Media,Europe,2023-12-24,2025-03-27,1,38,88.5
ACC-00080,Starter,106.0,Finance,Europe,2023-11-24,2025-01-22,1,9,68.0
ACC-00081,Starter,116.0,Manufacturing,APAC,2023-10-26,2025-03-02,1,10,35.5
ACC-00082,Professional,2098.0,Retail,North America,2022-10-09,,0,36,84.2
ACC-00083,Growth,532.0,Professional Services,Europe,2023-07-16,2025-01-13,1,15,71.5
ACC-00084,Starter,109.0,Media,North America,2023-07-17,,0,13,49.7
ACC-00085,Starter,133.0,Finance,LATAM,2023-08-12,2025-01-20,1,4,35.4
ACC-00086,Starter,97.0,Finance,North America,2023-07-11,2025-03-20,1,20,47.5
ACC-00087,Professional,1636.0,Media,Europe,2020-12-01,,0,48,96.9
ACC-00088,Starter,120.0,Education,North America,2022-11-10,,0,9,33.4
ACC-00089,Starter,98.0,Media,Europe,2023-02-02,2025-03-18,1,6,30.3
ACC-00090,Starter,122.0,Manufacturing,North America,2022-12-12,2025-02-05,1,7,42.4
ACC-00091,Professional,1275.0,Retail,North America,2022-12-14,,0,29,83.9
ACC-00092,Starter,102.0,Media,Europe,2022-12-28,2025-01-23,1,3,19.5
ACC-00093,Growth,619.0,Media,North America,2023-08-22,2025-01-13,1,20,84.8
ACC-00094,Starter,90.0,Healthcare,Europe,2023-12-13,,0,3,35.0
ACC-00095,Professional,1785.0,Media,APAC,2021-10-23,,0,45,85.3
ACC-00096,Growth,694.0,Technology,North America,2021-08-25,,0,39,90.6
ACC-00097,Growth,511.0,Education,North America,2024-10-20,2025-03-01,1,29,77.0
ACC-00098,Professional,1536.0,Technology,Europe,2023-12-21,,0,38,93.5
ACC-00099,Growth,696.0,Professional Services,North America,2022-09-11,2025-03-31,1,19,80.0
ACC-00100,Professional,1716.0,Professional Services,North America,2023-10-28,,0,17,94.4
ACC-00101,Professional,1289.0,Professional Services,APAC,2023-12-29,,0,60,84.5
ACC-00102,Growth,610.0,Education,APAC,2022-08-22,,0,43,86.5
ACC-00103,Starter,127.0,Healthcare,North America,2023-04-13,2025-01-15,1,14,47.7
ACC-00104,Enterprise,4740.0,Technology,APAC,2020-12-18,,0,129,83.4
ACC-00105,Professional,1587.0,Media,Europe,2022-04-18,,0,30,83.8
ACC-00106,Enterprise,6629.0,Technology,North America,2024-11-28,2025-01-19,1,31,100.0
ACC-00107,Growth,622.0,Technology,North America,2023-05-02,,0,18,61.7
ACC-00108,Growth,681.0,Manufacturing,North America,2024-02-17,2025-01-30,1,14,81.5
ACC-00109,Starter,136.0,Professional Services,North America,2023-01-07,2025-03-09,1,6,46.2
ACC-00110,Starter,113.0,Healthcare,North America,2023-11-17,,0,8,47.6
ACC-00111,Growth,455.0,Professional Services,APAC,2023-09-26,,0,19,79.6
ACC-00112,Enterprise,6869.0,Healthcare,North America,2024-05-14,,0,28,84.2
ACC-00113,Growth,573.0,Manufacturing,North America,2023-11-26,,0,15,69.2
ACC-00114,Starter,104.0,Manufacturing,APAC,2021-11-11,,0,15,45.3
ACC-00115,Professional,1357.0,Professional Services,North America,2021-07-07,,0,34,87.2
ACC-00116,Professional,1976.0,Finance,North America,2022-10-14,,0,78,88.7
ACC-00117,Professional,1915.0,Retail,Europe,2022-12-12,,0,29,91.4
ACC-00118,Starter,136.0,Education,North America,2021-01-31,2025-01-15,1,24,55.7
ACC-00119,Starter,134.0,Retail,Europe,2024-08-19,2025-02-11,1,20,33.5
ACC-00120,Enterprise,6499.0,Retail,North America,2023-01-13,,0,6,89.1
ACC-00121,Growth,642.0,Manufacturing,APAC,2021-11-25,,0,77,73.2
ACC-00122,Growth,425.0,Retail,North America,2023-10-17,2025-02-09,1,8,66.1
ACC-00123,Growth,677.0,Professional Services,Europe,2022-01-10,,0,11,80.9
ACC-00124,Enterprise,5191.0,Healthcare,Europe,2020-12-14,,0,62,96.2
ACC-00125,Professional,2092.0,Education,Europe,2024-03-24,,0,27,97.6
ACC-00126,Growth,578.0,Retail,Europe,2022-01-02,,0,31,73.6
ACC-00127,Growth,545.0,Media,North America,2023-08-13,,0,20,83.6
ACC-00128,Starter,95.0,Technology,APAC,2021-11-24,2025-01-23,1,9,38.9
ACC-00129,Starter,100.0,Media,North America,2021-04-04,,0,14,39.1
ACC-00130,Growth,494.0,Manufacturing,LATAM,2023-08-19,,0,20,74.6
ACC-00131,Growth,664.0,Retail,LATAM,2023-02-19,,0,36,82.6
ACC-00132,Growth,598.0,Education,LATAM,2023-12-10,,0,12,70.9
ACC-00133,Professional,1905.0,Manufacturing,Europe,2022-12-27,,0,35,92.5
ACC-00134,Starter,116.0,Retail,APAC,2024-01-16,2025-02-02,1,11,27.5
ACC-00135,Professional,1966.0,Manufacturing,APAC,2022-06-27,,0,31,85.8
ACC-00136,Starter,107.0,Manufacturing,LATAM,2023-10-04,2025-03-30,1,65,51.4
ACC-00137,Starter,132.0,Healthcare,APAC,2024-06-21,2025-02-15,1,9,36.1
ACC-00138,Growth,603.0,Finance,LATAM,2024-10-17,,0,13,50.5
ACC-00139,Starter,109.0,Finance,North America,2023-06-09,,0,17,45.9
ACC-00140,Professional,1618.0,Technology,Europe,2022-01-17,,0,54,93.4
ACC-00141,Professional,1353.0,Education,Europe,2023-10-17,2025-01-07,1,26,85.2
ACC-00142,Professional,1303.0,Technology,North America,2021-08-11,,0,28,85.9
ACC-00143,Growth,649.0,Healthcare,Europe,2023-05-03,,0,46,83.1
ACC-00144,Professional,1657.0,Healthcare,North America,2024-01-15,,0,8,91.9
ACC-00145,Starter,94.0,Manufacturing,LATAM,2023-04-27,2025-01-17,1,22,38.7
ACC-00146,Professional,2078.0,Healthcare,North America,2022-06-09,,0,7,81.1
ACC-00147,Growth,575.0,Professional Services,Europe,2023-01-20,,0,87,75.0
ACC-00148,Starter,107.0,Manufacturing,APAC,2023-07-09,2025-02-20,1,11,40.1
ACC-00149,Starter,115.0,Education,North America,2024-08-27,,0,7,34.6
ACC-00150,Starter,133.0,Education,LATAM,2023-01-03,2025-02-12,1,30,34.8
ACC-00151,Growth,483.0,Finance,North America,2024-07-02,2025-02-08,1,10,68.7
ACC-00152,Starter,104.0,Finance,North America,2023-06-26,2025-03-14,1,7,31.0
ACC-00153,Starter,90.0,Media,Europe,2023-04-14,2025-01-11,1,4,35.0
ACC-00154,Growth,698.0,Professional Services,North America,2023-04-23,,0,11,84.3
ACC-00155,Starter,137.0,Finance,LATAM,2022-12-08,2025-03-13,1,5,33.0
ACC-00156,Starter,95.0,Finance,APAC,2024-10-18,2025-02-23,1,30,31.0
ACC-00157,Growth,679.0,Technology,North America,2023-05-07,,0,6,65.2
ACC-00158,Growth,576.0,Media,North America,2023-07-13,2025-02-15,1,13,70.6
ACC-00159,Starter,115.0,Technology,North America,2022-10-21,2025-03-16,1,11,44.4
ACC-00160,Starter,136.0,Manufacturing,Europe,2021-03-15,2025-03-26,1,9,44.2
ACC-00161,Starter,125.0,Technology,Europe,2024-02-08,,0,3,25.1
ACC-00162,Professional,1582.0,Healthcare,North America,2022-03-21,,0,54,94.2
ACC-00163,Enterprise,6898.0,Professional Services,North America,2021-03-05,,0,36,79.1
ACC-00164,Professional,1671.0,Finance,LATAM,2021-12-26,,0,28,85.5
ACC-00165,Starter,127.0,Finance,North America,2022-01-30,2025-01-28,1,8,36.3
ACC-00166,Growth,614.0,Technology,North America,2022-03-26,2025-02-22,1,12,85.3
ACC-00167,Starter,92.0,Healthcare,North America,2024-03-04,2025-01-09,1,19,43.8
ACC-00168,Enterprise,4471.0,Media,Europe,2021-06-01,,0,81,97.1
ACC-00169,Growth,697.0,Technology,Europe,2024-10-04,,0,80,70.2
ACC-00170,Enterprise,6552.0,Manufacturing,North America,2021-07-24,,0,67,92.1
ACC-00171,Growth,546.0,Professional Services,North America,2021-01-08,,0,34,77.1
ACC-00172,Starter,131.0,Finance,LATAM,2021-07-31,,0,21,40.9
ACC-00173,Professional,1724.0,Media,LATAM,2021-04-21,,0,36,86.6
ACC-00174,Growth,523.0,Manufacturing,North America,2024-07-24,,0,21,59.1
ACC-00175,Growth,434.0,Education,LATAM,2024-02-04,,0,26,73.6
ACC-00176,Enterprise,4899.0,Retail,North America,2024-04-21,,0,44,95.9
ACC-00177,Growth,596.0,Finance,Europe,2021-09-13,,0,27,93.6
ACC-00178,Starter,96.0,Finance,North America,2021-02-11,2025-02-08,1,22,57.7
ACC-00179,Growth,609.0,Professional Services,North America,2021-10-31,,0,32,75.2
ACC-00180,Starter,111.0,Technology,Europe,2021-02-24,,0,14,67.3
ACC-00181,Growth,442.0,Healthcare,North America,2022-01-10,,0,8,79.7
ACC-00182,Professional,1666.0,Technology,APAC,2022-01-10,,0,27,90.2
ACC-00183,Professional,1794.0,Technology,Europe,2021-10-16,,0,96,96.0
ACC-00184,Professional,1691.0,Technology,Europe,2022-10-12,,0,15,98.7
ACC-00185,Growth,629.0,Professional Services,North America,2022-08-28,,0,17,95.1
ACC-00186,Starter,113.0,Manufacturing,APAC,2024-03-28,2025-03-05,1,13,36.3
ACC-00187,Starter,99.0,Healthcare,Europe,2024-05-29,2025-02-08,1,8,45.0
ACC-00188,Professional,1946.0,Healthcare,APAC,2023-10-23,,0,16,86.2
ACC-00189,Growth,490.0,Professional Services,North America,2024-03-08,,0,19,83.9
ACC-00190,Growth,489.0,Retail,LATAM,2023-06-15,,0,22,67.1
ACC-00191,Growth,668.0,Healthcare,APAC,2023-06-24,2025-02-11,1,17,58.7
ACC-00192,Growth,536.0,Education,APAC,2022-09-13,2025-01-18,1,24,57.2
ACC-00193,Enterprise,6649.0,Education,North America,2024-05-28,,0,46,93.0
ACC-00194,Growth,577.0,Healthcare,North America,2024-01-09,,0,27,82.0
ACC-00195,Professional,1836.0,Professional Services,North America,2024-01-06,,0,21,92.3
ACC-00196,Growth,648.0,Education,North America,2023-07-18,,0,11,68.0
ACC-00197,Starter,126.0,Media,North America,2021-12-14,2025-03-17,1,14,61.4
ACC-00198,Enterprise,4355.0,Media,APAC,2022-11-01,,0,111,84.7
ACC-00199,Growth,476.0,Finance,Europe,2023-04-10,,0,11,74.5
ACC-00200,Enterprise,5381.0,Professional Services,North America,2021-03-16,,0,66,100.0
ACC-00201,Growth,479.0,Healthcare,North America,2023-01-21,,0,16,74.5
ACC-00202,Starter,99.0,Retail,LATAM,2024-05-18,2025-02-06,1,11,34.7
ACC-00203,Starter,93.0,Education,APAC,2024-04-10,,0,12,22.3
ACC-00204,Starter,87.0,Professional Services,North America,2024-07-10,2025-02-25,1,23,32.6
ACC-00205,Enterprise,6252.0,Manufacturing,Europe,2021-05-24,,0,97,80.2
ACC-00206,Starter,97.0,Technology,Europe,2022-11-21,,0,12,38.2
ACC-00207,Starter,124.0,Retail,North America,2022-10-26,,0,9,46.2
ACC-00208,Enterprise,6955.0,Retail,Europe,2022-05-09,,0,28,95.2
ACC-00209,Professional,1508.0,Finance,LATAM,2023-05-20,,0,21,87.1
ACC-00210,Starter,117.0,Media,North America,2021-08-01,,0,15,53.0
ACC-00211,Growth,439.0,Education,North America,2021-06-10,,0,29,77.5
ACC-00212,Professional,1487.0,Professional Services,APAC,2021-12-02,,0,14,87.6
ACC-00213,Starter,97.0,Retail,Europe,2021-01-23,,0,13,41.6
ACC-00214,Growth,548.0,Retail,APAC,2024-02-10,,0,23,83.1
ACC-00215,Starter,137.0,Technology,North America,2021-03-18,2025-01-12,1,13,36.4
ACC-00216,Starter,138.0,Manufacturing,North America,2022-10-18,,0,23,56.8
ACC-00217,Professional,1801.0,Education,Europe,2023-04-03,,0,29,89.0
ACC-00218,Professional,1489.0,Healthcare,North America,2021-09-14,,0,26,87.7
ACC-00219,Starter,126.0,Education,North America,2023-02-06,2025-03-04,1,9,44.1
ACC-00220,Starter,114.0,Healthcare,Europe,2022-06-19,,0,33,45.9
ACC-00221,Growth,444.0,Manufacturing,North America,2023-04-11,,0,10,86.4
ACC-00222,Starter,129.0,Manufacturing,Europe,2021-11-11,2025-03-06,1,9,25.3
ACC-00223,Growth,589.0,Media,North America,2023-04-10,,0,48,93.8
ACC-00224,Growth,688.0,Finance,North America,2023-03-17,2025-01-20,1,7,83.8
ACC-00225,Professional,1879.0,Professional Services,North America,2022-08-18,,0,27,92.0
ACC-00226,Starter,119.0,Retail,North America,2021-11-12,2025-01-15,1,9,46.5
ACC-00227,Enterprise,4865.0,Education,North America,2022-03-06,,0,64,100.0
ACC-00228,Growth,600.0,Retail,LATAM,2023-08-17,,0,5,64.4
ACC-00229,Growth,695.0,Professional Services,LATAM,2022-07-31,,0,11,74.4
ACC-00230,Growth,563.0,Education,North America,2022-03-11,,0,22,83.8
ACC-00231,Starter,130.0,Technology,North America,2024-07-01,2025-03-10,1,5,49.7
ACC-00232,Starter,120.0,Technology,North America,2024-08-29,2025-01-03,1,10,34.5
ACC-00233,Growth,546.0,Education,North America,2023-02-07,2025-03-14,1,10,73.3
ACC-00234,Enterprise,5760.0,Media,Europe,2024-02-08,,0,62,88.1
ACC-00235,Growth,507.0,Education,North America,2023-06-23,,0,59,79.8
ACC-00236,Starter,108.0,Professional Services,APAC,2022-06-19,,0,14,55.1
ACC-00237,Growth,590.0,Professional Services,North America,2024-10-01,,0,5,60.5
ACC-00238,Professional,2037.0,Finance,North America,2021-03-07,,0,62,92.6
ACC-00239,Professional,2074.0,Professional Services,Europe,2021-01-06,,0,43,98.8
ACC-00240,Growth,539.0,Finance,Europe,2024-04-21,,0,37,73.2
ACC-00241,Growth,564.0,Media,Europe,2021-01-07,2025-02-03,1,9,66.4
ACC-00242,Enterprise,6268.0,Professional Services,APAC,2022-04-12,,0,24,89.4
ACC-00243,Enterprise,4958.0,Healthcare,LATAM,2022-09-27,,0,26,88.7
ACC-00244,Starter,110.0,Professional Services,North America,2022-11-12,2025-01-31,1,12,42.2
ACC-00245,Growth,686.0,Professional Services,APAC,2024-06-15,2025-01-25,1,16,75.0
ACC-00246,Starter,100.0,Professional Services,North America,2022-02-22,2025-02-07,1,11,44.6
ACC-00247,Growth,527.0,Education,North America,2024-06-26,,0,31,77.1
ACC-00248,Professional,1586.0,Professional Services,North America,2022-07-14,,0,28,86.4
ACC-00249,Starter,127.0,Retail,Europe,2024-10-31,2025-03-11,1,16,29.9
ACC-00250,Enterprise,6946.0,Education,North America,2021-01-22,,0,41,100.0
ACC-00251,Starter,109.0,Finance,North America,2024-11-28,2025-02-13,1,24,27.2
ACC-00252,Enterprise,4980.0,Manufacturing,North America,2024-07-22,,0,53,88.4
ACC-00253,Starter,112.0,Professional Services,North America,2023-02-13,2025-01-30,1,5,60.2
ACC-00254,Starter,101.0,Finance,North America,2022-08-28,2025-01-19,1,9,37.7
ACC-00255,Starter,103.0,Retail,Europe,2022-01-14,,0,18,56.4
ACC-00256,Starter,133.0,Technology,Europe,2024-10-06,2025-03-03,1,6,23.6
ACC-00257,Professional,2047.0,Technology,Europe,2023-04-01,,0,11,93.2
ACC-00258,Growth,571.0,Technology,Europe,2023-07-10,,0,18,73.6
ACC-00259,Starter,97.0,Manufacturing,North America,2023-07-04,2025-01-26,1,10,49.1
ACC-00260,Starter,102.0,Finance,North America,2024-10-26,,0,15,34.5
ACC-00261,Growth,570.0,Manufacturing,APAC,2021-10-22,,0,13,75.4
ACC-00262,Professional,1939.0,Manufacturing,North America,2021-03-08,,0,55,81.1
ACC-00263,Growth,434.0,Technology,Europe,2021-09-15,2025-03-09,1,16,81.2
ACC-00264,Starter,109.0,Retail,North America,2021-07-01,2025-02-08,1,13,46.1
ACC-00265,Growth,514.0,Manufacturing,North America,2023-03-29,2025-03-11,1,20,76.5
ACC-00266,Growth,650.0,Retail,LATAM,2024-11-21,,0,21,55.2
ACC-00267,Growth,471.0,Education,Europe,2023-08-25,2025-01-24,1,24,81.5
ACC-00268,Professional,1323.0,Professional Services,North America,2021-08-21,,0,18,94.4
ACC-00269,Starter,135.0,Retail,North America,2024-03-04,,0,13,48.4
ACC-00270,Starter,90.0,Retail,LATAM,2022-12-24,2025-02-22,1,26,29.8
ACC-00271,Starter,103.0,Media,North America,2023-09-07,2025-01-18,1,6,39.6
ACC-00272,Starter,86.0,Manufacturing,Europe,2023-07-23,,0,9,36.2
ACC-00273,Professional,1387.0,Media,Europe,2023-06-10,2025-02-12,1,25,89.5
ACC-00274,Growth,478.0,Retail,Europe,2023-08-06,,0,18,78.4
ACC-00275,Growth,585.0,Healthcare,Europe,2024-06-05,2025-03-23,1,38,78.1
ACC-00276,Growth,695.0,Manufacturing,Europe,2024-07-19,,0,43,70.9
ACC-00277,Professional,1991.0,Media,APAC,2022-06-16,,0,35,93.5
ACC-00278,Growth,484.0,Education,North America,2022-04-24,,0,74,97.2
ACC-00279,Starter,89.0,Technology,North America,2021-11-05,,0,11,38.0
ACC-00280,Growth,509.0,Technology,Europe,2024-10-05,2025-03-27,1,26,61.6
ACC-00281,Professional,1663.0,Technology,North America,2024-07-20,,0,7,86.0
ACC-00282,Professional,2094.0,Retail,North America,2024-11-28,,0,20,89.3
ACC-00283,Professional,1683.0,Professional Services,North America,2021-02-01,,0,25,91.5
ACC-00284,Enterprise,4824.0,Manufacturing,Europe,2023-03-25,,0,169,100.0
ACC-00285,Starter,107.0,Healthcare,APAC,2021-07-28,2025-02-03,1,15,38.6
ACC-00286,Starter,124.0,Manufacturing,North America,2022-01-04,,0,9,28.4
ACC-00287,Starter,87.0,Technology,Europe,2023-12-23,,0,7,45.2
ACC-00288,Growth,696.0,Finance,North America,2021-07-30,,0,23,80.7
ACC-00289,Growth,496.0,Manufacturing,Europe,2023-06-13,,0,25,83.7
ACC-00290,Starter,104.0,Education,Europe,2021-05-31,,0,16,37.2
ACC-00291,Starter,92.0,Manufacturing,APAC,2024-09-24,2025-01-31,1,11,24.8
ACC-00292,Growth,632.0,Technology,North America,2023-09-09,,0,5,72.9
ACC-00293,Starter,114.0,Finance,APAC,2022-02-20,,0,18,28.8
ACC-00294,Growth,506.0,Education,LATAM,2022-10-02,,0,41,84.3
ACC-00295,Growth,454.0,Technology,Europe,2024-05-15,2025-01-07,1,39,75.8
ACC-00296,Professional,1354.0,Media,North America,2022-01-01,,0,26,91.1
ACC-00297,Professional,1866.0,Healthcare,Europe,2023-08-16,,0,13,94.7
ACC-00298,Growth,632.0,Healthcare,North America,2024-04-11,,0,6,65.5
ACC-00299,Starter,106.0,Education,Europe,2022-07-26,2025-01-26,1,8,28.6
ACC-00300,Starter,99.0,Education,APAC,2022-09-09,2025-03-03,1,9,30.2
ACC-00301,Professional,1956.0,Media,North America,2022-07-17,,0,74,81.4
ACC-00302,Growth,525.0,Education,North America,2024-05-06,,0,15,68.0
ACC-00303,Starter,90.0,Manufacturing,North America,2021-08-21,,0,22,42.6
ACC-00304,Growth,438.0,Media,Europe,2021-05-14,,0,18,84.2
ACC-00305,Growth,433.0,Education,APAC,2021-02-04,2025-02-23,1,15,69.1
ACC-00306,Growth,600.0,Media,North America,2021-05-30,,0,36,80.3
ACC-00307,Starter,96.0,Manufacturing,North America,2023-07-05,2025-01-15,1,7,32.7
ACC-00308,Enterprise,4664.0,Manufacturing,APAC,2021-04-16,,0,66,95.4
ACC-00309,Growth,429.0,Media,APAC,2022-07-26,2025-03-14,1,59,81.0
ACC-00310,Growth,517.0,Finance,LATAM,2023-02-18,2025-01-16,1,20,75.9
ACC-00311,Growth,601.0,Retail,Europe,2023-10-10,2025-01-23,1,5,69.5
ACC-00312,Growth,610.0,Healthcare,Europe,2022-03-13,2025-02-24,1,50,94.9
ACC-00313,Growth,697.0,Technology,APAC,2022-09-05,,0,21,62.1
ACC-00314,Growth,660.0,Retail,North America,2021-07-22,2025-02-24,1,17,84.7
ACC-00315,Starter,109.0,Healthcare,APAC,2022-05-11,2025-03-22,1,16,37.1
ACC-00316,Enterprise,4493.0,Media,LATAM,2021-02-16,,0,78,98.7
ACC-00317,Professional,1300.0,Healthcare,North America,2022-06-14,,0,27,89.6
ACC-00318,Professional,1680.0,Manufacturing,Europe,2023-10-31,,0,41,99.7
ACC-00319,Enterprise,6662.0,Retail,LATAM,2024-01-02,,0,121,97.2
ACC-00320,Growth,503.0,Media,Europe,2024-08-03,,0,78,73.7
ACC-00321,Growth,552.0,Professional Services,North America,2021-08-11,,0,42,82.7
ACC-00322,Professional,1514.0,Retail,APAC,2021-12-26,,0,34,100.0
ACC-00323,Growth,648.0,Manufacturing,LATAM,2023-02-06,,0,7,72.5
ACC-00324,Starter,130.0,Media,North America,2023-05-03,,0,11,50.1
ACC-00325,Starter,115.0,Retail,North America,2022-06-14,2025-01-28,1,4,38.5
ACC-00326,Growth,649.0,Finance,North America,2022-04-16,2025-03-14,1,54,78.0
ACC-00327,Starter,124.0,Technology,North America,2022-03-22,,0,29,53.2
ACC-00328,Professional,2088.0,Finance,North America,2024-10-16,,0,68,92.5
ACC-00329,Growth,647.0,Manufacturing,APAC,2023-01-14,2025-02-20,1,11,79.7
ACC-00330,Starter,98.0,Technology,APAC,2021-01-19,,0,13,40.2
ACC-00331,Growth,565.0,Professional Services,North America,2022-03-27,,0,26,80.3
ACC-00332,Starter,106.0,Healthcare,North America,2022-01-27,2025-01-27,1,10,36.2
ACC-00333,Growth,474.0,Retail,Europe,2022-01-29,,0,25,91.6
