user_id,account_id,role,is_active,last_login_date,signup_date,logins_last_30_days
USR-0000042,ACC-01484,Developer,1,2025-01-07,2021-09-02,26
USR-0000043,ACC-00809,Viewer,0,2024-08-30,2024-10-19,0
USR-0000044,ACC-00627,Manager,0,2025-01-31,2023-01-19,9
USR-0000045,ACC-00211,Admin,1,2025-03-31,2021-08-17,15
USR-0000046,ACC-01384,Manager,1,2025-03-31,2021-08-25,8
USR-0000047,ACC-01265,Analyst,1,2025-01-01,2023-03-09,15
USR-0000048,ACC-00015,Viewer,1,2025-01-03,2023-02-18,19
USR-0000049,ACC-00074,Viewer,1,2025-02-08,2022-01-16,28
USR-0000050,ACC-00530,Analyst,1,2025-02-09,2024-01-05,9
USR-0000051,ACC-01171,Manager,1,2025-03-25,2024-08-20,28
USR-0000052,ACC-01482,Developer,1,2025-02-28,2024-06-30,27
USR-0000053,ACC-01221,Developer,1,2025-01-28,2025-02-03,6
USR-0000054,ACC-00882,Manager,1,2025-01-25,2022-08-02,25
USR-0000055,ACC-01018,Manager,1,2025-02-13,2022-09-13,24
USR-0000056,ACC-00871,Developer,1,2025-01-28,2023-02-20,7
USR-0000057,ACC-01238,Analyst,1,2025-02-18,2023-08-07,1
USR-0000058,ACC-00003,Admin,1,2025-01-23,2022-04-23,3
USR-0000059,ACC-01294,Manager,1,2025-01-10,2021-10-11,7
USR-0000060,ACC-00949,Analyst,1,2025-03-03,2022-09-11,12
USR-0000061,ACC-01787,Analyst,0,2025-01-04,2023-02-01,7
USR-0000062,ACC-00588,Developer,1,2025-02-02,2021-06-26,17
USR-0000063,ACC-01476,Admin,1,2025-03-31,2021-06-27,29
USR-0000064,ACC-00192,Viewer,1,2025-02-17,2022-10-09,22
USR-0000065,ACC-01987,Analyst,1,2025-03-22,2024-12-14,23
USR-0000066,ACC-00947,Admin,1,2025-02-09,2024-09-20,22
USR-0000067,ACC-00648,Developer,1,2025-01-11,2023-12-30,21
USR-0000068,ACC-01060,Viewer,1,2025-03-07,2021-02-03,6
USR-0000069,ACC-00069,Manager,1,2025-02-25,2021-10-20,21
USR-0000070,ACC-01287,Manager,1,2025-01-08,2023-10-24,26
USR-0000071,ACC-01192,Admin,0,2025-03-26,2021-12-14,9
USR-0000072,ACC-01443,Developer,1,2025-02-12,2024-07-03,10
USR-0000073,ACC-00836,Admin,1,2025-03-29,2023-05-12,34
USR-0000074,ACC-01984,Admin,1,2025-01-04,2024-06-21,29
USR-0000075,ACC-01329,Viewer,1,2025-01-06,2023-06-01,20
USR-0000076,ACC-01190,Viewer,1,2025-02-21,2023-11-28,9
USR-0000077,ACC-00179,Viewer,1,2025-01-12,2022-01-29,22
USR-0000078,ACC-00055,Manager,0,2025-02-27,2024-02-05,1
USR-0000079,ACC-00092,Viewer,1,2025-02-26,2023-04-17,1
USR-0000080,ACC-01866,Admin,1,2025-03-01,2022-12-06,24
USR-0000081,ACC-00794,Analyst,1,2025-03-13,2024-04-22,15
USR-0000082,ACC-00264,Viewer,1,2025-02-22,2021-08-21,9
USR-0000083,ACC-02000,Manager,1,2025-03-13,2022-12-28,17
USR-0000084,ACC-01879,Viewer,0,2025-01-09,2023-03-24,25
USR-0000085,ACC-01907,Viewer,1,2025-01-26,2023-12-17,9
USR-0000086,ACC-00490,Admin,1,2025-03-21,2023-09-18,19
USR-0000087,ACC-00726,Viewer,1,2025-01-16,2021-03-09,2
USR-0000088,ACC-01366,Developer,0,2024-08-31,2024-08-12,0
USR-0000089,ACC-01426,Manager,1,2025-03-16,2021-09-19,10
USR-0000090,ACC-01065,Developer,1,2025-02-03,2022-05-21,27
USR-0000091,ACC-00389,Manager,1,2025-01-09,2024-05-05,28
USR-0000092,ACC-00218,Manager,1,2025-03-08,2021-11-24,23
USR-0000093,ACC-00480,Viewer,0,2025-01-26,2021-10-03,24
USR-0000094,ACC-00918,Developer,1,2025-02-22,2024-11-17,24
USR-0000095,ACC-01769,Manager,1,2025-01-26,2021-04-14,29
USR-0000096,ACC-01202,Manager,1,2025-03-12,2024-03-23,24
USR-0000097,ACC-00473,Analyst,1,2025-01-27,2022-05-29,38
USR-0000098,ACC-01139,Admin,1,2025-01-08,2023-04-09,7
USR-0000099,ACC-01782,Manager,1,2025-03-20,2021-06-22,14
USR-0000100,ACC-00088,Analyst,1,2025-02-03,2022-12-24,3
USR-0000101,ACC-00939,Analyst,0,2025-03-31,2023-10-29,10
USR-0000102,ACC-00214,Analyst,1,2025-03-07,2024-04-10,15
USR-0000103,ACC-00447,Analyst,1,2025-01-24,2024-10-22,5
USR-0000104,ACC-00107,Analyst,1,2025-03-17,2023-08-07,9
USR-0000105,ACC-01452,Viewer,1,2025-03-29,2023-08-13,15
USR-0000106,ACC-01997,Viewer,1,2025-01-24,2023-12-25,19
USR-0000107,ACC-01022,Admin,1,2025-01-23,2024-12-11,23
USR-0000108,ACC-00441,Manager,1,2025-02-28,2024-03-09,19
USR-0000109,ACC-00817,Developer,1,2025-01-08,2021-09-19,23
USR-0000110,ACC-01116,Analyst,1,2025-02-15,2024-02-08,30
USR-0000111,ACC-00091,Analyst,1,2025-03-16,2023-01-24,17
USR-0000112,ACC-00811,Viewer,1,2025-01-22,2023-10-09,21
USR-0000113,ACC-00045,Admin,1,2025-02-19,2024-10-07,31
USR-0000114,ACC-01399,Developer,0,2025-03-06,2022-08-09,2
USR-0000115,ACC-00843,Admin,1,2025-01-11,2021-06-11,23
USR-0000116,ACC-00343,Analyst,1,2025-01-13,2021-05-12,7
USR-0000117,ACC-01806,Admin,1,2025-01-31,2021-03-28,19
USR-0000118,ACC-00372,Developer,1,2025-02-22,2022-07-16,2
USR-0000119,ACC-00735,Viewer,0,2024-07-29,2023-03-25,0
USR-0000120,ACC-00960,Manager,1,2025-02-09,2021-10-11,29
USR-0000121,ACC-00952,Manager,0,2025-02-03,2021-05-04,1
USR-0000122,ACC-00143,Analyst,1,2025-03-29,2023-05-27,17
USR-0000123,ACC-00258,Analyst,1,2025-02-17,2023-07-20,21
USR-0000124,ACC-01440,Analyst,1,2025-01-01,2024-03-07,4
USR-0000125,ACC-00070,Analyst,1,2025-02-16,2021-09-09,24
USR-0000126,ACC-00844,Manager,1,2025-03-28,2025-01-31,30
USR-0000127,ACC-00008,Analyst,1,2025-02-15,2022-08-11,31
USR-0000128,ACC-01532,Viewer,1,2025-03-29,2023-08-01,5
USR-0000129,ACC-01626,Analyst,1,2025-01-06,2024-01-21,19
USR-0000130,ACC-00696,Viewer,0,2025-03-17,2021-10-25,4
USR-0000131,ACC-00522,Analyst,0,2025-02-03,2021-12-12,10
USR-0000132,ACC-00241,Analyst,0,2025-03-01,2021-03-05,17
USR-0000133,ACC-01284,Manager,1,2025-02-19,2023-07-23,27
USR-0000134,ACC-01809,Manager,1,2025-02-22,2021-07-26,13
USR-0000135,ACC-00396,Admin,1,2025-01-04,2024-08-08,1
USR-0000136,ACC-01108,Developer,1,2025-03-23,2024-05-22,23
USR-0000137,ACC-01739,Developer,1,2025-02-14,2021-01-19,18
USR-0000138,ACC-01420,Manager,1,2025-03-08,2023-07-18,26
USR-0000139,ACC-00663,Developer,1,2025-03-14,2022-12-24,16
USR-0000140,ACC-00180,Viewer,0,2025-02-24,2021-03-22,12
USR-0000141,ACC-01148,Developer,1,2025-03-23,2021-12-02,22
USR-0000142,ACC-00073,Analyst,1,2025-02-14,2022-07-30,23
USR-0000143,ACC-01176,Developer,1,2025-01-30,2021-08-25,4
USR-0000144,ACC-00056,Admin,1,2025-02-09,2023-09-03,5
USR-0000145,ACC-00815,Viewer,0,2025-03-22,2022-01-21,31
USR-0000146,ACC-01445,Viewer,1,2025-01-29,2022-08-31,4
USR-0000147,ACC-00708,Developer,1,2025-02-08,2023-04-21,15
USR-0000148,ACC-01648,Viewer,1,2025-03-14,2021-10-29,24
USR-0000149,ACC-00541,Admin,1,2025-02-01,2022-09-17,13
USR-0000150,ACC-01127,Developer,1,2025-01-25,2024-07-04,36
USR-0000151,ACC-01158,Analyst,1,2025-01-09,2024-02-10,32
USR-0000152,ACC-01596,Developer,1,2025-02-26,2024-06-23,21
USR-0000153,ACC-00692,Developer,1,2025-01-20,2022-12-04,19
USR-0000154,ACC-01536,Manager,1,2025-02-12,2022-07-15,7
USR-0000155,ACC-00589,Developer,1,2025-01-03,2023-06-01,27
USR-0000156,ACC-00819,Manager,1,2025-03-08,2024-04-04,9
USR-0000157,ACC-00584,Manager,1,2025-03-12,2023-04-01,15
USR-0000158,ACC-00097,Developer,1,2025-01-10,2024-11-19,17
USR-0000159,ACC-00008,Analyst,1,2025-01-22,2022-06-06,28
USR-0000160,ACC-00841,Viewer,1,2025-02-23,2023-06-19,24
USR-0000161,ACC-01003,Viewer,1,2025-01-01,2021-04-18,19
USR-0000162,ACC-01584,Manager,1,2025-02-25,2021-11-24,20
USR-0000163,ACC-01594,Viewer,0,2025-03-20,2024-09-09,8
USR-0000164,ACC-00190,Analyst,1,2025-03-10,2023-08-29,29
USR-0000165,ACC-00436,Viewer,1,2025-02-26,2024-08-20,19
USR-0000166,ACC-00287,Admin,1,2025-01-15,2024-02-17,2
USR-0000167,ACC-01354,Admin,1,2025-01-06,2022-03-31,2
USR-0000168,ACC-01370,Viewer,1,2025-03-14,2024-09-19,6
USR-0000169,ACC-00247,Viewer,1,2025-01-16,2024-06-28,21
USR-0000170,ACC-01639,Viewer,1,2025-03-18,2021-07-26,16
USR-0000171,ACC-00009,Admin,1,2025-01-31,2023-07-23,27
USR-0000172,ACC-01131,Manager,1,2025-03-06,2021-11-30,17
USR-0000173,ACC-00380,Analyst,1,2025-01-31,2024-02-13,14
USR-0000174,ACC-00649,Manager,1,2025-01-16,2023-12-27,18
USR-0000175,ACC-01002,Analyst,1,2025-01-12,2022-02-06,2
USR-0000176,ACC-00759,Analyst,1,2025-02-24,2023-12-01,23
USR-0000177,ACC-01519,Manager,1,2025-03-26,2024-03-03,16
USR-0000178,ACC-01224,Developer,1,2025-03-02,2022-12-04,10
USR-0000179,ACC-01642,Manager,1,2025-02-20,2022-04-24,27
USR-0000180,ACC-00364,Manager,1,2025-03-01,2024-09-26,19
USR-0000181,ACC-01356,Viewer,1,2025-03-09,2023-12-02,5
USR-0000182,ACC-01854,Developer,1,2025-03-13,2024-08-27,14
USR-0000183,ACC-01657,Developer,0,2025-02-23,2021-09-14,4
USR-0000184,ACC-00623,Viewer,1,2025-01-20,2023-04-09,16
USR-0000185,ACC-00697,Analyst,1,2025-03-01,2022-01-28,3
USR-0000186,ACC-00968,Manager,1,2025-03-18,2024-12-03,15
USR-0000187,ACC-00704,Viewer,1,2025-02-07,2024-05-31,21
USR-0000188,ACC-00919,Admin,1,2025-01-24,2024-06-17,18
USR-0000189,ACC-00692,Viewer,1,2025-01-02,2022-12-04,9
USR-0000190,ACC-00048,Manager,1,2025-03-11,2023-11-07,41
USR-0000191,ACC-01914,Developer,1,2025-02-06,2023-02-01,20
USR-0000192,ACC-00389,Viewer,1,2025-03-27,2024-07-28,20
USR-0000193,ACC-00097,Admin,1,2025-02-20,2024-11-10,13
USR-0000194,ACC-01898,Developer,0,2025-03-05,2021-03-22,7
USR-0000195,ACC-00882,Viewer,1,2025-01-15,2022-06-16,15
USR-0000196,ACC-00614,Analyst,1,2025-01-17,2021-12-27,8
USR-0000197,ACC-00927,Analyst,1,2025-03-27,2021-12-01,15
USR-0000198,ACC-00958,Viewer,1,2025-03-21,2021-04-10,22
USR-0000199,ACC-00800,Analyst,1,2025-03-25,2023-12-16,25
USR-0000200,ACC-01278,Viewer,1,2025-02-22,2023-11-28,23
USR-0000201,ACC-01067,Manager,1,2025-02-28,2024-04-22,6
USR-0000202,ACC-01611,Admin,1,2025-01-24,2023-03-30,8
USR-0000203,ACC-01611,Analyst,1,2025-03-03,2023-02-02,11
USR-0000204,ACC-01382,Viewer,1,2025-03-12,2024-09-22,26
USR-0000205,ACC-00012,Developer,1,2025-02-25,2024-06-13,18
USR-0000206,ACC-01787,Admin,1,2025-01-18,2023-01-28,9
USR-0000207,ACC-00136,Analyst,1,2025-02-26,2023-12-25,8
USR-0000208,ACC-00305,Viewer,1,2025-03-24,2021-05-09,11
USR-0000209,ACC-00040,Viewer,0,2025-02-27,2021-11-03,9
USR-0000210,ACC-01574,Developer,1,2025-03-24,2023-05-17,23
USR-0000211,ACC-01007,Admin,1,2025-03-11,2024-01-07,16
USR-0000212,ACC-00201,Viewer,1,2025-01-07,2023-04-02,28
USR-0000213,ACC-01065,Viewer,1,2025-01-30,2022-04-13,27
USR-0000214,ACC-00971,Manager,0,2025-03-14,2023-02-26,6
USR-0000215,ACC-01951,Viewer,1,2025-03-27,2025-02-10,2
USR-0000216,ACC-00760,Developer,0,2025-03-29,2022-04-23,17
USR-0000217,ACC-01484,Manager,1,2025-02-28,2021-06-18,29
USR-0000218,ACC-00154,Viewer,1,2025-02-12,2023-05-04,21
USR-0000219,ACC-00009,Viewer,1,2025-02-01,2023-10-29,30
USR-0000220,ACC-00452,Viewer,1,2025-02-04,2022-06-01,35
USR-0000221,ACC-00685,Developer,1,2025-02-06,2021-08-06,17
USR-0000222,ACC-01247,Admin,1,2025-02-05,2022-01-31,28
USR-0000223,ACC-01117,Manager,1,2025-01-20,2021-04-16,10
USR-0000224,ACC-01091,Manager,1,2025-03-28,2024-12-30,27
USR-0000225,ACC-00199,Manager,1,2025-01-21,2023-05-15,25
USR-0000226,ACC-00736,Developer,1,2025-02-05,2021-12-29,6
USR-0000227,ACC-01532,Developer,1,2025-01-24,2023-06-24,13
USR-0000228,ACC-01408,Admin,1,2025-03-19,2021-11-01,26
USR-0000229,ACC-00334,Admin,1,2025-02-27,2024-04-03,27
USR-0000230,ACC-00713,Admin,1,2025-03-13,2023-10-14,30
USR-0000231,ACC-00453,Admin,1,2025-03-10,2022-04-28,32
USR-0000232,ACC-01785,Admin,1,2025-02-23,2022-09-26,9
USR-0000233,ACC-01442,Analyst,1,2025-02-20,2021-08-08,24
USR-0000234,ACC-01924,Developer,1,2025-03-24,2023-02-27,1
USR-0000235,ACC-00742,Viewer,1,2025-03-20,2023-08-29,27
USR-0000236,ACC-00729,Viewer,1,2025-01-25,2021-12-07,29
USR-0000237,ACC-00428,Admin,0,2025-02-26,2022-11-01,4
USR-0000238,ACC-00510,Developer,1,2025-01-08,2024-07-06,25
USR-0000239,ACC-01992,Developer,1,2025-01-01,2022-12-12,26
USR-0000240,ACC-00512,Developer,1,2025-01-16,2023-04-24,14
USR-0000241,ACC-00159,Viewer,1,2025-03-28,2022-11-04,7
USR-0000242,ACC-01034,Viewer,1,2025-01-12,2022-09-23,20
USR-0000243,ACC-00104,Analyst,1,2025-02-04,2021-02-25,29
USR-0000244,ACC-02000,Manager,1,2025-02-28,2023-01-25,16
USR-0000245,ACC-01051,Admin,1,2025-03-07,2023-09-02,4
USR-0000246,ACC-00547,Viewer,1,2025-02-03,2022-03-30,26
USR-0000247,ACC-00003,Admin,1,2025-01-20,2022-03-06,5
USR-0000248,ACC-00407,Manager,1,2025-01-17,2024-06-06,7
USR-0000249,ACC-00630,Manager,1,2025-01-08,2023-09-08,27
USR-0000250,ACC-00453,Admin,1,2025-03-18,2022-04-12,32
USR-0000251,ACC-01305,Developer,1,2025-01-31,2024-11-18,15
USR-0000252,ACC-00930,Manager,1,2025-03-29,2024-05-29,24
USR-0000253,ACC-01263,Developer,1,2025-03-11,2021-10-17,5
USR-0000254,ACC-01207,Admin,1,2025-03-25,2024-01-02,34
USR-0000255,ACC-01535,Manager,1,2025-02-10,2023-11-20,10
USR-0000256,ACC-01876,Manager,0,2025-01-10,2021-09-01,4
USR-0000257,ACC-01852,Analyst,0,2025-01-10,2022-03-09,3
USR-0000258,ACC-00041,Admin,1,2025-03-17,2024-03-23,35
USR-0000259,ACC-01127,Manager,1,2025-03-10,2024-04-02,22
USR-0000260,ACC-00542,Viewer,1,2025-03-02,2022-01-05,5
USR-0000261,ACC-00369,Analyst,0,2024-07-20,2024-08-31,0
USR-0000262,ACC-01928,Developer,1,2025-01-02,2021-06-01,24
USR-0000263,ACC-01340,Developer,1,2025-03-09,2021-02-16,29
USR-0000264,ACC-01745,Developer,1,2025-02-01,2022-05-19,26
USR-0000265,ACC-00259,Developer,1,2025-02-20,2023-09-10,10
USR-0000266,ACC-01293,Developer,1,2025-03-10,2022-07-22,28
USR-0000267,ACC-01546,Admin,1,2025-02-03,2024-08-10,12
USR-0000268,ACC-00544,Analyst,1,2025-03-31,2022-06-04,9
USR-0000269,ACC-00500,Admin,1,2025-01-30,2021-09-18,30
USR-0000270,ACC-00819,Viewer,1,2025-01-30,2024-03-20,25
USR-0000271,ACC-00825,Viewer,1,2025-02-10,2024-04-10,25
USR-0000272,ACC-00205,Manager,1,2025-02-01,2021-08-30,35
USR-0000273,ACC-00621,Developer,1,2025-01-25,2024-07-26,17
USR-0000274,ACC-01285,Developer,1,2025-01-12,2021-08-30,14
USR-0000275,ACC-00212,Analyst,1,2025-02-24,2022-03-28,22
USR-0000276,ACC-00364,Developer,1,2025-01-30,2024-11-11,26
USR-0000277,ACC-00891,Manager,1,2025-01-02,2023-12-22,42
USR-0000278,ACC-01349,Developer,1,2025-02-23,2024-02-22,24
USR-0000279,ACC-01610,Admin,1,2025-02-06,2021-05-26,28
USR-0000280,ACC-01932,Developer,1,2025-03-12,2023-10-25,23
USR-0000281,ACC-01942,Developer,1,2025-03-14,2022-09-25,3
USR-0000282,ACC-01360,Analyst,1,2025-01-25,2022-07-08,25
USR-0000283,ACC-00089,Analyst,0,2025-02-06,2023-05-31,4
USR-0000284,ACC-01625,Admin,1,2025-01-11,2025-01-14,7
USR-0000285,ACC-00849,Viewer,1,2025-02-23,2021-09-01,20
USR-0000286,ACC-00613,Viewer,1,2025-01-04,2024-03-08,6
USR-0000287,ACC-01860,Analyst,1,2025-03-25,2023-02-28,31
USR-0000288,ACC-00139,Analyst,1,2025-02-24,2023-07-17,13
USR-0000289,ACC-01033,Analyst,1,2025-03-14,2024-01-07,3
USR-0000290,ACC-01917,Viewer,1,2025-03-17,2021-07-24,19
USR-0000291,ACC-01740,Analyst,1,2025-03-09,2021-09-26,25
USR-0000292,ACC-01084,Developer,1,2025-03-07,2022-07-21,25
USR-0000293,ACC-01413,Developer,1,2025-03-14,2022-04-24,27
USR-0000294,ACC-00319,Analyst,1,2025-01-10,2024-02-14,36
USR-0000295,ACC-00173,Developer,1,2025-03-02,2021-08-06,34
USR-0000296,ACC-00054,Developer,1,2025-02-22,2024-09-26,25
USR-0000297,ACC-00571,Manager,1,2025-01-18,2022-04-01,34
USR-0000298,ACC-00193,Admin,1,2025-01-20,2024-05-30,19
USR-0000299,ACC-00392,Manager,1,2025-02-14,2024-06-07,5
USR-0000300,ACC-01629,Viewer,1,2025-03-25,2023-03-15,26
USR-0000301,ACC-00153,Developer,1,2025-01-25,2023-06-06,1
USR-0000302,ACC-00225,Viewer,1,2025-02-13,2022-10-14,22
USR-0000303,ACC-01499,Viewer,1,2025-02-09,2022-01-19,4
USR-0000304,ACC-01438,Viewer,1,2025-03-06,2021-08-18,13
USR-0000305,ACC-00968,Analyst,1,2025-03-03,2025-01-28,17
USR-0000306,ACC-01679,Admin,1,2025-02-20,2024-11-13,17
USR-0000307,ACC-00168,Developer,1,2025-03-24,2021-08-11,24
USR-0000308,ACC-01140,Developer,1,2025-03-23,2023-12-02,4
USR-0000309,ACC-01961,Admin,1,2025-03-09,2023-08-16,12
USR-0000310,ACC-00293,Manager,0,2025-03-25,2022-02-22,5
USR-0000311,ACC-00237,Manager,1,2025-03-23,2025-01-05,13
USR-0000312,ACC-01419,Developer,1,2025-03-01,2021-05-07,22
USR-0000313,ACC-01961,Manager,1,2025-02-18,2023-05-28,8
USR-0000314,ACC-01434,Admin,1,2025-03-17,2023-05-10,5
USR-0000315,ACC-00320,Manager,1,2025-02-24,2024-09-10,19
USR-0000316,ACC-01322,Developer,1,2025-02-13,2023-09-06,13
USR-0000317,ACC-00025,Analyst,1,2025-02-21,2023-09-24,5
USR-0000318,ACC-01998,Analyst,0,2025-03-31,2021-06-15,4
USR-0000319,ACC-00665,Admin,0,2025-01-28,2024-06-09,12
USR-0000320,ACC-00042,Manager,1,2025-01-17,2022-12-12,20
USR-0000321,ACC-00930,Admin,1,2025-01-24,2024-05-31,19
USR-0000322,ACC-01818,Viewer,1,2025-03-12,2024-04-08,35
USR-0000323,ACC-01423,Viewer,0,2025-03-21,2022-07-09,20
USR-0000324,ACC-01944,Admin,1,2025-02-17,2024-10-17,17
USR-0000325,ACC-01448,Analyst,1,2025-02-22,2021-11-04,25
USR-0000326,ACC-00624,Developer,1,2025-01-17,2022-04-13,32
USR-0000327,ACC-00269,Analyst,1,2025-01-04,2024-05-25,7
USR-0000328,ACC-00241,Admin,1,2025-02-24,2021-02-17,16
USR-0000329,ACC-00068,Analyst,1,2025-01-18,2024-04-01,20
USR-0000330,ACC-01832,Analyst,0,2025-03-21,2023-09-14,21
USR-0000331,ACC-00472,Developer,1,2025-02-17,2023-01-28,26
USR-0000332,ACC-01508,Viewer,1,2025-02-02,2024-08-18,1
USR-0000333,ACC-00085,Admin,1,2025-02-19,2023-11-25,5
USR-0000334,ACC-01077,Manager,1,2025-03-15,2023-08-02,23
USR-0000335,ACC-01357,Admin,1,2025-01-21,2021-04-04,17
USR-0000336,ACC-01960,Viewer,1,2025-01-26,2021-06-19,15
USR-0000337,ACC-01183,Viewer,1,2025-03-14,2025-01-15,9
USR-0000338,ACC-00672,Viewer,1,2025-02-20,2024-05-29,18
USR-0000339,ACC-01438,Viewer,0,2025-01-21,2021-09-23,19
USR-0000340,ACC-01066,Developer,1,2025-02-23,2021-03-08,4
USR-0000341,ACC-00787,Developer,1,2025-03-16,2021-08-22,28
USR-0000342,ACC-01987,Admin,1,2025-01-21,2024-10-19,23
USR-0000343,ACC-00348,Developer,1,2025-03-22,2024-04-15,29
USR-0000344,ACC-01117,Analyst,1,2025-01-03,2021-03-27,11
USR-0000345,ACC-00632,Manager,1,2025-01-10,2024-03-13,24
USR-0000346,ACC-00219,Analyst,1,2025-01-02,2023-02-06,7
USR-0000347,ACC-01922,Admin,1,2025-02-08,2021-01-09,11
USR-0000348,ACC-01328,Developer,0,2025-01-29,2021-07-15,4
USR-0000349,ACC-01243,Manager,1,2025-01-01,2023-12-28,8
USR-0000350,ACC-01900,Viewer,1,2025-02-03,2021-09-29,2
USR-0000351,ACC-00027,Viewer,1,2025-02-18,2023-06-24,30
USR-0000352,ACC-00948,Developer,1,2025-03-10,2022-06-04,12
USR-0000353,ACC-00330,Developer,1,2025-01-09,2021-02-07,8
USR-0000354,ACC-01936,Developer,1,2025-02-08,2021-11-01,31
USR-0000355,ACC-00060,Viewer,1,2025-01-07,2024-06-14,6
USR-0000356,ACC-00962,Developer,1,2025-03-19,2022-08-28,13
USR-0000357,ACC-01017,Manager,1,2025-03-05,2024-09-23,31
USR-0000358,ACC-01624,Developer,0,2025-01-22,2021-10-04,6
USR-0000359,ACC-00072,Viewer,1,2025-01-10,2023-08-05,2
USR-0000360,ACC-00540,Developer,1,2025-01-08,2021-05-26,4
USR-0000361,ACC-00467,Viewer,1,2025-02-04,2024-12-02,15
USR-0000362,ACC-01247,Developer,1,2025-01-15,2022-04-02,26
USR-0000363,ACC-00730,Developer,1,2025-03-13,2021-02-11,19
USR-0000364,ACC-01212,Analyst,1,2025-03-22,2023-06-11,4
USR-0000365,ACC-00777,Viewer,1,2025-03-16,2021-06-10,13
USR-0000366,ACC-00170,Admin,1,2025-01-08,2021-10-19,20
USR-0000367,ACC-01951,Admin,0,2025-02-09,2025-01-13,2
USR-0000368,ACC-00704,Analyst,1,2025-01-18,2024-06-07,30
USR-0000369,ACC-00412,Viewer,1,2025-03-20,2021-04-02,10
USR-0000370,ACC-00444,Developer,1,2025-02-05,2021-11-16,8
USR-0000371,ACC-00068,Developer,1,2025-02-08,2024-03-18,16
USR-0000372,ACC-01218,Admin,1,2025-01-17,2022-08-27,14
USR-0000373,ACC-01709,Developer,1,2025-02-10,2024-10-01,15
USR-0000374,ACC-00011,Developer,1,2025-01-18,2024-07-16,17
USR-0000375,ACC-00693,Admin,0,2024-09-23,2024-11-07,0
USR-0000376,ACC-00189,Analyst,1,2025-01-01,2024-06-13,26
USR-0000377,ACC-01764,Developer,1,2025-02-15,2021-06-21,20
USR-0000378,ACC-01541,Viewer,1,2025-03-14,2021-03-18,20
USR-0000379,ACC-00201,Manager,1,2025-03-01,2023-04-07,22
USR-0000380,ACC-01695,Viewer,1,2025-01-26,2021-11-28,28
USR-0000381,ACC-01103,Viewer,0,2025-01-02,2024-02-06,4
USR-0000382,ACC-01152,Manager,1,2025-02-25,2022-07-30,13
