batch_id,production_line,product,batch_start,batch_end,planned_units,units_produced,defect_count,downtime_minutes,machine_id,failure_event
B-00712,Line-D,Widget-A,2025-02-08 00:00:00,2025-02-08 08:00:00,291,278,6,20.8,MCH-0033,0
B-00726,Line-E,Rotor-M,2025-02-08 00:00:00,2025-02-08 08:00:00,331,311,6,22.7,MCH-0039,0
B-01628,Line-B,Bracket-Z,2025-02-18 00:00:00,2025-02-18 08:00:00,430,325,28,176.4,MCH-0031,1
B-03879,Line-D,Gear-X,2025-03-15 16:00:00,2025-03-16 00:00:00,328,317,8,13.3,MCH-0043,0
B-00660,Line-C,Rotor-M,2025-02-08 08:00:00,2025-02-08 16:00:00,330,312,6,21.2,MCH-0002,0
B-02485,Line-B,Rotor-M,2025-02-28 08:00:00,2025-02-28 16:00:00,281,268,12,30.5,MCH-0016,0
B-00987,Line-A,Valve-Q,2025-02-11 16:00:00,2025-02-12 00:00:00,294,274,7,19.0,MCH-0030,0
B-02273,Line-C,Rotor-M,2025-02-26 16:00:00,2025-02-27 00:00:00,336,264,33,170.6,MCH-0002,1
B-00480,Line-D,Valve-Q,2025-02-06 16:00:00,2025-02-07 00:00:00,336,319,9,19.0,MCH-0003,0
B-02733,Line-A,Bracket-Z,2025-03-03 08:00:00,2025-03-03 16:00:00,356,328,12,37.9,MCH-0010,0
B-02739,Line-E,Bracket-Z,2025-03-03 08:00:00,2025-03-03 16:00:00,345,316,14,36.1,MCH-0014,0
B-01842,Line-D,Gear-X,2025-02-20 16:00:00,2025-02-21 00:00:00,418,328,27,158.1,MCH-0048,1
B-03862,Line-E,Widget-A,2025-03-15 00:00:00,2025-03-15 08:00:00,285,270,8,16.7,MCH-0034,0
B-02935,Line-C,Rotor-M,2025-03-05 08:00:00,2025-03-05 16:00:00,329,317,12,23.6,MCH-0022,0
B-03952,Line-C,Widget-A,2025-03-16 08:00:00,2025-03-16 16:00:00,294,267,11,46.3,MCH-0037,0
B-03140,Line-C,Valve-Q,2025-03-07 08:00:00,2025-03-07 16:00:00,360,339,12,22.0,MCH-0037,0
B-02873,Line-D,Gear-X,2025-03-04 16:00:00,2025-03-05 00:00:00,330,307,9,33.6,MCH-0038,0
B-00056,Line-C,Gear-X,2025-02-01 08:00:00,2025-02-01 16:00:00,295,273,7,38.8,MCH-0032,0
B-01093,Line-A,Widget-A,2025-02-12 00:00:00,2025-02-12 08:00:00,266,250,8,37.9,MCH-0035,0
B-02546,Line-E,Bracket-Z,2025-03-01 00:00:00,2025-03-01 08:00:00,353,327,10,33.8,MCH-0004,0
B-00699,Line-C,Rotor-M,2025-02-08 16:00:00,2025-02-09 00:00:00,284,274,8,24.5,MCH-0027,0
B-01101,Line-D,Bracket-Z,2025-02-12 08:00:00,2025-02-12 16:00:00,353,253,32,221.7,MCH-0043,1
B-02962,Line-B,Gear-X,2025-03-05 16:00:00,2025-03-06 00:00:00,306,286,9,21.7,MCH-0036,0
B-00926,Line-C,Widget-A,2025-02-10 16:00:00,2025-02-11 00:00:00,256,244,7,15.1,MCH-0047,0
B-03762,Line-C,Bracket-Z,2025-03-14 16:00:00,2025-03-15 00:00:00,320,299,12,32.4,MCH-0027,0
B-02871,Line-C,Gear-X,2025-03-04 16:00:00,2025-03-05 00:00:00,376,354,11,33.8,MCH-0037,0
B-01476,Line-A,Rotor-M,2025-02-16 08:00:00,2025-02-16 16:00:00,364,335,9,37.3,MCH-0045,0
B-02936,Line-D,Gear-X,2025-03-05 08:00:00,2025-03-05 16:00:00,352,269,30,156.9,MCH-0023,1
B-02790,Line-E,Valve-Q,2025-03-03 08:00:00,2025-03-03 16:00:00,340,329,11,15.7,MCH-0044,0
B-02399,Line-A,Widget-A,2025-02-27 16:00:00,2025-02-28 00:00:00,263,234,9,46.0,MCH-0020,0
B-01630,Line-C,Widget-A,2025-02-18 16:00:00,2025-02-19 00:00:00,246,218,20,66.8,MCH-0032,1
B-01252,Line-C,Rotor-M,2025-02-14 16:00:00,2025-02-15 00:00:00,327,254,22,180.6,MCH-0022,1
B-03304,Line-C,Rotor-M,2025-03-09 08:00:00,2025-03-09 16:00:00,275,261,9,38.2,MCH-0027,0
B-00522,Line-A,Rotor-M,2025-02-06 00:00:00,2025-02-06 08:00:00,315,244,16,146.0,MCH-0025,1
B-02285,Line-E,Gear-X,2025-02-26 08:00:00,2025-02-26 16:00:00,259,201,19,166.9,MCH-0009,1
B-00693,Line-C,Widget-A,2025-02-08 00:00:00,2025-02-08 08:00:00,359,340,10,31.5,MCH-0022,0
B-01618,Line-C,Valve-Q,2025-02-18 16:00:00,2025-02-19 00:00:00,323,240,29,173.0,MCH-0027,1
B-01507,Line-A,Valve-Q,2025-02-17 16:00:00,2025-02-18 00:00:00,314,299,12,30.4,MCH-0010,0
B-02526,Line-D,Rotor-M,2025-02-28 16:00:00,2025-03-01 00:00:00,343,325,10,33.3,MCH-0038,0
B-01013,Line-A,Bracket-Z,2025-02-11 08:00:00,2025-02-11 16:00:00,359,328,11,44.7,MCH-0045,0
B-01764,Line-B,Widget-A,2025-02-20 16:00:00,2025-02-21 00:00:00,351,247,29,232.1,MCH-0001,1
B-00493,Line-E,Rotor-M,2025-02-06 16:00:00,2025-02-07 00:00:00,354,333,12,20.1,MCH-0009,0
B-02707,Line-C,Widget-A,2025-03-02 08:00:00,2025-03-02 16:00:00,271,262,6,16.3,MCH-0047,0
B-01975,Line-B,Bracket-Z,2025-02-22 08:00:00,2025-02-22 16:00:00,308,287,10,39.1,MCH-0031,0
B-03496,Line-C,Rotor-M,2025-03-11 00:00:00,2025-03-11 08:00:00,326,309,11,29.4,MCH-0037,0
B-01613,Line-C,Widget-A,2025-02-18 16:00:00,2025-02-19 00:00:00,314,228,23,194.6,MCH-0022,1
B-03274,Line-C,Rotor-M,2025-03-09 08:00:00,2025-03-09 16:00:00,346,325,12,24.0,MCH-0012,0
B-03588,Line-A,Rotor-M,2025-03-12 00:00:00,2025-03-12 08:00:00,367,349,13,24.1,MCH-0035,0
B-04007,Line-D,Valve-Q,2025-03-17 16:00:00,2025-03-18 00:00:00,363,305,28,112.4,MCH-0023,1
B-01394,Line-B,Bracket-Z,2025-02-16 08:00:00,2025-02-16 16:00:00,293,279,13,30.8,MCH-0001,0
B-00639,Line-E,Rotor-M,2025-02-07 00:00:00,2025-02-07 08:00:00,334,280,29,99.8,MCH-0039,1
B-03826,Line-C,Valve-Q,2025-03-15 16:00:00,2025-03-16 00:00:00,290,283,9,21.8,MCH-0012,0
B-00927,Line-C,Bracket-Z,2025-02-10 00:00:00,2025-02-10 08:00:00,272,253,7,26.0,MCH-0047,0
B-02215,Line-E,Gear-X,2025-02-25 16:00:00,2025-02-26 00:00:00,370,280,30,168.8,MCH-0019,1
B-02249,Line-C,Widget-A,2025-02-25 00:00:00,2025-02-25 08:00:00,258,195,19,160.3,MCH-0037,1
B-02751,Line-B,Valve-Q,2025-03-03 16:00:00,2025-03-04 00:00:00,357,329,11,34.3,MCH-0021,0
B-01399,Line-E,Rotor-M,2025-02-16 00:00:00,2025-02-16 08:00:00,401,391,10,8.7,MCH-0004,0
B-02696,Line-A,Bracket-Z,2025-03-02 08:00:00,2025-03-02 16:00:00,347,334,15,23.3,MCH-0040,0
B-00769,Line-C,Bracket-Z,2025-02-09 08:00:00,2025-02-09 16:00:00,292,271,7,28.8,MCH-0012,0
B-02665,Line-D,Widget-A,2025-03-02 00:00:00,2025-03-02 08:00:00,334,319,8,29.2,MCH-0023,0
B-02777,Line-A,Widget-A,2025-03-03 08:00:00,2025-03-03 16:00:00,245,197,24,158.1,MCH-0035,1
B-02726,Line-B,Widget-A,2025-03-03 08:00:00,2025-03-03 16:00:00,339,314,9,38.9,MCH-0006,0
B-02167,Line-D,Widget-A,2025-02-24 16:00:00,2025-02-25 00:00:00,286,214,23,193.4,MCH-0043,1
B-01518,Line-B,Widget-A,2025-02-17 16:00:00,2025-02-18 00:00:00,247,182,17,198.2,MCH-0016,1
B-00227,Line-A,Widget-A,2025-02-03 00:00:00,2025-02-03 08:00:00,259,237,7,43.5,MCH-0025,0
B-03199,Line-D,Widget-A,2025-03-08 08:00:00,2025-03-08 16:00:00,272,268,6,10.9,MCH-0018,0
B-01236,Line-D,Rotor-M,2025-02-14 00:00:00,2025-02-14 08:00:00,252,239,6,30.5,MCH-0013,0
B-01572,Line-B,Rotor-M,2025-02-17 08:00:00,2025-02-17 16:00:00,340,314,10,37.5,MCH-0046,0
B-01792,Line-D,Rotor-M,2025-02-20 16:00:00,2025-02-21 00:00:00,308,295,9,34.8,MCH-0018,0
B-01079,Line-E,Gear-X,2025-02-12 16:00:00,2025-02-13 00:00:00,301,297,7,13.3,MCH-0029,0
B-02179,Line-C,Valve-Q,2025-02-24 00:00:00,2025-02-24 08:00:00,306,285,6,27.9,MCH-0047,0
B-02101,Line-C,Gear-X,2025-02-24 00:00:00,2025-02-24 08:00:00,351,332,11,19.8,MCH-0007,0
B-00272,Line-A,Gear-X,2025-02-04 08:00:00,2025-02-04 16:00:00,317,309,8,18.8,MCH-0005,0
B-01087,Line-C,Rotor-M,2025-02-12 08:00:00,2025-02-12 16:00:00,374,317,38,122.4,MCH-0032,1
B-03094,Line-E,Gear-X,2025-03-07 00:00:00,2025-03-07 08:00:00,289,271,11,32.4,MCH-0014,0
B-02891,Line-E,Widget-A,2025-03-04 08:00:00,2025-03-04 16:00:00,305,296,8,26.2,MCH-0049,0
B-03466,Line-E,Bracket-Z,2025-03-11 16:00:00,2025-03-12 00:00:00,240,222,8,34.3,MCH-0019,0
B-00977,Line-B,Gear-X,2025-02-11 08:00:00,2025-02-11 16:00:00,353,319,13,65.1,MCH-0026,0
B-03328,Line-E,Rotor-M,2025-03-09 00:00:00,2025-03-09 08:00:00,388,361,10,40.8,MCH-0044,0
B-01760,Line-D,Valve-Q,2025-02-19 16:00:00,2025-02-20 00:00:00,289,227,26,134.4,MCH-0048,1
B-02579,Line-A,Bracket-Z,2025-03-01 08:00:00,2025-03-01 16:00:00,278,262,5,18.3,MCH-0030,0
B-04047,Line-B,Gear-X,2025-03-17 08:00:00,2025-03-17 16:00:00,363,266,22,205.4,MCH-0046,1
B-00241,Line-A,Gear-X,2025-02-03 00:00:00,2025-02-03 08:00:00,295,237,20,128.4,MCH-0035,1
B-00201,Line-D,Rotor-M,2025-02-03 16:00:00,2025-02-04 00:00:00,245,227,5,24.9,MCH-0013,0
B-02635,Line-E,Valve-Q,2025-03-02 08:00:00,2025-03-02 16:00:00,252,243,9,25.6,MCH-0009,0
B-00128,Line-D,Bracket-Z,2025-02-02 16:00:00,2025-02-03 00:00:00,288,282,5,15.2,MCH-0018,0
B-03439,Line-E,Rotor-M,2025-03-11 00:00:00,2025-03-11 08:00:00,346,321,9,31.4,MCH-0004,0
B-01749,Line-D,Valve-Q,2025-02-19 08:00:00,2025-02-19 16:00:00,311,296,10,33.0,MCH-0043,0
B-02204,Line-D,Valve-Q,2025-02-25 16:00:00,2025-02-26 00:00:00,312,288,9,31.0,MCH-0013,0
B-01624,Line-E,Widget-A,2025-02-18 16:00:00,2025-02-19 00:00:00,340,317,7,33.5,MCH-0029,0
B-02371,Line-A,Rotor-M,2025-02-27 16:00:00,2025-02-28 00:00:00,290,225,25,150.5,MCH-0005,1
B-02766,Line-A,Widget-A,2025-03-03 16:00:00,2025-03-04 00:00:00,358,346,8,14.6,MCH-0030,0
B-02223,Line-A,Rotor-M,2025-02-25 00:00:00,2025-02-25 08:00:00,387,368,8,32.4,MCH-0025,0
B-01851,Line-D,Widget-A,2025-02-21 00:00:00,2025-02-21 08:00:00,310,302,9,22.6,MCH-0003,0
B-00431,Line-A,Rotor-M,2025-02-05 16:00:00,2025-02-06 00:00:00,318,301,11,16.1,MCH-0030,0
B-02735,Line-C,Bracket-Z,2025-03-03 00:00:00,2025-03-03 08:00:00,196,183,6,26.6,MCH-0012,0
B-00915,Line-B,Widget-A,2025-02-10 08:00:00,2025-02-10 16:00:00,360,309,26,104.0,MCH-0041,1
B-02759,Line-C,Gear-X,2025-03-03 08:00:00,2025-03-03 16:00:00,297,274,12,34.7,MCH-0027,0
B-00260,Line-E,Valve-Q,2025-02-03 00:00:00,2025-02-03 08:00:00,311,285,10,31.6,MCH-0049,0
B-03413,Line-E,Widget-A,2025-03-10 16:00:00,2025-03-11 00:00:00,312,294,7,13.5,MCH-0039,0
B-03750,Line-E,Bracket-Z,2025-03-14 00:00:00,2025-03-14 08:00:00,305,232,32,176.7,MCH-0019,1
B-03959,Line-B,Bracket-Z,2025-03-16 08:00:00,2025-03-16 16:00:00,320,313,9,6.4,MCH-0041,0
B-03341,Line-C,Valve-Q,2025-03-10 08:00:00,2025-03-10 16:00:00,324,257,23,150.0,MCH-0002,1
B-03476,Line-A,Rotor-M,2025-03-11 08:00:00,2025-03-11 16:00:00,365,341,12,25.4,MCH-0025,0
B-03591,Line-B,Rotor-M,2025-03-12 08:00:00,2025-03-12 16:00:00,319,298,9,28.6,MCH-0036,0
B-01596,Line-C,Bracket-Z,2025-02-18 16:00:00,2025-02-19 00:00:00,343,318,12,41.0,MCH-0012,0
B-02059,Line-D,Widget-A,2025-02-23 00:00:00,2025-02-23 08:00:00,311,297,7,14.0,MCH-0033,0
B-03017,Line-A,Widget-A,2025-03-06 08:00:00,2025-03-06 16:00:00,294,269,9,44.5,MCH-0015,0
B-02911,Line-A,Gear-X,2025-03-05 00:00:00,2025-03-05 08:00:00,330,269,21,139.6,MCH-0010,1
B-01081,Line-A,Gear-X,2025-02-12 16:00:00,2025-02-13 00:00:00,328,264,26,154.0,MCH-0030,1
B-01026,Line-C,Bracket-Z,2025-02-12 00:00:00,2025-02-12 08:00:00,375,371,10,3.9,MCH-0002,0
B-01389,Line-D,Gear-X,2025-02-15 00:00:00,2025-02-15 08:00:00,324,306,9,37.1,MCH-0048,0
B-02514,Line-A,Widget-A,2025-02-28 16:00:00,2025-03-01 00:00:00,380,365,8,16.3,MCH-0030,0
B-03816,Line-E,Valve-Q,2025-03-15 08:00:00,2025-03-15 16:00:00,301,224,17,169.6,MCH-0009,1
B-02292,Line-C,Gear-X,2025-02-26 16:00:00,2025-02-27 00:00:00,299,273,13,53.2,MCH-0012,0
B-03896,Line-C,Rotor-M,2025-03-16 16:00:00,2025-03-17 00:00:00,357,334,11,22.4,MCH-0002,0
B-01780,Line-E,Valve-Q,2025-02-20 16:00:00,2025-02-21 00:00:00,249,234,12,49.1,MCH-0009,0
B-00369,Line-C,Widget-A,2025-02-05 08:00:00,2025-02-05 16:00:00,325,317,7,10.6,MCH-0002,0
B-02628,Line-A,Rotor-M,2025-03-02 16:00:00,2025-03-03 00:00:00,390,376,10,14.7,MCH-0005,0
B-02941,Line-B,Valve-Q,2025-03-05 16:00:00,2025-03-06 00:00:00,295,258,29,89.7,MCH-0026,1
B-03141,Line-C,Rotor-M,2025-03-07 08:00:00,2025-03-07 16:00:00,271,253,9,43.3,MCH-0037,0
B-01206,Line-D,Gear-X,2025-02-13 00:00:00,2025-02-13 08:00:00,331,318,10,31.0,MCH-0048,0
B-01733,Line-E,Widget-A,2025-02-19 00:00:00,2025-02-19 08:00:00,326,305,10,31.9,MCH-0034,0
B-01891,Line-A,Bracket-Z,2025-02-21 00:00:00,2025-02-21 08:00:00,326,305,7,21.4,MCH-0025,0
B-00269,Line-D,Valve-Q,2025-02-04 08:00:00,2025-02-04 16:00:00,329,316,10,28.2,MCH-0003,0
B-02201,Line-A,Gear-X,2025-02-25 00:00:00,2025-02-25 08:00:00,321,296,14,30.1,MCH-0010,0
B-01345,Line-C,Rotor-M,2025-02-15 16:00:00,2025-02-16 00:00:00,254,225,23,60.0,MCH-0022,1
B-01719,Line-C,Widget-A,2025-02-19 00:00:00,2025-02-19 08:00:00,336,307,10,38.7,MCH-0027,0
B-02667,Line-E,Widget-A,2025-03-02 08:00:00,2025-03-02 16:00:00,275,259,8,36.2,MCH-0024,0
B-01442,Line-C,Gear-X,2025-02-16 08:00:00,2025-02-16 16:00:00,337,328,11,11.3,MCH-0027,0
B-02900,Line-A,Rotor-M,2025-03-05 08:00:00,2025-03-05 16:00:00,237,215,6,34.0,MCH-0005,0
B-02898,Line-E,Valve-Q,2025-03-05 16:00:00,2025-03-06 00:00:00,358,335,8,27.3,MCH-0004,0
B-03342,Line-D,Rotor-M,2025-03-10 08:00:00,2025-03-10 16:00:00,324,302,12,37.7,MCH-0003,0
B-01033,Line-B,Rotor-M,2025-02-12 16:00:00,2025-02-13 00:00:00,360,338,10,30.5,MCH-0006,0
B-02980,Line-A,Rotor-M,2025-03-05 00:00:00,2025-03-05 08:00:00,414,395,13,11.9,MCH-0045,0
B-02258,Line-C,Bracket-Z,2025-02-25 08:00:00,2025-02-25 16:00:00,287,266,9,20.4,MCH-0042,0
B-00716,Line-E,Rotor-M,2025-02-08 08:00:00,2025-02-08 16:00:00,342,296,34,93.7,MCH-0034,1
B-00962,Line-A,Rotor-M,2025-02-11 00:00:00,2025-02-11 08:00:00,350,348,7,6.5,MCH-0015,0
B-00791,Line-C,Widget-A,2025-02-09 16:00:00,2025-02-10 00:00:00,244,220,7,38.3,MCH-0022,0
B-02566,Line-E,Gear-X,2025-03-01 00:00:00,2025-03-01 08:00:00,279,266,9,34.2,MCH-0019,0
B-01550,Line-E,Widget-A,2025-02-17 16:00:00,2025-02-18 00:00:00,344,285,33,134.2,MCH-0034,1
B-02998,Line-B,Valve-Q,2025-03-06 16:00:00,2025-03-07 00:00:00,249,247,7,7.6,MCH-0006,0
B-01633,Line-E,Widget-A,2025-02-18 08:00:00,2025-02-18 16:00:00,277,220,19,134.3,MCH-0034,1
B-04053,Line-D,Valve-Q,2025-03-17 08:00:00,2025-03-17 16:00:00,343,328,8,14.5,MCH-0048,0
B-01862,Line-C,Widget-A,2025-02-21 08:00:00,2025-02-21 16:00:00,334,277,20,136.1,MCH-0007,1
B-03187,Line-B,Widget-A,2025-03-08 08:00:00,2025-03-08 16:00:00,253,243,7,28.3,MCH-0011,0
B-03705,Line-C,Widget-A,2025-03-13 08:00:00,2025-03-13 16:00:00,265,260,7,16.2,MCH-0047,0
B-03310,Line-D,Rotor-M,2025-03-09 08:00:00,2025-03-09 16:00:00,258,207,14,116.2,MCH-0033,1
B-01805,Line-C,Valve-Q,2025-02-20 08:00:00,2025-02-20 16:00:00,316,295,12,34.4,MCH-0027,0
B-02862,Line-B,Rotor-M,2025-03-04 08:00:00,2025-03-04 16:00:00,281,256,8,41.9,MCH-0031,0
B-02118,Line-D,Valve-Q,2025-02-24 16:00:00,2025-02-25 00:00:00,312,241,31,180.1,MCH-0013,1
B-02645,Line-E,Gear-X,2025-03-02 16:00:00,2025-03-03 00:00:00,313,290,9,36.4,MCH-0014,0
B-03842,Line-B,Gear-X,2025-03-15 08:00:00,2025-03-15 16:00:00,329,303,7,35.5,MCH-0021,0
B-01590,Line-E,Gear-X,2025-02-18 08:00:00,2025-02-18 16:00:00,324,302,13,36.0,MCH-0009,0
B-01581,Line-D,Rotor-M,2025-02-18 16:00:00,2025-02-19 00:00:00,290,280,9,18.5,MCH-0003,0
B-02861,Line-A,Valve-Q,2025-03-04 00:00:00,2025-03-04 08:00:00,353,342,8,19.3,MCH-0030,0
B-03261,Line-D,Bracket-Z,2025-03-09 00:00:00,2025-03-09 08:00:00,295,288,7,21.5,MCH-0003,0
B-00766,Line-B,Gear-X,2025-02-09 08:00:00,2025-02-09 16:00:00,296,267,7,47.3,MCH-0011,0
B-02912,Line-A,Gear-X,2025-03-05 16:00:00,2025-03-06 00:00:00,346,250,29,200.0,MCH-0010,1
B-01522,Line-E,Rotor-M,2025-02-17 08:00:00,2025-02-17 16:00:00,379,306,34,145.6,MCH-0019,1
B-02450,Line-A,Valve-Q,2025-02-27 00:00:00,2025-02-27 08:00:00,341,329,17,12.2,MCH-0050,0
B-00950,Line-A,Widget-A,2025-02-11 08:00:00,2025-02-11 16:00:00,229,211,7,31.5,MCH-0010,0
B-02593,Line-D,Bracket-Z,2025-03-01 08:00:00,2025-03-01 16:00:00,312,298,10,25.7,MCH-0038,0
B-02746,Line-E,Gear-X,2025-03-03 08:00:00,2025-03-03 16:00:00,364,342,14,38.9,MCH-0019,0
B-00863,Line-B,Widget-A,2025-02-10 16:00:00,2025-02-11 00:00:00,303,242,30,159.2,MCH-0016,1
B-02489,Line-D,Widget-A,2025-02-28 08:00:00,2025-02-28 16:00:00,297,291,9,0.0,MCH-0018,0
B-02327,Line-B,Bracket-Z,2025-02-26 08:00:00,2025-02-26 16:00:00,335,317,11,13.2,MCH-0031,0
B-03692,Line-C,Rotor-M,2025-03-13 00:00:00,2025-03-13 08:00:00,333,314,12,36.4,MCH-0042,0
B-01880,Line-E,Bracket-Z,2025-02-21 08:00:00,2025-02-21 16:00:00,357,335,13,39.9,MCH-0019,0
B-03137,Line-E,Widget-A,2025-03-07 00:00:00,2025-03-07 08:00:00,275,257,8,22.9,MCH-0034,0
B-02328,Line-B,Widget-A,2025-02-26 16:00:00,2025-02-27 00:00:00,294,270,9,42.5,MCH-0031,0
B-02107,Line-E,Valve-Q,2025-02-24 08:00:00,2025-02-24 16:00:00,348,252,31,209.7,MCH-0009,1
B-03789,Line-C,Bracket-Z,2025-03-14 00:00:00,2025-03-14 08:00:00,351,342,9,20.1,MCH-0042,0
B-03860,Line-C,Widget-A,2025-03-15 00:00:00,2025-03-15 08:00:00,277,258,11,35.3,MCH-0032,0
B-00944,Line-B,Widget-A,2025-02-11 00:00:00,2025-02-11 08:00:00,315,309,9,14.0,MCH-0006,0
B-02451,Line-A,Rotor-M,2025-02-27 00:00:00,2025-02-27 08:00:00,264,251,13,39.6,MCH-0050,0
B-00519,Line-E,Gear-X,2025-02-06 16:00:00,2025-02-07 00:00:00,272,260,10,34.8,MCH-0024,0
B-00931,Line-E,Gear-X,2025-02-10 08:00:00,2025-02-10 16:00:00,337,328,11,18.6,MCH-0049,0
B-01479,Line-B,Gear-X,2025-02-16 00:00:00,2025-02-16 08:00:00,281,225,21,136.2,MCH-0046,1
B-03749,Line-D,Widget-A,2025-03-14 00:00:00,2025-03-14 08:00:00,307,289,8,27.1,MCH-0018,0
B-01422,Line-C,Rotor-M,2025-02-16 08:00:00,2025-02-16 16:00:00,297,290,6,3.6,MCH-0017,0
B-01595,Line-C,Rotor-M,2025-02-18 16:00:00,2025-02-19 00:00:00,321,306,11,30.1,MCH-0012,0
B-01204,Line-C,Valve-Q,2025-02-13 16:00:00,2025-02-14 00:00:00,362,347,8,4.6,MCH-0047,0
B-00112,Line-C,Rotor-M,2025-02-02 16:00:00,2025-02-03 00:00:00,251,239,6,26.5,MCH-0012,0
B-00147,Line-A,Rotor-M,2025-02-02 08:00:00,2025-02-02 16:00:00,276,257,7,33.1,MCH-0030,0
B-00299,Line-E,Bracket-Z,2025-02-04 16:00:00,2025-02-05 00:00:00,304,220,17,190.1,MCH-0019,1
B-02429,Line-D,Valve-Q,2025-02-27 08:00:00,2025-02-27 16:00:00,356,333,14,26.9,MCH-0038,0
B-01095,Line-B,Widget-A,2025-02-12 08:00:00,2025-02-12 16:00:00,323,256,29,147.4,MCH-0036,1
B-01727,Line-A,Valve-Q,2025-02-19 16:00:00,2025-02-20 00:00:00,287,257,22,77.7,MCH-0030,1
B-02652,Line-D,Gear-X,2025-03-02 16:00:00,2025-03-03 00:00:00,312,301,6,1.6,MCH-0018,0
B-03696,Line-E,Rotor-M,2025-03-13 16:00:00,2025-03-14 00:00:00,404,377,12,39.1,MCH-0044,0
B-03408,Line-A,Widget-A,2025-03-10 00:00:00,2025-03-10 08:00:00,281,260,13,41.4,MCH-0035,0
B-02775,Line-D,Rotor-M,2025-03-03 16:00:00,2025-03-04 00:00:00,319,239,20,195.6,MCH-0033,1
B-00869,Line-D,Widget-A,2025-02-10 16:00:00,2025-02-11 00:00:00,349,338,10,18.3,MCH-0018,0
