reading_id,machine_id,production_line,reading_timestamp,temperature,pressure,vibration,humidity
R-000029,MCH-0020,Line-D,2025-02-16 01:57:00,63.61,173.59,3.127,38.5
R-000030,MCH-0036,Line-B,2025-02-22 19:47:00,90.61,188.06,4.943,28.6
R-000031,MCH-0012,Line-A,2025-02-22 00:11:00,74.09,132.09,4.806,38.9
R-000032,MCH-0048,Line-B,2025-02-01 08:10:00,76.34,140.7,4.599,33.6
R-000033,MCH-0015,Line-C,2025-01-26 14:22:00,67.74,183.5,3.525,46.7
R-000034,MCH-0013,Line-C,2025-02-21 10:17:00,95.62,110.69,3.291,56.3
R-000035,MCH-0026,Line-B,2025-03-28 17:21:00,80.51,146.31,3.993,44.1
R-000036,MCH-0017,Line-A,2025-01-05 03:38:00,57.24,162.91,3.075,55.1
R-000037,MCH-0033,Line-B,2025-01-15 12:57:00,66.84,142.9,3.488,44.6
R-000038,MCH-0035,Line-D,2025-03-29 23:47:00,74.35,136.79,1.728,53.2
R-000039,MCH-0022,Line-B,2025-03-21 10:42:00,86.06,123.96,3.286,51.5
R-000040,MCH-0027,Line-A,2025-02-11 12:44:00,73.23,160.01,1.833,54.1
R-000041,MCH-0044,Line-A,2025-01-23 19:36:00,70.24,173.92,4.158,45.0
R-000042,MCH-0028,Line-C,2025-03-16 19:41:00,69.32,169.41,3.069,36.5
R-000043,MCH-0048,Line-B,2025-01-22 21:05:00,71.27,178.87,3.241,42.6
R-000044,MCH-0049,Line-B,2025-01-31 21:19:00,76.27,163.16,4.093,45.9
R-000045,MCH-0031,Line-D,2025-03-20 02:29:00,60.47,164.44,3.923,56.6
R-000046,MCH-0032,Line-B,2025-02-21 07:09:00,74.3,148.25,3.508,31.3
R-000047,MCH-0007,Line-D,2025-02-24 07:11:00,81.17,120.91,2.504,47.3
R-000048,MCH-0008,Line-C,2025-02-28 04:51:00,60.59,155.42,2.848,42.5
R-000049,MCH-0049,Line-B,2025-02-26 19:52:00,72.27,126.73,3.989,36.2
R-000050,MCH-0011,Line-A,2025-03-02 14:16:00,75.26,111.72,3.263,58.7
R-000051,MCH-0032,Line-B,2025-03-22 07:17:00,57.36,161.67,3.57,52.2
R-000052,MCH-0035,Line-D,2025-01-11 04:09:00,77.17,180.56,3.421,42.2
R-000053,MCH-0027,Line-A,2025-02-12 17:29:00,67.95,156.87,1.979,53.3
R-000054,MCH-0038,Line-B,2025-03-31 00:54:00,86.5,132.15,1.607,47.8
R-000055,MCH-0020,Line-D,2025-02-19 13:34:00,74.76,124.86,3.05,41.6
R-000056,MCH-0015,Line-C,2025-02-04 13:31:00,85.68,153.28,3.149,37.7
R-000057,MCH-0011,Line-A,2025-03-01 04:39:00,49.45,140.73,2.511,38.6
R-000058,MCH-0006,Line-A,2025-03-24 13:08:00,80.09,140.6,3.455,52.1
R-000059,MCH-0030,Line-C,2025-02-11 10:48:00,82.05,138.92,4.298,42.5
R-000060,MCH-0006,Line-A,2025-03-02 00:47:00,24.85,128.86,2.819,54.4
R-000061,MCH-0050,Line-A,2025-03-25 01:48:00,83.87,152.92,4.093,35.6
R-000062,MCH-0016,Line-C,2025-01-17 15:42:00,96.94,182.0,2.899,46.3
R-000063,MCH-0024,Line-B,2025-01-22 19:38:00,93.61,142.81,3.583,40.3
R-000064,MCH-0020,Line-D,2025-01-14 18:01:00,89.17,138.68,4.15,40.8
R-000065,MCH-0046,Line-C,2025-01-26 02:37:00,68.85,123.84,4.604,53.2
R-000066,MCH-0044,Line-A,2025-03-18 03:50:00,95.86,146.46,3.015,51.9
R-000067,MCH-0024,Line-B,2025-01-09 16:41:00,62.33,182.71,3.666,41.6
R-000068,MCH-0024,Line-B,2025-03-23 14:45:00,79.28,160.21,2.351,43.4
R-000069,MCH-0040,Line-D,2025-03-10 15:29:00,57.12,162.76,3.32,60.5
R-000070,MCH-0006,Line-A,2025-02-05 14:15:00,75.05,124.02,3.144,38.7
R-000071,MCH-0032,Line-B,2025-02-11 05:31:00,80.06,184.75,2.614,58.9
R-000072,MCH-0045,Line-B,2025-02-05 17:00:00,67.23,148.64,3.544,53.2
R-000073,MCH-0036,Line-B,2025-01-31 22:30:00,66.52,131.56,3.594,41.6
R-000074,MCH-0015,Line-C,2025-02-21 22:15:00,69.52,174.77,2.53,46.6
R-000075,MCH-0028,Line-C,2025-03-12 10:22:00,72.22,134.79,3.496,49.1
R-000076,MCH-0013,Line-C,2025-02-10 03:47:00,55.18,142.43,3.721,50.1
R-000077,MCH-0031,Line-D,2025-02-05 23:37:00,89.48,146.43,3.424,48.6
R-000078,MCH-0013,Line-C,2025-02-07 07:23:00,75.87,153.05,2.874,43.6
R-000079,MCH-0004,Line-A,2025-03-12 09:44:00,91.06,140.19,3.507,41.3
R-000080,MCH-0001,Line-A,2025-03-15 09:30:00,64.14,152.43,4.096,43.7
R-000081,MCH-0031,Line-D,2025-01-15 02:25:00,59.28,151.36,3.322,40.8
R-000082,MCH-0037,Line-A,2025-02-08 02:15:00,90.01,173.04,2.389,36.2
R-000083,MCH-0015,Line-C,2025-03-08 12:28:00,83.46,140.86,2.781,40.5
R-000084,MCH-0037,Line-A,2025-03-21 01:39:00,80.31,147.73,3.59,33.8
R-000085,MCH-0017,Line-A,2025-03-26 02:10:00,75.97,175.29,3.954,51.8
R-000086,MCH-0045,Line-B,2025-03-18 15:18:00,84.69,153.36,3.176,60.5
R-000087,MCH-0005,Line-B,2025-03-29 07:59:00,73.06,185.25,2.28,37.3
R-000088,MCH-0013,Line-C,2025-02-24 03:34:00,76.07,161.22,3.457,49.4
R-000089,MCH-0004,Line-A,2025-01-22 09:38:00,74.9,124.04,3.401,49.0
R-000090,MCH-0045,Line-B,2025-02-08 22:25:00,88.23,141.7,3.173,45.1
R-000091,MCH-0003,Line-A,2025-02-25 23:20:00,72.82,147.22,3.658,56.9
R-000092,MCH-0037,Line-A,2025-03-17 00:48:00,70.54,136.0,4.802,48.4
R-000093,MCH-0031,Line-D,2025-03-08 20:28:00,81.56,143.63,2.524,39.2
R-000094,MCH-0032,Line-B,2025-01-12 15:22:00,66.14,159.58,3.875,47.9
R-000095,MCH-0027,Line-A,2025-03-30 15:18:00,68.66,132.75,3.514,42.8
R-000096,MCH-0006,Line-A,2025-02-10 08:20:00,90.41,172.91,4.487,33.8
R-000097,MCH-0001,Line-A,2025-03-26 17:29:00,68.39,156.68,2.631,55.3
R-000098,MCH-0041,Line-D,2025-02-26 01:13:00,74.32,160.54,3.109,61.0
R-000099,MCH-0032,Line-B,2025-01-16 00:40:00,68.12,140.65,4.051,53.5
R-000100,MCH-0036,Line-B,2025-02-22 02:14:00,101.48,147.85,3.112,46.0
R-000101,MCH-0010,Line-B,2025-03-05 22:18:00,65.42,149.11,4.638,25.7
R-000102,MCH-0016,Line-C,2025-02-28 17:09:00,54.83,180.17,1.857,44.1
R-000103,MCH-0005,Line-B,2025-02-05 13:21:00,88.09,140.44,3.78,39.1
R-000104,MCH-0020,Line-D,2025-03-17 18:42:00,68.21,150.74,2.785,43.2
R-000105,MCH-0036,Line-B,2025-03-11 12:29:00,97.1,133.47,4.087,44.3
R-000106,MCH-0025,Line-D,2025-01-30 13:02:00,69.36,170.59,4.171,40.9
R-000107,MCH-0043,Line-C,2025-03-25 04:31:00,81.08,147.72,4.202,43.4
R-000108,MCH-0007,Line-D,2025-02-26 03:33:00,76.79,148.12,4.499,57.7
R-000109,MCH-0010,Line-B,2025-01-10 15:50:00,85.71,146.5,3.092,34.2
R-000110,MCH-0022,Line-B,2025-03-28 17:24:00,91.15,142.02,4.204,39.0
R-000111,MCH-0035,Line-D,2025-01-05 19:04:00,76.74,180.24,3.366,50.6
R-000112,MCH-0006,Line-A,2025-02-25 03:48:00,58.75,119.76,2.345,49.3
R-000113,MCH-0002,Line-B,2025-01-06 10:50:00,85.61,156.51,2.957,47.5
R-000114,MCH-0027,Line-A,2025-03-14 21:50:00,78.17,161.23,2.893,40.0
R-000115,MCH-0044,Line-A,2025-01-31 15:58:00,67.44,142.74,2.925,38.2
R-000116,MCH-0043,Line-C,2025-01-02 14:57:00,71.46,174.46,5.224,53.6
R-000117,MCH-0038,Line-B,2025-02-08 20:27:00,70.14,129.44,2.512,74.1
R-000118,MCH-0031,Line-D,2025-01-14 07:24:00,60.88,138.58,4.169,44.7
R-000119,MCH-0043,Line-C,2025-02-20 08:00:00,58.28,137.75,3.492,42.5
R-000120,MCH-0039,Line-D,2025-03-05 09:49:00,79.96,123.94,2.818,54.1
R-000121,MCH-0040,Line-D,2025-02-02 21:48:00,71.8,121.14,4.093,35.4
R-000122,MCH-0041,Line-D,2025-03-24 01:19:00,75.75,144.94,3.219,48.2
R-000123,MCH-0019,Line-A,2025-02-11 23:26:00,77.88,159.51,1.431,39.8
R-000124,MCH-0034,Line-C,2025-03-06 08:53:00,88.6,188.07,5.466,37.8
R-000125,MCH-0019,Line-A,2025-02-13 03:29:00,81.43,147.45,5.052,41.7
R-000126,MCH-0047,Line-A,2025-03-28 12:54:00,78.85,132.03,3.534,43.7
R-000127,MCH-0035,Line-D,2025-01-16 14:23:00,66.64,123.57,2.218,37.5
R-000128,MCH-0024,Line-B,2025-01-14 21:14:00,58.58,154.96,4.168,42.5
R-000129,MCH-0040,Line-D,2025-01-29 20:04:00,66.16,133.2,3.15,34.0
R-000130,MCH-0008,Line-C,2025-01-18 01:02:00,70.32,171.95,4.869,54.6
R-000131,MCH-0009,Line-D,2025-02-19 14:23:00,65.52,121.06,4.286,42.2
R-000132,MCH-0048,Line-B,2025-01-20 13:41:00,86.31,163.51,1.851,55.7
R-000133,MCH-0003,Line-A,2025-03-30 11:13:00,47.41,167.08,3.725,42.1
R-000134,MCH-0044,Line-A,2025-02-17 17:57:00,86.2,147.38,3.084,48.1
R-000135,MCH-0008,Line-C,2025-02-28 02:42:00,79.04,177.76,3.754,44.5
R-000136,MCH-0022,Line-B,2025-02-01 04:50:00,70.84,147.02,3.552,39.6
R-000137,MCH-0014,Line-A,2025-01-30 10:49:00,90.47,184.37,5.082,45.3
R-000138,MCH-0010,Line-B,2025-01-17 17:16:00,76.74,140.79,3.784,41.8
R-000139,MCH-0023,Line-A,2025-01-31 18:20:00,84.38,151.55,4.085,51.0
R-000140,MCH-0008,Line-C,2025-01-09 15:28:00,77.52,126.37,4.233,51.0
R-000141,MCH-0040,Line-D,2025-01-06 23:50:00,89.79,134.09,3.134,55.9
R-000142,MCH-0002,Line-B,2025-01-08 15:54:00,60.11,167.64,1.749,46.1
R-000143,MCH-0005,Line-B,2025-01-11 10:38:00,78.72,158.34,2.746,37.5
R-000144,MCH-0046,Line-C,2025-02-11 12:38:00,62.05,145.8,3.212,42.8
R-000145,MCH-0045,Line-B,2025-01-15 20:41:00,85.92,132.4,4.063,38.7
R-000146,MCH-0015,Line-C,2025-02-22 10:52:00,63.08,155.97,4.198,49.7
R-000147,MCH-0043,Line-C,2025-02-02 11:09:00,69.74,129.08,3.784,46.8
R-000148,MCH-0028,Line-C,2025-01-13 23:47:00,70.59,157.58,5.363,52.4
R-000149,MCH-0036,Line-B,2025-02-12 21:07:00,54.33,171.62,4.282,42.0
R-000150,MCH-0047,Line-A,2025-01-07 09:38:00,72.85,158.64,3.037,44.8
R-000151,MCH-0031,Line-D,2025-01-29 03:22:00,81.48,134.19,3.583,34.6
R-000152,MCH-0028,Line-C,2025-03-13 19:39:00,68.05,127.27,2.593,37.6
R-000153,MCH-0045,Line-B,2025-02-04 00:11:00,72.04,183.55,4.155,41.5
R-000154,MCH-0012,Line-A,2025-01-19 18:42:00,69.61,156.46,3.366,43.5
R-000155,MCH-0048,Line-B,2025-03-09 06:24:00,65.4,158.81,2.624,54.3
R-000156,MCH-0050,Line-A,2025-03-14 19:05:00,80.19,142.22,3.507,42.4
R-000157,MCH-0006,Line-A,2025-02-04 14:42:00,60.43,162.56,3.022,47.9
R-000158,MCH-0033,Line-B,2025-01-15 11:27:00,88.86,169.33,2.684,39.6
R-000159,MCH-0020,Line-D,2025-01-06 07:25:00,79.01,149.34,4.045,63.5
R-000160,MCH-0050,Line-A,2025-01-18 08:18:00,74.3,152.2,3.491,40.0
R-000161,MCH-0025,Line-D,2025-03-10 22:14:00,52.28,149.94,3.607,42.1
R-000162,MCH-0048,Line-B,2025-01-06 13:01:00,70.32,152.01,3.173,52.8
R-000163,MCH-0026,Line-B,2025-03-23 13:18:00,76.85,152.72,2.849,57.8
R-000164,MCH-0040,Line-D,2025-02-28 22:58:00,66.69,166.35,4.173,50.3
R-000165,MCH-0026,Line-B,2025-03-09 02:25:00,88.64,125.94,3.747,58.7
R-000166,MCH-0005,Line-B,2025-03-07 20:07:00,67.27,147.49,3.622,37.7
R-000167,MCH-0042,Line-A,2025-01-19 07:06:00,79.82,160.55,2.418,36.9
R-000168,MCH-0042,Line-A,2025-01-10 05:49:00,65.7,133.92,2.53,40.9
R-000169,MCH-0044,Line-A,2025-03-14 20:40:00,85.57,148.51,4.186,43.7
R-000170,MCH-0029,Line-A,2025-01-09 15:28:00,60.48,123.78,2.874,41.0
R-000171,MCH-0005,Line-B,2025-02-09 14:28:00,86.19,154.49,3.234,56.2
R-000172,MCH-0006,Line-A,2025-03-20 19:32:00,63.17,167.49,4.757,41.3
R-000173,MCH-0003,Line-A,2025-02-27 18:41:00,81.19,175.23,1.488,44.8
R-000174,MCH-0029,Line-A,2025-01-14 10:45:00,89.93,164.57,4.717,48.1
R-000175,MCH-0029,Line-A,2025-03-09 16:39:00,81.29,166.23,3.332,53.0
R-000176,MCH-0022,Line-B,2025-03-28 19:03:00,79.23,122.0,3.826,46.4
R-000177,MCH-0044,Line-A,2025-02-19 09:16:00,72.12,121.16,4.853,36.0
R-000178,MCH-0022,Line-B,2025-01-11 18:42:00,82.02,164.4,4.713,42.5
R-000179,MCH-0026,Line-B,2025-01-17 19:45:00,84.56,143.46,2.488,54.9
R-000180,MCH-0009,Line-D,2025-03-27 22:53:00,113.85,127.65,3.802,43.1
R-000181,MCH-0043,Line-C,2025-02-24 16:23:00,85.25,151.96,4.197,42.8
R-000182,MCH-0050,Line-A,2025-03-04 06:14:00,81.96,150.0,3.1,58.5
R-000183,MCH-0033,Line-B,2025-03-11 23:56:00,57.57,145.11,4.292,37.2
R-000184,MCH-0039,Line-D,2025-02-18 04:10:00,82.76,177.87,2.277,32.8
R-000185,MCH-0047,Line-A,2025-02-26 01:26:00,62.41,174.02,4.579,42.9
R-000186,MCH-0049,Line-B,2025-02-27 07:34:00,77.12,201.8,3.871,28.1
R-000187,MCH-0013,Line-C,2025-02-17 21:36:00,88.29,147.83,3.344,52.7
R-000188,MCH-0034,Line-C,2025-02-23 05:52:00,80.08,175.9,3.683,43.1
R-000189,MCH-0031,Line-D,2025-02-17 17:59:00,93.55,173.24,3.889,39.7
R-000190,MCH-0049,Line-B,2025-01-21 08:28:00,80.61,143.67,1.712,52.4
R-000191,MCH-0015,Line-C,2025-02-27 11:59:00,78.91,151.1,2.913,44.9
R-000192,MCH-0006,Line-A,2025-02-17 07:01:00,72.71,158.3,3.341,37.9
R-000193,MCH-0010,Line-B,2025-01-18 01:18:00,86.78,138.78,4.158,33.2
R-000194,MCH-0031,Line-D,2025-02-27 19:00:00,76.95,147.82,3.597,49.4
R-000195,MCH-0047,Line-A,2025-03-19 16:27:00,82.58,160.6,3.421,47.4
R-000196,MCH-0027,Line-A,2025-03-23 19:29:00,96.09,164.64,2.509,45.0
R-000197,MCH-0041,Line-D,2025-03-07 18:15:00,73.04,133.73,4.246,45.1
R-000198,MCH-0037,Line-A,2025-02-23 05:42:00,67.82,128.79,2.231,60.2
R-000199,MCH-0035,Line-D,2025-03-06 16:35:00,99.2,155.18,4.262,47.1
R-000200,MCH-0024,Line-B,2025-02-02 23:01:00,72.2,155.85,3.565,56.7
R-000201,MCH-0007,Line-D,2025-03-16 23:48:00,73.21,155.23,2.095,40.8
R-000202,MCH-0012,Line-A,2025-03-29 14:44:00,67.46,151.71,4.34,54.5
R-000203,MCH-0030,Line-C,2025-01-05 09:12:00,82.7,153.63,5.298,49.8
R-000204,MCH-0033,Line-B,2025-02-20 17:30:00,74.58,183.45,3.772,52.0
R-000205,MCH-0050,Line-A,2025-01-07 20:21:00,71.87,185.47,2.754,48.1
R-000206,MCH-0029,Line-A,2025-02-19 10:11:00,60.93,150.56,4.361,40.6
R-000207,MCH-0006,Line-A,2025-02-24 02:27:00,57.16,127.69,2.824,43.0
R-000208,MCH-0006,Line-A,2025-02-11 21:18:00,69.33,175.48,2.406,50.5
R-000209,MCH-0023,Line-A,2025-02-27 01:46:00,82.66,136.41,4.141,44.9
R-000210,MCH-0004,Line-A,2025-01-10 21:40:00,63.03,163.34,3.5,40.3
R-000211,MCH-0002,Line-B,2025-01-19 19:43:00,75.62,144.78,4.767,50.7
R-000212,MCH-0024,Line-B,2025-02-16 12:36:00,81.78,152.33,2.768,47.4
R-000213,MCH-0029,Line-A,2025-01-10 18:08:00,63.12,146.29,3.142,40.1
R-000214,MCH-0008,Line-C,2025-01-04 23:11:00,63.13,150.12,2.923,42.6
R-000215,MCH-0017,Line-A,2025-02-27 06:39:00,69.07,193.46,3.091,45.2
R-000216,MCH-0005,Line-B,2025-02-27 05:57:00,65.6,83.11,4.277,25.5
R-000217,MCH-0021,Line-B,2025-03-27 11:45:00,88.77,159.92,4.712,35.1
R-000218,MCH-0046,Line-C,2025-03-31 20:11:00,78.88,127.05,3.888,48.7
R-000219,MCH-0009,Line-D,2025-01-31 15:01:00,64.96,169.99,1.264,49.6
R-000220,MCH-0009,Line-D,2025-03-20 02:04:00,57.74,223.63,3.31,35.4
R-000221,MCH-0050,Line-A,2025-02-22 18:04:00,82.39,162.38,4.3,49.0
R-000222,MCH-0034,Line-C,2025-02-14 04:56:00,82.24,127.74,2.336,37.8
R-000223,MCH-0009,Line-D,2025-02-25 16:58:00,90.31,122.2,2.823,44.2
R-000224,MCH-0011,Line-A,2025-02-11 22:14:00,58.81,189.17,4.722,35.5
R-000225,MCH-0017,Line-A,2025-01-26 20:35:00,72.43,177.68,3.233,42.7
R-000226,MCH-0042,Line-A,2025-01-22 18:37:00,84.96,174.17,3.3,34.3
R-000227,MCH-0037,Line-A,2025-01-06 00:05:00,91.49,158.07,2.471,39.6
R-000228,MCH-0050,Line-A,2025-03-15 13:39:00,65.95,132.0,3.039,40.3
R-000229,MCH-0020,Line-D,2025-03-03 07:51:00,79.32,130.89,2.33,48.5
R-000230,MCH-0011,Line-A,2025-02-26 13:30:00,64.33,154.04,4.485,57.5
R-000231,MCH-0021,Line-B,2025-02-14 12:08:00,75.97,125.99,3.968,48.7
R-000232,MCH-0008,Line-C,2025-02-04 14:15:00,77.45,154.99,5.005,39.6
R-000233,MCH-0027,Line-A,2025-02-01 05:52:00,67.63,173.21,2.979,57.5
R-000234,MCH-0032,Line-B,2025-03-07 14:31:00,85.2,133.84,4.175,49.3
R-000235,MCH-0030,Line-C,2025-01-31 06:37:00,72.67,155.14,1.846,45.5
R-000236,MCH-0042,Line-A,2025-03-28 15:18:00,52.36,141.14,1.998,52.0
R-000237,MCH-0047,Line-A,2025-02-16 12:23:00,78.73,151.82,2.797,42.1
R-000238,MCH-0019,Line-A,2025-01-10 12:32:00,60.57,157.76,4.009,35.1
R-000239,MCH-0040,Line-D,2025-01-16 04:06:00,58.21,172.01,2.496,61.0
R-000240,MCH-0049,Line-B,2025-01-19 06:38:00,60.89,148.65,3.917,46.2
R-000241,MCH-0022,Line-B,2025-03-02 16:29:00,90.05,184.05,4.682,59.3
R-000242,MCH-0021,Line-B,2025-01-21 12:39:00,74.32,133.17,2.724,57.9
R-000243,MCH-0035,Line-D,2025-03-04 22:36:00,68.21,185.0,2.689,53.8
R-000244,MCH-0027,Line-A,2025-03-16 09:50:00,94.58,125.91,2.758,37.2
R-000245,MCH-0017,Line-A,2025-03-25 18:36:00,75.55,156.43,2.532,46.2
R-000246,MCH-0047,Line-A,2025-03-21 12:09:00,78.89,136.59,2.385,39.5
R-000247,MCH-0013,Line-C,2025-01-03 14:20:00,64.19,160.08,3.77,54.1
R-000248,MCH-0040,Line-D,2025-03-02 23:46:00,81.05,154.16,3.688,51.8
R-000249,MCH-0043,Line-C,2025-03-03 16:24:00,72.11,161.36,4.124,41.2
R-000250,MCH-0023,Line-A,2025-03-28 23:43:00,63.54,125.9,3.097,41.7
R-000251,MCH-0016,Line-C,2025-02-05 17:19:00,80.07,203.06,3.305,51.3
R-000252,MCH-0014,Line-A,2025-03-30 22:31:00,70.46,166.91,4.803,39.2
R-000253,MCH-0018,Line-C,2025-02-06 03:36:00,69.78,132.5,4.966,43.2
R-000254,MCH-0050,Line-A,2025-01-19 09:02:00,70.55,180.77,3.008,52.1
R-000255,MCH-0017,Line-A,2025-03-03 06:12:00,79.49,135.96,2.911,42.6
R-000256,MCH-0007,Line-D,2025-03-20 23:37:00,75.26,156.44,3.974,41.8
R-000257,MCH-0015,Line-C,2025-01-07 03:26:00,68.44,169.8,3.318,41.0
R-000258,MCH-0036,Line-B,2025-01-21 13:41:00,97.61,133.7,2.972,45.8
R-000259,MCH-0019,Line-A,2025-02-11 09:41:00,94.13,162.43,3.165,40.2
R-000260,MCH-0048,Line-B,2025-01-05 05:26:00,80.51,141.62,5.899,31.7
R-000261,MCH-0026,Line-B,2025-03-05 05:59:00,74.85,109.42,3.446,47.1
R-000262,MCH-0020,Line-D,2025-03-14 19:06:00,84.76,142.15,2.401,48.2
R-000263,MCH-0034,Line-C,2025-03-05 04:54:00,65.42,149.58,3.759,38.3
R-000264,MCH-0047,Line-A,2025-02-28 20:16:00,74.6,146.7,3.152,50.7
R-000265,MCH-0044,Line-A,2025-01-25 05:39:00,90.83,116.49,3.948,36.5
R-000266,MCH-0006,Line-A,2025-02-21 21:06:00,77.63,160.1,3.23,50.4
R-000267,MCH-0017,Line-A,2025-02-19 07:28:00,75.7,100.38,3.089,57.1
R-000268,MCH-0001,Line-A,2025-02-03 20:23:00,73.49,143.3,4.004,49.6
R-000269,MCH-0026,Line-B,2025-03-29 16:59:00,89.79,130.9,3.351,48.7
R-000270,MCH-0019,Line-A,2025-02-17 19:14:00,76.24,160.51,4.259,55.9
R-000271,MCH-0039,Line-D,2025-02-17 13:44:00,62.1,143.13,2.351,42.2
R-000272,MCH-0014,Line-A,2025-02-01 21:48:00,57.6,130.07,2.532,43.4
R-000273,MCH-0024,Line-B,2025-01-10 18:07:00,88.99,159.53,2.457,44.6
R-000274,MCH-0010,Line-B,2025-01-22 10:54:00,69.08,148.73,3.793,55.2
R-000275,MCH-0006,Line-A,2025-03-07 14:51:00,81.0,153.64,2.611,50.2
R-000276,MCH-0036,Line-B,2025-03-01 21:51:00,74.1,153.92,3.498,45.6
R-000277,MCH-0014,Line-A,2025-03-16 02:02:00,58.47,164.32,3.227,44.3
R-000278,MCH-0005,Line-B,2025-03-02 01:18:00,57.73,168.55,3.72,23.0
R-000279,MCH-0042,Line-A,2025-02-23 11:57:00,57.09,177.17,4.147,40.7
R-000280,MCH-0044,Line-A,2025-03-26 17:08:00,68.68,134.8,3.931,53.9
R-000281,MCH-0034,Line-C,2025-01-17 23:14:00,85.24,121.06,4.384,43.8
R-000282,MCH-0047,Line-A,2025-03-11 13:34:00,68.71,159.94,3.05,46.1
R-000283,MCH-0013,Line-C,2025-01-15 01:51:00,66.13,126.65,5.045,38.5
R-000284,MCH-0016,Line-C,2025-01-27 02:06:00,64.16,137.89,2.736,30.7
R-000285,MCH-0016,Line-C,2025-01-06 12:28:00,75.83,163.93,3.679,42.9
R-000286,MCH-0033,Line-B,2025-02-07 07:52:00,88.6,136.86,2.283,38.6
R-000287,MCH-0021,Line-B,2025-01-31 09:56:00,85.96,173.02,3.622,51.7
R-000288,MCH-0004,Line-A,2025-03-13 18:56:00,74.31,137.64,3.059,35.8
R-000289,MCH-0004,Line-A,2025-02-14 20:42:00,64.26,166.56,3.229,37.3
R-000290,MCH-0020,Line-D,2025-02-18 05:48:00,66.34,146.49,3.744,60.6
R-000291,MCH-0010,Line-B,2025-03-01 01:35:00,64.37,160.83,2.721,43.5
R-000292,MCH-0017,Line-A,2025-01-27 10:41:00,86.53,160.42,2.817,52.2
R-000293,MCH-0013,Line-C,2025-01-07 08:24:00,67.47,125.88,3.862,41.3
R-000294,MCH-0049,Line-B,2025-03-17 23:42:00,62.22,141.74,3.991,39.7
R-000295,MCH-0001,Line-A,2025-01-28 06:47:00,109.99,202.95,2.909,45.8
R-000296,MCH-0039,Line-D,2025-01-27 12:58:00,75.71,167.58,3.315,53.8
R-000297,MCH-0042,Line-A,2025-02-15 09:16:00,59.2,181.97,2.091,48.1
R-000298,MCH-0047,Line-A,2025-03-02 10:58:00,78.02,166.58,5.033,49.5
R-000299,MCH-0048,Line-B,2025-01-19 00:16:00,59.99,141.29,3.375,38.4
R-000300,MCH-0013,Line-C,2025-02-12 07:24:00,66.84,143.62,1.679,39.0
R-000301,MCH-0022,Line-B,2025-02-02 15:46:00,66.23,131.94,4.2,57.4
R-000302,MCH-0011,Line-A,2025-01-18 23:34:00,48.31,153.27,2.394,42.0
