event_id,timestamp,substation_id,region,event_type,severity,duration_sec,affected_customers,resolved
EVT-001078,2025-04-26T07:31:44Z,SUB-004,West,voltage_sag,high,2257,3119,false
EVT-001639,2025-03-18T22:58:12Z,SUB-006,North,restoration,low,225,598,true
EVT-001333,2025-04-08T00:45:23Z,SUB-007,South,restoration,low,378,284,true
EVT-000171,2025-03-13T02:27:26Z,SUB-023,East,voltage_sag,medium,1577,1890,false
EVT-001965,2025-03-03T06:12:02Z,SUB-005,Central,restoration,low,197,690,true
EVT-000337,2025-03-24T15:39:47Z,SUB-025,Central,outage,medium,929,2625,false
EVT-000686,2025-04-10T23:10:42Z,SUB-003,East,surge,high,1460,2706,false
EVT-000825,2025-04-16T05:20:43Z,SUB-018,East,voltage_sag,critical,2178,4046,false
EVT-000833,2025-04-16T16:47:09Z,SUB-025,Central,restoration,low,162,1198,true
EVT-001014,2025-04-24T00:14:28Z,SUB-001,North,surge,high,1439,2340,false
EVT-000968,2025-04-22T22:05:52Z,SUB-014,West,restoration,low,226,1237,true
EVT-000595,2025-04-06T03:54:35Z,SUB-015,Central,restoration,low,212,80,true
EVT-002126,2025-03-26T18:08:29Z,SUB-019,West,restoration,low,190,258,true
EVT-000757,2025-04-13T12:39:47Z,SUB-014,West,restoration,low,64,179,true
EVT-001385,2025-04-15T19:28:03Z,SUB-025,Central,restoration,low,265,621,true
EVT-000857,2025-04-18T05:25:03Z,SUB-007,South,voltage_sag,high,1882,2802,false
EVT-000714,2025-04-10T12:22:26Z,SUB-023,East,voltage_sag,high,1353,2262,false
EVT-000521,2025-04-03T18:58:17Z,SUB-017,South,voltage_sag,high,1817,3488,false
EVT-000018,2025-03-03T11:11:26Z,SUB-021,North,surge,medium,1264,2156,false
EVT-001439,2025-03-08T05:32:39Z,SUB-010,Central,restoration,low,92,548,true
EVT-000541,2025-04-04T16:55:42Z,SUB-007,South,restoration,low,64,632,true
EVT-000180,2025-03-14T21:57:17Z,SUB-006,North,restoration,low,422,543,true
EVT-001236,2025-04-08T23:28:39Z,SUB-014,West,restoration,low,235,608,true
EVT-001453,2025-03-16T09:41:48Z,SUB-009,West,restoration,low,258,446,true
EVT-000123,2025-03-11T17:33:32Z,SUB-009,West,surge,medium,948,2639,false
EVT-000020,2025-03-03T03:28:22Z,SUB-021,North,restoration,low,235,890,true
EVT-002063,2025-03-03T02:38:27Z,SUB-017,South,restoration,low,89,777,true
EVT-002145,2025-04-05T09:51:25Z,SUB-007,South,restoration,low,267,47,true
EVT-000261,2025-03-19T05:17:46Z,SUB-020,Central,voltage_sag,high,1158,3795,false
EVT-000080,2025-03-07T04:03:09Z,SUB-023,East,restoration,low,222,898,true
EVT-001927,2025-03-09T02:37:05Z,SUB-016,North,restoration,low,176,336,true
EVT-000062,2025-03-06T08:23:44Z,SUB-007,South,voltage_sag,critical,2099,2849,false
EVT-001652,2025-03-13T06:14:56Z,SUB-013,East,restoration,low,249,187,true
EVT-001894,2025-03-11T00:30:16Z,SUB-011,North,restoration,low,270,213,true
EVT-000136,2025-03-11T10:49:39Z,SUB-021,North,voltage_sag,high,1509,2347,false
EVT-002149,2025-03-09T20:38:19Z,SUB-022,South,restoration,low,260,454,true
EVT-000342,2025-03-25T11:48:01Z,SUB-007,South,voltage_sag,high,1670,3438,false
EVT-002298,2025-04-20T07:26:46Z,SUB-020,Central,restoration,low,70,637,true
EVT-000313,2025-03-23T05:37:18Z,SUB-009,West,restoration,low,374,1451,true
EVT-002171,2025-04-24T17:37:03Z,SUB-018,East,restoration,low,81,491,true
EVT-000110,2025-03-10T15:36:12Z,SUB-019,West,restoration,low,491,802,true
EVT-001259,2025-04-05T18:44:34Z,SUB-016,North,restoration,low,212,255,true
EVT-000592,2025-04-06T08:48:09Z,SUB-012,South,surge,high,1908,2255,false
EVT-001935,2025-03-31T19:19:17Z,SUB-013,East,restoration,low,171,402,true
EVT-002009,2025-04-19T00:20:46Z,SUB-023,East,restoration,low,381,347,true
EVT-000169,2025-03-13T18:10:00Z,SUB-015,Central,surge,medium,1393,1603,false
EVT-000949,2025-04-21T07:32:04Z,SUB-024,West,voltage_sag,critical,1604,3953,false
EVT-000426,2025-03-29T22:08:28Z,SUB-015,Central,surge,medium,1113,2110,false
EVT-001488,2025-03-09T18:46:12Z,SUB-021,North,restoration,low,320,46,true
EVT-001251,2025-03-25T22:19:39Z,SUB-019,West,restoration,low,107,152,true
EVT-001878,2025-04-28T04:33:50Z,SUB-024,West,restoration,low,200,315,true
EVT-000034,2025-03-04T23:27:34Z,SUB-021,North,surge,medium,462,1236,false
EVT-000828,2025-04-16T11:12:32Z,SUB-023,East,voltage_sag,critical,1984,2695,false
EVT-000218,2025-03-17T03:27:56Z,SUB-021,North,restoration,low,258,276,true
EVT-002148,2025-04-06T18:17:58Z,SUB-006,North,restoration,low,269,124,true
EVT-000690,2025-04-10T13:55:48Z,SUB-004,West,restoration,low,541,1401,true
EVT-001601,2025-04-29T15:55:51Z,SUB-006,North,restoration,low,92,689,true
EVT-002238,2025-03-08T21:43:44Z,SUB-025,Central,restoration,low,164,196,true
EVT-001833,2025-04-13T07:50:07Z,SUB-024,West,restoration,low,368,63,true
EVT-000112,2025-03-10T04:38:04Z,SUB-023,East,voltage_sag,high,1329,2406,false
EVT-001604,2025-04-20T18:48:17Z,SUB-011,North,restoration,low,142,365,true
EVT-001675,2025-04-26T22:26:22Z,SUB-010,Central,restoration,low,228,727,true
EVT-001945,2025-04-16T16:57:30Z,SUB-011,North,restoration,low,96,249,true
EVT-000643,2025-04-09T08:36:07Z,SUB-002,South,surge,medium,973,151,false
EVT-001003,2025-04-23T13:47:19Z,SUB-017,South,voltage_sag,high,1187,1725,false
EVT-001408,2025-03-20T13:01:00Z,SUB-002,South,restoration,low,114,488,true
EVT-000659,2025-04-09T08:56:32Z,SUB-012,South,surge,high,1481,2149,false
EVT-001502,2025-04-08T08:15:43Z,SUB-012,South,restoration,low,80,193,true
EVT-000661,2025-04-09T03:35:32Z,SUB-013,East,voltage_sag,high,1128,3636,false
EVT-001798,2025-03-19T03:20:34Z,SUB-016,North,restoration,low,78,141,true
EVT-001271,2025-03-04T06:51:52Z,SUB-001,North,restoration,low,333,643,true
EVT-000187,2025-03-14T11:06:27Z,SUB-023,East,restoration,low,237,1246,true
EVT-000872,2025-04-18T12:12:07Z,SUB-023,East,restoration,low,67,272,true
EVT-001799,2025-04-07T12:04:01Z,SUB-008,East,restoration,low,268,345,true
EVT-000982,2025-04-22T18:56:48Z,SUB-022,South,voltage_sag,critical,1868,3319,false
EVT-001638,2025-03-12T12:32:25Z,SUB-019,West,restoration,low,372,500,true
EVT-001406,2025-03-15T04:36:02Z,SUB-005,Central,restoration,low,339,553,true
EVT-002164,2025-04-08T07:48:31Z,SUB-008,East,restoration,low,256,464,true
EVT-001466,2025-03-16T13:12:45Z,SUB-025,Central,restoration,low,248,50,true
EVT-000848,2025-04-17T10:47:06Z,SUB-017,South,voltage_sag,critical,2385,4400,false
EVT-002104,2025-03-14T21:30:31Z,SUB-013,East,restoration,low,262,378,true
EVT-001977,2025-03-08T11:57:48Z,SUB-014,West,restoration,low,347,482,true
EVT-001879,2025-03-14T21:40:15Z,SUB-011,North,restoration,low,131,660,true
EVT-000262,2025-03-19T19:56:27Z,SUB-020,Central,restoration,low,235,931,true
EVT-000603,2025-04-07T12:22:29Z,SUB-017,South,surge,high,2001,4080,false
EVT-001352,2025-04-12T03:05:33Z,SUB-008,East,restoration,low,282,31,true
EVT-001124,2025-04-28T06:28:23Z,SUB-004,West,voltage_sag,critical,2204,2798,false
EVT-001228,2025-03-25T17:42:49Z,SUB-016,North,restoration,low,365,655,true
EVT-001195,2025-04-02T18:33:25Z,SUB-016,North,restoration,low,274,641,true
EVT-000647,2025-04-09T09:28:14Z,SUB-006,North,surge,medium,1019,2040,false
EVT-000670,2025-04-09T11:58:47Z,SUB-015,Central,voltage_sag,high,1523,2726,false
EVT-001906,2025-03-30T13:53:55Z,SUB-009,West,restoration,low,373,502,true
EVT-001460,2025-04-14T18:44:16Z,SUB-024,West,restoration,low,305,645,true
EVT-000268,2025-03-20T07:17:10Z,SUB-020,Central,surge,medium,1120,1777,false
EVT-000582,2025-04-06T18:07:01Z,SUB-003,East,voltage_sag,critical,2179,4646,false
EVT-002307,2025-04-29T23:49:15Z,SUB-024,West,restoration,low,115,647,true
EVT-000965,2025-04-22T09:01:34Z,SUB-013,East,voltage_sag,high,1661,2003,false
EVT-000260,2025-03-19T19:00:07Z,SUB-014,West,restoration,low,508,1379,true
EVT-001588,2025-03-28T06:37:12Z,SUB-009,West,restoration,low,134,544,true
EVT-000504,2025-04-02T07:17:40Z,SUB-024,West,voltage_sag,high,1536,4003,false
EVT-001891,2025-04-20T05:46:02Z,SUB-003,East,restoration,low,225,622,true
EVT-000289,2025-03-21T00:11:10Z,SUB-015,Central,restoration,low,574,1110,true
EVT-001976,2025-04-10T21:42:50Z,SUB-018,East,restoration,low,182,788,true
EVT-001691,2025-03-13T22:28:51Z,SUB-021,North,restoration,low,140,359,true
EVT-001709,2025-03-13T03:35:50Z,SUB-005,Central,restoration,low,190,260,true
EVT-000777,2025-04-14T16:02:18Z,SUB-002,South,restoration,low,172,671,true
EVT-000790,2025-04-15T03:38:31Z,SUB-002,South,restoration,low,508,1252,true
EVT-000998,2025-04-23T09:44:10Z,SUB-007,South,restoration,low,248,763,true
EVT-000323,2025-03-24T13:31:17Z,SUB-013,East,restoration,low,120,249,true
EVT-000781,2025-04-14T11:28:10Z,SUB-015,Central,restoration,low,117,774,true
EVT-001115,2025-04-27T00:09:51Z,SUB-020,Central,restoration,low,595,699,true
EVT-000228,2025-03-18T07:26:32Z,SUB-002,South,restoration,low,187,1380,true
EVT-000501,2025-04-02T21:20:39Z,SUB-021,North,voltage_sag,high,1508,1825,false
EVT-002162,2025-04-19T20:22:22Z,SUB-003,East,restoration,low,182,444,true
EVT-000471,2025-03-31T02:34:16Z,SUB-023,East,voltage_sag,critical,2609,4317,false
EVT-000111,2025-03-10T00:12:58Z,SUB-023,East,voltage_sag,high,2263,2737,false
EVT-000724,2025-04-11T21:57:42Z,SUB-012,South,voltage_sag,medium,519,2309,false
EVT-000381,2025-03-26T04:21:39Z,SUB-022,South,voltage_sag,critical,2162,2880,false
EVT-002098,2025-04-06T00:13:07Z,SUB-014,West,restoration,low,103,160,true
EVT-001064,2025-04-25T15:44:35Z,SUB-015,Central,voltage_sag,critical,1356,3179,false
EVT-000010,2025-03-01T09:09:23Z,SUB-023,East,voltage_sag,high,1898,1748,false
EVT-000479,2025-04-01T16:26:43Z,SUB-011,North,surge,medium,915,2311,false
EVT-001966,2025-04-29T18:48:28Z,SUB-020,Central,restoration,low,144,319,true
EVT-001036,2025-04-24T22:41:55Z,SUB-019,West,restoration,low,221,1017,true
EVT-001129,2025-04-28T08:49:36Z,SUB-010,Central,surge,high,1558,3393,false
EVT-001119,2025-04-28T16:20:15Z,SUB-001,North,voltage_sag,critical,2161,4880,false
EVT-001605,2025-03-26T19:44:48Z,SUB-001,North,restoration,low,251,234,true
EVT-000415,2025-03-28T16:23:59Z,SUB-022,South,voltage_sag,high,1662,1993,false
EVT-002035,2025-03-02T15:13:04Z,SUB-020,Central,restoration,low,237,482,true
EVT-002193,2025-03-13T22:30:26Z,SUB-011,North,restoration,low,316,44,true
EVT-000552,2025-04-04T09:55:27Z,SUB-015,Central,restoration,low,472,544,true
EVT-002086,2025-04-01T19:11:23Z,SUB-017,South,restoration,low,378,171,true
EVT-001158,2025-04-29T23:50:27Z,SUB-001,North,voltage_sag,high,1229,2409,false
EVT-001958,2025-03-03T17:12:24Z,SUB-020,Central,restoration,low,94,179,true
EVT-000498,2025-04-02T23:44:00Z,SUB-020,Central,voltage_sag,high,1627,2696,false
EVT-002061,2025-03-14T03:12:50Z,SUB-008,East,restoration,low,310,418,true
EVT-001432,2025-04-08T06:18:41Z,SUB-010,Central,restoration,low,285,455,true
EVT-000004,2025-03-01T07:53:03Z,SUB-012,South,voltage_sag,critical,1818,3441,false
EVT-001811,2025-03-17T16:55:36Z,SUB-019,West,restoration,low,300,287,true
EVT-000238,2025-03-18T00:43:05Z,SUB-018,East,surge,high,1168,3225,false
EVT-001817,2025-04-18T11:49:57Z,SUB-003,East,restoration,low,231,377,true
EVT-001812,2025-04-23T12:40:07Z,SUB-019,West,restoration,low,298,709,true
EVT-001075,2025-04-26T16:26:02Z,SUB-003,East,voltage_sag,critical,1785,3034,false
EVT-000707,2025-04-10T01:40:43Z,SUB-017,South,restoration,low,377,1015,true
EVT-001733,2025-04-25T12:59:13Z,SUB-007,South,restoration,low,264,132,true
EVT-001772,2025-03-08T03:26:40Z,SUB-013,East,restoration,low,326,374,true
EVT-001100,2025-04-27T02:03:00Z,SUB-007,South,voltage_sag,high,1313,2262,false
EVT-000459,2025-03-31T03:23:01Z,SUB-004,West,voltage_sag,high,1526,3294,false
EVT-001892,2025-04-27T07:59:50Z,SUB-011,North,restoration,low,136,617,true
EVT-001396,2025-04-10T09:38:27Z,SUB-005,Central,restoration,low,63,406,true
EVT-000318,2025-03-24T01:52:28Z,SUB-010,Central,voltage_sag,high,1616,3116,false
EVT-002036,2025-04-22T05:58:36Z,SUB-023,East,restoration,low,124,504,true
EVT-001058,2025-04-25T07:12:56Z,SUB-012,South,restoration,low,434,327,true
EVT-000293,2025-03-22T10:45:04Z,SUB-001,North,surge,high,1562,2210,false
EVT-002280,2025-04-04T01:01:45Z,SUB-021,North,restoration,low,83,390,true
EVT-001626,2025-03-15T13:16:29Z,SUB-013,East,restoration,low,215,426,true
EVT-000489,2025-04-01T13:19:05Z,SUB-023,East,surge,medium,1101,2192,false
EVT-000334,2025-03-24T05:34:04Z,SUB-024,West,voltage_sag,medium,1381,1774,false
EVT-001937,2025-04-17T23:23:00Z,SUB-021,North,restoration,low,144,41,true
EVT-000375,2025-03-26T22:24:00Z,SUB-020,Central,voltage_sag,high,1318,2381,false
EVT-000874,2025-04-19T21:18:09Z,SUB-001,North,surge,medium,793,2735,false
EVT-001049,2025-04-25T23:45:48Z,SUB-003,East,restoration,low,103,1184,true
EVT-001510,2025-03-02T16:59:37Z,SUB-018,East,restoration,low,194,596,true
EVT-001544,2025-04-17T22:35:29Z,SUB-020,Central,restoration,low,329,583,true
EVT-001689,2025-03-10T02:58:47Z,SUB-009,West,restoration,low,249,11,true
EVT-001435,2025-03-09T20:03:19Z,SUB-007,South,restoration,low,290,512,true
EVT-000976,2025-04-22T14:35:01Z,SUB-019,West,voltage_sag,critical,1838,2589,false
EVT-001712,2025-03-18T00:40:19Z,SUB-007,South,restoration,low,84,689,true
EVT-001749,2025-03-29T17:40:18Z,SUB-014,West,restoration,low,368,42,true
EVT-000191,2025-03-16T23:47:16Z,SUB-011,North,restoration,low,86,317,true
EVT-002231,2025-04-17T10:32:46Z,SUB-024,West,restoration,low,101,450,true
EVT-001982,2025-04-26T06:21:49Z,SUB-006,North,restoration,low,217,589,true
EVT-001587,2025-04-05T08:58:53Z,SUB-005,Central,restoration,low,340,263,true
EVT-001866,2025-03-17T04:12:40Z,SUB-006,North,restoration,low,268,624,true
EVT-000066,2025-03-06T12:31:44Z,SUB-012,South,voltage_sag,high,1446,3243,false
EVT-002196,2025-03-12T17:18:58Z,SUB-004,West,restoration,low,158,386,true
EVT-001860,2025-03-07T14:45:37Z,SUB-016,North,restoration,low,263,57,true
EVT-001030,2025-04-24T01:09:08Z,SUB-017,South,surge,high,1731,2745,false
EVT-000752,2025-04-13T11:05:25Z,SUB-008,East,restoration,low,200,1445,true
EVT-000759,2025-04-13T21:09:37Z,SUB-015,Central,surge,high,1251,1441,false
EVT-001201,2025-04-11T03:45:14Z,SUB-004,West,restoration,low,339,29,true
EVT-000227,2025-03-18T04:13:22Z,SUB-002,South,outage,medium,1401,1166,false
EVT-001550,2025-03-25T23:50:27Z,SUB-011,North,restoration,low,232,431,true
EVT-000336,2025-03-24T01:16:38Z,SUB-025,Central,outage,medium,1314,1748,false
EVT-001546,2025-03-16T18:29:23Z,SUB-023,East,restoration,low,209,439,true
EVT-000518,2025-04-03T03:00:55Z,SUB-014,West,voltage_sag,critical,1504,3174,false
EVT-000417,2025-03-28T11:53:52Z,SUB-025,Central,surge,high,1328,1602,false
EVT-001057,2025-04-25T21:05:31Z,SUB-012,South,voltage_sag,critical,2472,3995,false
EVT-001187,2025-04-29T14:56:12Z,SUB-019,West,voltage_sag,critical,2380,4126,false
EVT-000310,2025-03-22T10:54:36Z,SUB-020,Central,voltage_sag,high,1015,2487,false
EVT-001188,2025-04-29T17:44:12Z,SUB-019,West,restoration,low,335,871,true
EVT-001235,2025-04-25T09:46:33Z,SUB-018,East,restoration,low,169,585,true
EVT-000716,2025-04-11T11:31:56Z,SUB-003,East,voltage_sag,high,1677,2189,false
EVT-000730,2025-04-11T10:26:17Z,SUB-021,North,restoration,low,570,1447,true
EVT-001679,2025-03-21T04:23:00Z,SUB-011,North,restoration,low,84,704,true
EVT-000225,2025-03-18T03:20:27Z,SUB-002,South,outage,medium,1008,402,false
EVT-000090,2025-03-08T02:36:10Z,SUB-015,Central,restoration,low,173,1314,true
EVT-001053,2025-04-25T03:31:03Z,SUB-010,Central,voltage_sag,medium,1297,2474,false
EVT-000710,2025-04-10T15:43:40Z,SUB-019,West,restoration,low,443,495,true
EVT-001600,2025-03-22T06:51:44Z,SUB-008,East,restoration,low,191,440,true
EVT-000252,2025-03-19T01:25:43Z,SUB-009,West,restoration,low,293,429,true
EVT-002157,2025-03-28T09:16:15Z,SUB-011,North,restoration,low,346,346,true
EVT-000863,2025-04-18T06:55:26Z,SUB-014,West,voltage_sag,high,1867,2905,false
EVT-002259,2025-03-22T17:52:09Z,SUB-006,North,restoration,low,246,673,true
EVT-000815,2025-04-15T17:45:25Z,SUB-024,West,voltage_sag,high,1338,2437,false
EVT-000934,2025-04-21T16:22:10Z,SUB-012,South,voltage_sag,critical,2343,3179,false
EVT-001462,2025-03-22T22:59:15Z,SUB-005,Central,restoration,low,389,564,true
EVT-000527,2025-04-03T09:08:31Z,SUB-019,West,restoration,low,414,846,true
EVT-000363,2025-03-26T21:29:46Z,SUB-008,East,surge,medium,759,1983,false
EVT-001717,2025-04-12T21:24:08Z,SUB-022,South,restoration,low,209,69,true
EVT-001616,2025-03-02T09:41:31Z,SUB-008,East,restoration,low,144,746,true
EVT-001130,2025-04-28T13:33:10Z,SUB-010,Central,surge,high,1597,3184,false
EVT-001145,2025-04-28T03:36:34Z,SUB-019,West,voltage_sag,critical,2906,4389,false
EVT-001700,2025-03-10T06:39:14Z,SUB-021,North,restoration,low,256,374,true
EVT-001286,2025-03-03T10:33:56Z,SUB-007,South,restoration,low,189,787,true
EVT-000794,2025-04-15T09:12:56Z,SUB-004,West,voltage_sag,critical,2759,3546,false
EVT-000288,2025-03-21T16:21:45Z,SUB-015,Central,voltage_sag,high,1863,3689,false
EVT-001880,2025-04-19T15:48:10Z,SUB-022,South,restoration,low,398,488,true
EVT-000361,2025-03-26T17:04:19Z,SUB-007,South,voltage_sag,high,1194,3394,false
EVT-000130,2025-03-11T14:23:27Z,SUB-018,East,surge,medium,915,1903,false
EVT-000658,2025-04-09T05:55:49Z,SUB-012,South,surge,high,1504,2632,false
EVT-000899,2025-04-19T10:30:12Z,SUB-015,Central,voltage_sag,high,1586,2578,false
EVT-001816,2025-04-02T01:57:56Z,SUB-008,East,restoration,low,139,257,true
EVT-001429,2025-04-11T05:18:19Z,SUB-013,East,restoration,low,243,381,true
EVT-001509,2025-03-31T23:15:12Z,SUB-022,South,restoration,low,189,187,true
EVT-002249,2025-03-28T20:26:19Z,SUB-016,North,restoration,low,179,345,true
EVT-001751,2025-03-12T03:06:27Z,SUB-007,South,restoration,low,229,771,true
EVT-002208,2025-04-27T08:04:38Z,SUB-003,East,restoration,low,65,519,true
EVT-001177,2025-04-29T05:38:16Z,SUB-012,South,voltage_sag,critical,2149,4290,false
EVT-002241,2025-04-07T15:28:20Z,SUB-019,West,restoration,low,175,287,true
EVT-002214,2025-04-01T18:32:29Z,SUB-024,West,restoration,low,75,569,true
EVT-000727,2025-04-11T09:12:18Z,SUB-017,South,restoration,low,71,884,true
EVT-001670,2025-04-11T16:36:21Z,SUB-024,West,restoration,low,143,38,true
EVT-000109,2025-03-10T10:59:29Z,SUB-019,West,voltage_sag,medium,993,2324,false
EVT-001872,2025-03-08T10:49:53Z,SUB-018,East,restoration,low,356,269,true
EVT-000263,2025-03-20T01:03:22Z,SUB-013,East,surge,medium,1529,2464,false
EVT-000868,2025-04-18T10:08:21Z,SUB-015,Central,restoration,low,503,820,true
EVT-001106,2025-04-27T22:32:26Z,SUB-015,Central,voltage_sag,critical,1740,3181,false
EVT-001531,2025-03-20T07:30:02Z,SUB-022,South,restoration,low,67,526,true
EVT-001575,2025-04-15T19:31:25Z,SUB-013,East,restoration,low,242,415,true
EVT-000243,2025-03-18T06:36:31Z,SUB-022,South,restoration,low,433,307,true
EVT-001344,2025-03-28T14:24:51Z,SUB-020,Central,restoration,low,192,612,true
EVT-000202,2025-03-17T07:07:28Z,SUB-007,South,voltage_sag,medium,1130,2226,false
EVT-000514,2025-04-03T07:52:16Z,SUB-012,South,voltage_sag,critical,1581,3141,false
EVT-000955,2025-04-22T03:39:20Z,SUB-009,West,surge,high,1660,2552,false
EVT-001512,2025-04-03T19:49:16Z,SUB-007,South,restoration,low,299,757,true
EVT-000077,2025-03-07T08:05:08Z,SUB-019,West,restoration,low,124,984,true
EVT-001780,2025-04-06T13:33:43Z,SUB-022,South,restoration,low,158,22,true
EVT-000148,2025-03-12T07:33:08Z,SUB-014,West,restoration,low,572,1182,true
EVT-000275,2025-03-20T15:05:11Z,SUB-024,West,surge,high,1187,3206,false
