reading_id,timestamp,plant_id,plant_type,generation_mw,capacity_mw,capacity_factor,weather
RG-000044,2025-04-27T10:00:00Z,SOLAR-03,solar,10.56,48.7,0.217,rainy
RG-000045,2025-04-05T02:30:00Z,SOLAR-08,solar,0,46.8,0.0,clear
RG-000046,2025-03-14T00:30:00Z,WIND-04,wind,34.98,45.5,0.769,stormy
RG-000047,2025-04-04T22:45:00Z,HYDRO-01,hydro,35.47,59.3,0.598,stormy
RG-000048,2025-03-01T18:00:00Z,WIND-03,wind,16.77,40.8,0.411,cloudy
RG-000049,2025-03-09T08:15:00Z,WIND-03,wind,35.16,40.8,0.862,windy
RG-000050,2025-04-28T00:00:00Z,SOLAR-05,solar,0,50.3,0.0,rainy
RG-000051,2025-04-17T04:30:00Z,SOLAR-03,solar,0,48.7,0.0,overcast
RG-000052,2025-04-13T00:45:00Z,SOLAR-08,solar,0,46.8,0.0,overcast
RG-000053,2025-03-08T15:45:00Z,SOLAR-03,solar,28.31,48.7,0.581,windy
RG-000054,2025-03-15T18:30:00Z,WIND-06,wind,73.53,76.8,0.957,stormy
RG-000055,2025-04-24T22:45:00Z,WIND-01,wind,21.0,39.8,0.528,stormy
RG-000056,2025-03-11T06:15:00Z,SOLAR-05,solar,10.96,50.3,0.218,stormy
RG-000057,2025-04-18T02:30:00Z,WIND-03,wind,19.41,40.8,0.476,overcast
RG-000058,2025-03-05T20:30:00Z,SOLAR-04,solar,0,76.6,0.0,rainy
RG-000059,2025-03-22T19:45:00Z,HYDRO-02,hydro,88.36,151.9,0.582,windy
RG-000060,2025-03-23T08:15:00Z,WIND-06,wind,19.31,76.8,0.251,rainy
RG-000061,2025-04-27T20:15:00Z,WIND-06,wind,40.3,76.8,0.525,overcast
RG-000062,2025-03-11T09:45:00Z,SOLAR-06,solar,11.36,59.6,0.191,overcast
RG-000063,2025-04-16T23:00:00Z,SOLAR-03,solar,0,48.7,0.0,stormy
RG-000064,2025-03-09T04:15:00Z,WIND-01,wind,11.85,39.8,0.298,windy
RG-000065,2025-03-20T12:30:00Z,WIND-04,wind,5.67,45.5,0.125,cloudy
RG-000066,2025-03-16T01:15:00Z,HYDRO-02,hydro,69.6,151.9,0.458,rainy
RG-000067,2025-04-15T02:45:00Z,HYDRO-01,hydro,29.97,59.3,0.505,rainy
RG-000068,2025-04-22T02:15:00Z,WIND-01,wind,21.21,39.8,0.533,rainy
RG-000069,2025-03-22T02:00:00Z,HYDRO-02,hydro,125.76,151.9,0.828,clear
RG-000070,2025-04-06T03:00:00Z,HYDRO-02,hydro,120.44,151.9,0.793,clear
RG-000071,2025-04-09T09:45:00Z,SOLAR-05,solar,8.25,50.3,0.164,cloudy
RG-000072,2025-03-09T23:00:00Z,SOLAR-04,solar,0,76.6,0.0,cloudy
RG-000073,2025-03-12T17:15:00Z,SOLAR-03,solar,14.76,48.7,0.303,clear
RG-000074,2025-03-25T03:30:00Z,SOLAR-05,solar,0,50.3,0.0,windy
RG-000075,2025-03-17T13:00:00Z,SOLAR-05,solar,39.86,50.3,0.792,stormy
RG-000076,2025-04-18T10:30:00Z,WIND-01,wind,20.72,39.8,0.521,windy
RG-000077,2025-03-19T04:00:00Z,WIND-02,wind,121.4,112.7,1.077,windy
RG-000078,2025-04-03T09:15:00Z,WIND-02,wind,45.65,112.7,0.405,cloudy
RG-000079,2025-03-17T16:15:00Z,SOLAR-06,solar,9.7,59.6,0.163,overcast
RG-000080,2025-03-02T21:00:00Z,HYDRO-01,hydro,45.36,59.3,0.765,rainy
RG-000081,2025-04-03T10:30:00Z,SOLAR-07,solar,7.09,33.3,0.213,cloudy
RG-000082,2025-03-05T17:30:00Z,WIND-05,wind,43.29,102.7,0.422,rainy
RG-000083,2025-04-07T21:45:00Z,WIND-01,wind,14.09,39.8,0.354,overcast
RG-000084,2025-03-12T21:45:00Z,HYDRO-03,hydro,163.76,169.9,0.964,rainy
RG-000085,2025-04-07T13:45:00Z,SOLAR-07,solar,25.22,33.3,0.757,stormy
RG-000086,2025-03-15T22:30:00Z,SOLAR-08,solar,0,46.8,0.0,cloudy
RG-000087,2025-03-10T20:15:00Z,SOLAR-03,solar,0,48.7,0.0,clear
RG-000088,2025-03-12T16:30:00Z,HYDRO-03,hydro,77.91,169.9,0.459,overcast
RG-000089,2025-03-16T03:15:00Z,SOLAR-06,solar,0,59.6,0.0,clear
RG-000090,2025-04-24T05:30:00Z,SOLAR-02,solar,3.61,37.3,0.097,windy
RG-000091,2025-03-06T05:45:00Z,HYDRO-03,hydro,153.16,169.9,0.901,clear
RG-000092,2025-03-02T23:45:00Z,HYDRO-03,hydro,85.16,169.9,0.501,windy
RG-000093,2025-04-11T16:00:00Z,SOLAR-06,solar,9.0,59.6,0.151,cloudy
RG-000094,2025-03-21T17:00:00Z,SOLAR-03,solar,5.72,48.7,0.117,cloudy
RG-000095,2025-03-03T18:00:00Z,SOLAR-05,solar,3.79,50.3,0.075,rainy
RG-000096,2025-04-12T18:30:00Z,WIND-03,wind,23.57,40.8,0.578,cloudy
RG-000097,2025-04-16T14:45:00Z,WIND-01,wind,28.46,39.8,0.715,windy
RG-000098,2025-04-07T15:30:00Z,SOLAR-08,solar,24.83,46.8,0.531,clear
RG-000099,2025-03-24T08:45:00Z,SOLAR-07,solar,14.61,33.3,0.439,windy
RG-000100,2025-03-19T23:45:00Z,SOLAR-05,solar,0,50.3,0.0,stormy
RG-000101,2025-04-12T11:00:00Z,WIND-01,wind,35.7,39.8,0.897,stormy
RG-000102,2025-03-05T04:00:00Z,SOLAR-08,solar,0,46.8,0.0,overcast
RG-000103,2025-04-28T20:30:00Z,SOLAR-08,solar,0,46.8,0.0,stormy
RG-000104,2025-04-06T22:15:00Z,SOLAR-06,solar,0,59.6,0.0,clear
RG-000105,2025-03-29T07:00:00Z,HYDRO-03,hydro,123.56,169.9,0.727,overcast
RG-000106,2025-03-19T00:15:00Z,SOLAR-07,solar,0,33.3,0.0,clear
RG-000107,2025-04-01T11:45:00Z,SOLAR-02,solar,28.45,37.3,0.763,clear
RG-000108,2025-03-07T22:45:00Z,HYDRO-02,hydro,90.23,151.9,0.594,windy
RG-000109,2025-04-17T07:45:00Z,SOLAR-08,solar,4.91,46.8,0.105,rainy
RG-000110,2025-04-18T18:00:00Z,SOLAR-05,solar,3.4,50.3,0.068,cloudy
RG-000111,2025-04-18T21:30:00Z,WIND-04,wind,17.33,45.5,0.381,clear
RG-000112,2025-03-01T13:45:00Z,WIND-02,wind,68.03,112.7,0.604,clear
RG-000113,2025-03-14T04:15:00Z,WIND-04,wind,19.92,45.5,0.438,windy
RG-000114,2025-03-10T21:30:00Z,WIND-03,wind,18.37,40.8,0.45,cloudy
RG-000115,2025-03-01T03:00:00Z,WIND-03,wind,15.37,40.8,0.377,clear
RG-000116,2025-03-29T06:00:00Z,SOLAR-08,solar,3.55,46.8,0.076,rainy
RG-000117,2025-04-14T00:30:00Z,HYDRO-03,hydro,113.91,169.9,0.67,stormy
RG-000118,2025-03-29T18:00:00Z,SOLAR-01,solar,16.76,69.3,0.242,stormy
RG-000119,2025-04-05T12:15:00Z,WIND-02,wind,25.03,112.7,0.222,cloudy
RG-000120,2025-03-14T05:15:00Z,SOLAR-08,solar,1.85,46.8,0.04,rainy
RG-000121,2025-03-01T00:00:00Z,HYDRO-01,hydro,35.7,59.3,0.602,cloudy
RG-000122,2025-04-25T23:15:00Z,SOLAR-02,solar,0,37.3,0.0,cloudy
RG-000123,2025-03-21T08:45:00Z,SOLAR-02,solar,15.51,37.3,0.416,windy
RG-000124,2025-04-06T21:15:00Z,WIND-06,wind,42.57,76.8,0.554,stormy
RG-000125,2025-03-18T02:45:00Z,SOLAR-06,solar,0,59.6,0.0,cloudy
RG-000126,2025-04-20T02:30:00Z,SOLAR-08,solar,0,46.8,0.0,overcast
RG-000127,2025-04-13T00:30:00Z,SOLAR-02,solar,0,37.3,0.0,overcast
RG-000128,2025-04-11T22:00:00Z,HYDRO-02,hydro,99.0,151.9,0.652,cloudy
RG-000129,2025-04-15T02:45:00Z,SOLAR-04,solar,0,76.6,0.0,stormy
RG-000130,2025-04-12T23:00:00Z,WIND-01,wind,29.53,39.8,0.742,stormy
RG-000131,2025-03-22T03:45:00Z,WIND-06,wind,22.44,76.8,0.292,cloudy
RG-000132,2025-03-31T06:30:00Z,WIND-05,wind,58.43,102.7,0.569,windy
RG-000133,2025-04-18T18:15:00Z,HYDRO-01,hydro,42.21,59.3,0.712,clear
RG-000134,2025-03-24T12:15:00Z,SOLAR-06,solar,58.07,59.6,0.974,windy
RG-000135,2025-04-27T18:45:00Z,WIND-02,wind,35.47,112.7,0.315,rainy
RG-000136,2025-03-10T22:00:00Z,WIND-02,wind,53.95,112.7,0.479,overcast
RG-000137,2025-04-25T17:00:00Z,WIND-02,wind,84.44,112.7,0.749,stormy
RG-000138,2025-04-23T10:45:00Z,WIND-01,wind,14.49,39.8,0.364,clear
RG-000139,2025-03-16T11:45:00Z,WIND-02,wind,18.53,112.7,0.164,clear
RG-000140,2025-04-27T23:15:00Z,SOLAR-03,solar,0,48.7,0.0,windy
RG-000141,2025-04-11T21:15:00Z,WIND-02,wind,20.43,112.7,0.181,rainy
RG-000142,2025-03-10T15:45:00Z,HYDRO-03,hydro,127.77,169.9,0.752,rainy
RG-000143,2025-04-22T14:00:00Z,WIND-06,wind,34.45,76.8,0.449,rainy
RG-000144,2025-03-27T13:30:00Z,SOLAR-07,solar,22.83,33.3,0.686,clear
RG-000145,2025-03-09T10:45:00Z,SOLAR-06,solar,34.5,59.6,0.579,stormy
RG-000146,2025-03-31T00:15:00Z,WIND-01,wind,32.46,39.8,0.816,stormy
RG-000147,2025-04-14T02:15:00Z,WIND-04,wind,48.92,45.5,1.075,windy
RG-000148,2025-03-21T04:30:00Z,SOLAR-04,solar,0,76.6,0.0,cloudy
RG-000149,2025-03-16T23:00:00Z,WIND-06,wind,37.69,76.8,0.491,clear
RG-000150,2025-04-25T12:00:00Z,WIND-03,wind,12.16,40.8,0.298,overcast
RG-000151,2025-04-15T03:45:00Z,SOLAR-04,solar,0,76.6,0.0,rainy
RG-000152,2025-04-04T20:15:00Z,HYDRO-02,hydro,83.69,151.9,0.551,stormy
RG-000153,2025-03-05T15:00:00Z,SOLAR-01,solar,11.44,69.3,0.165,overcast
RG-000154,2025-03-18T17:30:00Z,SOLAR-06,solar,5.92,59.6,0.099,rainy
RG-000155,2025-04-05T17:00:00Z,SOLAR-07,solar,3.4,33.3,0.102,cloudy
RG-000156,2025-04-14T04:00:00Z,SOLAR-08,solar,0,46.8,0.0,rainy
RG-000157,2025-04-18T16:30:00Z,SOLAR-01,solar,9.6,69.3,0.139,rainy
RG-000158,2025-04-20T10:45:00Z,SOLAR-08,solar,10.57,46.8,0.226,overcast
RG-000159,2025-03-15T11:00:00Z,HYDRO-03,hydro,171.5,169.9,1.009,clear
RG-000160,2025-03-11T09:45:00Z,SOLAR-08,solar,28.11,46.8,0.601,windy
RG-000161,2025-03-02T12:30:00Z,WIND-05,wind,27.49,102.7,0.268,clear
RG-000162,2025-04-06T12:00:00Z,SOLAR-01,solar,17.56,69.3,0.253,rainy
RG-000163,2025-04-11T14:30:00Z,WIND-04,wind,17.67,45.5,0.388,rainy
RG-000164,2025-04-17T09:00:00Z,HYDRO-03,hydro,88.58,169.9,0.521,clear
RG-000165,2025-03-26T15:15:00Z,SOLAR-02,solar,23.01,37.3,0.617,windy
RG-000166,2025-04-07T14:30:00Z,SOLAR-07,solar,6.47,33.3,0.194,rainy
RG-000167,2025-03-27T17:30:00Z,HYDRO-01,hydro,34.83,59.3,0.587,overcast
RG-000168,2025-03-09T13:00:00Z,SOLAR-03,solar,39.48,48.7,0.811,stormy
RG-000169,2025-04-03T04:00:00Z,SOLAR-07,solar,0,33.3,0.0,overcast
RG-000170,2025-03-30T02:00:00Z,SOLAR-07,solar,0,33.3,0.0,clear
RG-000171,2025-04-19T15:15:00Z,SOLAR-04,solar,37.68,76.6,0.492,clear
RG-000172,2025-04-06T12:00:00Z,SOLAR-03,solar,15.73,48.7,0.323,overcast
RG-000173,2025-04-10T10:45:00Z,HYDRO-01,hydro,31.39,59.3,0.529,rainy
RG-000174,2025-03-08T08:45:00Z,SOLAR-06,solar,9.7,59.6,0.163,overcast
RG-000175,2025-03-03T23:45:00Z,SOLAR-07,solar,0,33.3,0.0,cloudy
RG-000176,2025-04-09T16:00:00Z,WIND-06,wind,61.46,76.8,0.8,stormy
RG-000177,2025-03-29T05:15:00Z,SOLAR-04,solar,7.04,76.6,0.092,stormy
RG-000178,2025-03-11T17:00:00Z,SOLAR-01,solar,7.1,69.3,0.102,rainy
RG-000179,2025-03-20T12:30:00Z,SOLAR-06,solar,19.66,59.6,0.33,overcast
RG-000180,2025-04-06T00:30:00Z,WIND-06,wind,28.95,76.8,0.377,cloudy
RG-000181,2025-04-14T15:45:00Z,SOLAR-01,solar,34.4,69.3,0.496,clear
RG-000182,2025-04-25T15:15:00Z,SOLAR-04,solar,37.3,76.6,0.487,windy
RG-000183,2025-03-18T17:00:00Z,WIND-01,wind,4.6,39.8,0.116,cloudy
RG-000184,2025-04-24T13:30:00Z,SOLAR-06,solar,14.51,59.6,0.243,cloudy
RG-000185,2025-04-06T00:45:00Z,WIND-05,wind,34.5,102.7,0.336,overcast
RG-000186,2025-03-06T20:00:00Z,SOLAR-06,solar,0,59.6,0.0,rainy
RG-000187,2025-03-26T11:45:00Z,SOLAR-06,solar,16.22,59.6,0.272,rainy
RG-000188,2025-03-12T17:45:00Z,SOLAR-06,solar,16.16,59.6,0.271,stormy
RG-000189,2025-03-13T10:30:00Z,WIND-01,wind,32.96,39.8,0.828,windy
RG-000190,2025-04-13T19:15:00Z,WIND-02,wind,37.35,112.7,0.331,rainy
RG-000191,2025-04-21T03:00:00Z,SOLAR-04,solar,0,76.6,0.0,overcast
RG-000192,2025-04-19T18:30:00Z,WIND-03,wind,11.84,40.8,0.29,rainy
RG-000193,2025-04-14T18:30:00Z,WIND-03,wind,17.15,40.8,0.42,stormy
RG-000194,2025-03-12T10:00:00Z,WIND-06,wind,10.07,76.8,0.131,overcast
RG-000195,2025-03-23T21:45:00Z,SOLAR-01,solar,0,69.3,0.0,rainy
RG-000196,2025-04-10T04:45:00Z,SOLAR-04,solar,0,76.6,0.0,cloudy
RG-000197,2025-04-22T12:45:00Z,WIND-05,wind,23.93,102.7,0.233,rainy
RG-000198,2025-03-31T22:15:00Z,WIND-03,wind,7.0,40.8,0.172,clear
RG-000199,2025-03-29T15:00:00Z,WIND-05,wind,85.63,102.7,0.834,stormy
RG-000200,2025-03-23T00:00:00Z,HYDRO-01,hydro,56.71,59.3,0.956,stormy
RG-000201,2025-04-23T07:45:00Z,HYDRO-03,hydro,126.25,169.9,0.743,rainy
RG-000202,2025-04-25T21:30:00Z,SOLAR-08,solar,0,46.8,0.0,stormy
RG-000203,2025-04-17T22:30:00Z,WIND-04,wind,19.7,45.5,0.433,overcast
RG-000204,2025-03-19T13:30:00Z,SOLAR-08,solar,40.45,46.8,0.864,clear
RG-000205,2025-03-08T19:00:00Z,HYDRO-03,hydro,115.14,169.9,0.678,clear
RG-000206,2025-03-22T14:00:00Z,SOLAR-03,solar,35.52,48.7,0.729,windy
RG-000207,2025-04-17T07:15:00Z,WIND-01,wind,6.92,39.8,0.174,overcast
RG-000208,2025-03-21T19:15:00Z,WIND-06,wind,23.24,76.8,0.303,windy
RG-000209,2025-03-16T09:45:00Z,SOLAR-02,solar,7.08,37.3,0.19,overcast
RG-000210,2025-04-26T09:45:00Z,HYDRO-03,hydro,127.14,169.9,0.748,overcast
RG-000211,2025-04-21T07:15:00Z,SOLAR-07,solar,3.14,33.3,0.094,rainy
RG-000212,2025-03-27T07:00:00Z,SOLAR-02,solar,12.04,37.3,0.323,windy
RG-000213,2025-04-27T12:30:00Z,WIND-05,wind,44.06,102.7,0.429,windy
RG-000214,2025-03-02T04:15:00Z,SOLAR-01,solar,0,69.3,0.0,stormy
RG-000215,2025-04-09T21:30:00Z,HYDRO-03,hydro,128.56,169.9,0.757,cloudy
RG-000216,2025-03-02T19:45:00Z,WIND-05,wind,26.85,102.7,0.261,stormy
RG-000217,2025-04-12T09:15:00Z,WIND-01,wind,6.62,39.8,0.166,rainy
RG-000218,2025-03-20T07:45:00Z,WIND-05,wind,77.69,102.7,0.756,windy
RG-000219,2025-03-27T05:00:00Z,WIND-02,wind,66.02,112.7,0.586,stormy
RG-000220,2025-04-09T06:00:00Z,SOLAR-04,solar,6.05,76.6,0.079,overcast
RG-000221,2025-03-06T00:00:00Z,WIND-02,wind,97.2,112.7,0.862,stormy
RG-000222,2025-04-29T08:30:00Z,WIND-06,wind,26.05,76.8,0.339,stormy
RG-000223,2025-04-16T16:00:00Z,WIND-05,wind,15.11,102.7,0.147,cloudy
RG-000224,2025-04-16T07:45:00Z,WIND-03,wind,20.89,40.8,0.512,rainy
RG-000225,2025-04-08T07:30:00Z,SOLAR-08,solar,15.67,46.8,0.335,stormy
RG-000226,2025-03-03T07:30:00Z,SOLAR-05,solar,5.51,50.3,0.11,rainy
RG-000227,2025-04-07T21:45:00Z,WIND-04,wind,10.64,45.5,0.234,overcast
RG-000228,2025-04-28T21:00:00Z,HYDRO-03,hydro,91.89,169.9,0.541,rainy
RG-000229,2025-04-25T01:00:00Z,SOLAR-06,solar,0,59.6,0.0,rainy
RG-000230,2025-03-31T03:45:00Z,HYDRO-02,hydro,105.99,151.9,0.698,rainy
RG-000231,2025-03-11T11:00:00Z,WIND-05,wind,93.36,102.7,0.909,stormy
RG-000232,2025-03-08T11:30:00Z,SOLAR-07,solar,8.39,33.3,0.252,overcast
RG-000233,2025-03-05T10:15:00Z,HYDRO-02,hydro,117.25,151.9,0.772,stormy
RG-000234,2025-04-19T01:15:00Z,WIND-02,wind,53.82,112.7,0.478,rainy
RG-000235,2025-03-28T01:30:00Z,SOLAR-02,solar,0,37.3,0.0,cloudy
RG-000236,2025-04-09T03:30:00Z,HYDRO-03,hydro,97.52,169.9,0.574,overcast
RG-000237,2025-04-14T18:00:00Z,SOLAR-02,solar,9.23,37.3,0.247,clear
RG-000238,2025-04-26T13:30:00Z,HYDRO-01,hydro,45.47,59.3,0.767,cloudy
RG-000239,2025-03-10T11:00:00Z,HYDRO-02,hydro,120.39,151.9,0.793,clear
RG-000240,2025-04-19T20:30:00Z,HYDRO-03,hydro,77.69,169.9,0.457,stormy
RG-000241,2025-03-24T12:00:00Z,WIND-01,wind,16.47,39.8,0.414,windy
RG-000242,2025-03-13T02:30:00Z,SOLAR-02,solar,0,37.3,0.0,overcast
RG-000243,2025-03-25T02:00:00Z,WIND-02,wind,43.44,112.7,0.385,windy
RG-000244,2025-04-06T12:30:00Z,WIND-03,wind,5.9,40.8,0.145,overcast
RG-000245,2025-03-14T03:30:00Z,WIND-04,wind,27.29,45.5,0.6,clear
RG-000246,2025-04-13T16:30:00Z,WIND-06,wind,32.66,76.8,0.425,windy
RG-000247,2025-03-13T20:45:00Z,SOLAR-05,solar,0,50.3,0.0,stormy
RG-000248,2025-03-28T21:15:00Z,HYDRO-03,hydro,145.5,169.9,0.856,stormy
RG-000249,2025-03-16T10:45:00Z,SOLAR-02,solar,21.38,37.3,0.573,clear
RG-000250,2025-03-19T10:30:00Z,SOLAR-08,solar,32.87,46.8,0.702,windy
RG-000251,2025-04-11T14:15:00Z,SOLAR-04,solar,17.84,76.6,0.233,cloudy
RG-000252,2025-04-04T19:00:00Z,SOLAR-07,solar,3.59,33.3,0.108,stormy
RG-000253,2025-04-25T22:15:00Z,WIND-02,wind,33.51,112.7,0.297,rainy
RG-000254,2025-03-04T23:15:00Z,HYDRO-02,hydro,108.24,151.9,0.713,clear
RG-000255,2025-03-12T15:00:00Z,HYDRO-03,hydro,90.93,169.9,0.535,rainy
RG-000256,2025-03-31T15:00:00Z,WIND-04,wind,44.54,45.5,0.979,windy
RG-000257,2025-03-20T03:00:00Z,HYDRO-01,hydro,56.5,59.3,0.953,overcast
RG-000258,2025-04-22T18:30:00Z,SOLAR-04,solar,15.22,76.6,0.199,stormy
RG-000259,2025-04-27T14:15:00Z,HYDRO-01,hydro,56.62,59.3,0.955,clear
RG-000260,2025-04-14T08:30:00Z,WIND-02,wind,20.6,112.7,0.183,clear
RG-000261,2025-04-06T14:15:00Z,WIND-01,wind,31.19,39.8,0.784,windy
RG-000262,2025-04-27T23:15:00Z,HYDRO-01,hydro,48.58,59.3,0.819,clear
RG-000263,2025-04-27T13:45:00Z,WIND-03,wind,38.1,40.8,0.934,stormy
RG-000264,2025-03-26T08:00:00Z,HYDRO-03,hydro,146.51,169.9,0.862,overcast
RG-000265,2025-03-27T18:45:00Z,SOLAR-08,solar,9.65,46.8,0.206,stormy
RG-000266,2025-03-11T02:45:00Z,WIND-06,wind,35.74,76.8,0.465,overcast
RG-000267,2025-03-25T07:45:00Z,SOLAR-06,solar,20.09,59.6,0.337,windy
RG-000268,2025-03-07T21:45:00Z,SOLAR-05,solar,0,50.3,0.0,cloudy
RG-000269,2025-04-22T09:15:00Z,SOLAR-02,solar,6.53,37.3,0.175,rainy
RG-000270,2025-04-17T00:15:00Z,SOLAR-01,solar,0,69.3,0.0,windy
RG-000271,2025-04-06T15:45:00Z,SOLAR-02,solar,22.04,37.3,0.591,clear
RG-000272,2025-04-06T03:30:00Z,WIND-06,wind,10.93,76.8,0.142,clear
RG-000273,2025-03-29T22:00:00Z,HYDRO-02,hydro,77.84,151.9,0.512,cloudy
RG-000274,2025-04-26T13:15:00Z,WIND-01,wind,17.39,39.8,0.437,clear
RG-000275,2025-04-11T20:45:00Z,SOLAR-03,solar,0,48.7,0.0,rainy
RG-000276,2025-04-27T03:30:00Z,WIND-05,wind,55.14,102.7,0.537,cloudy
RG-000277,2025-03-03T10:00:00Z,WIND-04,wind,24.56,45.5,0.54,rainy
RG-000278,2025-04-06T00:30:00Z,HYDRO-01,hydro,44.06,59.3,0.743,clear
RG-000279,2025-03-09T23:30:00Z,SOLAR-05,solar,0,50.3,0.0,clear
RG-000280,2025-04-24T07:30:00Z,WIND-05,wind,11.86,102.7,0.115,overcast
RG-000281,2025-03-05T08:15:00Z,SOLAR-05,solar,6.2,50.3,0.123,rainy
RG-000282,2025-04-03T00:45:00Z,WIND-06,wind,32.26,76.8,0.42,cloudy
RG-000283,2025-04-13T19:00:00Z,SOLAR-04,solar,2.52,76.6,0.033,cloudy
RG-000284,2025-04-26T00:30:00Z,SOLAR-05,solar,0,50.3,0.0,overcast
RG-000285,2025-03-16T18:00:00Z,SOLAR-07,solar,2.24,33.3,0.067,cloudy
RG-000286,2025-03-29T08:15:00Z,WIND-06,wind,14.11,76.8,0.184,clear
RG-000287,2025-03-29T05:30:00Z,SOLAR-03,solar,4.58,48.7,0.094,stormy
RG-000288,2025-04-10T04:45:00Z,SOLAR-02,solar,0,37.3,0.0,cloudy
RG-000289,2025-04-20T12:45:00Z,WIND-01,wind,18.62,39.8,0.468,rainy
RG-000290,2025-03-25T10:45:00Z,SOLAR-03,solar,10.83,48.7,0.222,rainy
RG-000291,2025-04-26T04:45:00Z,WIND-02,wind,19.43,112.7,0.172,overcast
RG-000292,2025-03-29T03:30:00Z,HYDRO-01,hydro,43.79,59.3,0.738,overcast
RG-000293,2025-03-22T17:00:00Z,WIND-04,wind,8.51,45.5,0.187,cloudy
RG-000294,2025-04-02T08:30:00Z,SOLAR-08,solar,21.08,46.8,0.45,clear
RG-000295,2025-03-02T13:00:00Z,SOLAR-01,solar,55.14,69.3,0.796,windy
RG-000296,2025-04-20T00:15:00Z,SOLAR-05,solar,0,50.3,0.0,rainy
